Word	SightVocab	Compound	LTS	morphs	Svocab-LTS	"D,ND"	comment
eclipses	 		"1,2,4,5,6"	2		D	
eggs			1	2		D	
eight			"1,11"	1		D	
either			"1,8,11"	1		D	
electricity	 		"1,2,5,7,10"	1		D	
emma	 		"1,5"	1		D	
end	0			1	"1,2"	D	
ending	0		"S,3"	2	"1,2,3"	D	sight word + ing
energy	 		"1,5,7,8"	1		D	
enlarged			"1,3,6,7,8"	2		D	
enormous	 		"1,5,8,10"	1		D	
enough			ND	1		ND	Fry's 278
environment	 		"1,2,5,6"	1		D	unstressed V
equipment			"1,5,6"	1		D	
even	1			1	"1,5"	D	
evening	 		ND	1		ND	
event			"1,2,5"	1		D	
events			"1,2,5"	2		D	
ever	1			1	"1,8"	D	
every	0			2		ND	
everyday	"0,-1"	Compound	"S,S"	2		D	
everyone	1			2		ND	
excited			"1,3,4,6"	2		D	
exciting			"1,3,4,10"	2		D	
experiences			"1,3,6,7,11"	2		D	
explained			"1,2,3,9"	2		D	
eyes	1		"S,10"	2		ND	sight word + s
face	1			1	"1,4,7"	D	
faces	1		"S,6"	2	"1,4,6,7"	D	sight word + s
faint			"1,2,9"	1		D	
fall	0			1	1	D	
falling			3	2		D	sight word + ing
familiar	 		ND	1		D	
family	1			1	"1,5"	D	
family's	1		"S,7"	2	"1,5,7"	D	sight word + 's
far	1			1	"1,9"	D	
farm			"1,8"	1		D	
fast	0			1	"1,2"	D	
father	0			1		ND	
feel	0			1	"1,9"	D	
feet	0			1	"1,9"	D	
fell	1			1	1	D	
fetch			"1,7"	1		D	
few			"1,9"	1		D	
field			"1,2,11"	1		D	
fields			"1,2,11"	1		D	
fiercer			"1,6,7,9"	2		D	
fifty			"1,2,5"	1		D	
fill	1			1	1	D	
filled	1		"S,3"	2	"1,3"	D	sight word + ed
find	0			1	"1,2"	D	
finger			"1,2,6"	1		D	
finishes			"1,2"	2		D	
fire	0			1	"1,4"	D	
fireworks	"0,-1"	Compound	"S,S,2"	2	"1,2,4,8,12"	D	 sight word + s
first	1			1	"1,2,8"	D	
fish	-1			1	1	D	
fit			1	1	 	D	
flakes			"1,2,4,6"	2		D	
flavors			"1,2,5,8"	2		D	
flew			"1,2,8"	1		D	
flies	-1		"S,10"	2	"1,5,10"	D	sight word + es
flight			"1,2,11"	1		D	
float			"1,2,9"	1		D	
floating			"1,2,3,9"	2		D	
flour			"1,2,9"	1		D	
flower	1		 	1	"1,2,6,8,9"	D	
fly	-1			1	"1,2,5"	D	
flying	-1		"S,6"	2	"1,2,5,6"	D	sight word + ing
folder			"1,2,6"	1		D	
folks			ND	1		ND	
follow			"1,9"	1		D	
food	1			1	"1,9"	D	
football	"D,1"	Compound	"1,9,S"	2		D	
for	-1			1	"1,8"	D	
forget			"1,8"	1		D	
form			"1,8"	1		D	
fortune			"1,4,8,12"	1		D	
forward	 		"1,8,12"	1		D	
found	0		 	1	"1,2,9"	D	
four			ND	1		ND	Fry's 366
foxes	0		"S,1,6"	2	1	D	sight word + es
freezing			"1,2,9,10"	2		D	
frog	0			1	"1,2"	D	
from	-1			1		ND	
front			ND	1		ND	Fry's 421
frost's			"1,2,7"	2		D	
froze			"1,2,4"	1		D	
fun	0			1	1	D	
fur			"1,8"	1		D	
furry			"1,5,8,10"	1		D	
garbage			"1,8,10"	1		D	
garden			"1,9"	1		D	
gave	1			1	"1,4"	D	
gear			ND	1		ND	
generally			"1,6,10"	2		D	
gently			"1,6,7,10"	2		D	
get	-1			1		ND	
gets	-1		"S,1"	2		ND	sight word + s
glad	1			1	"1,2"	D	
glass	1			1	"1,2"	D	
glide			"1,2,4"	1		D	
gliding			"1,2,4,10"	2		D	
globe			"1,2,4"	1		D	
go	-1			1	"1,5"	D	
goal			"1,9"	1		D	
goddess			"1,3"	1		D	
goes	-1		"S,6"	2	"1,5,6"	D	sight word + es
gold	1			1	"1,2"	D	
gone	1			1		ND	
good	-1			1	"1,9"	D	
got	0			1	1	D	
grade			"1,2,4"	1		D	
grandfather	"D,0"	Compound	"1,2,S"	2	0	D	D + ND
grandmother	"D,0"	Compound	"1,2,S"	2		D	
grandpa	 	Compound	"1,2"	1		D	unstressed V
grandparents	 	Compound	"1,2,5"	2		D	
green	0			1	"1,2,9"	D	
greener	0		"S,6"	2	"1,2,6,9"	D	sight word + er
greenhouses	"0,0"	Compound	"S,S,6"	3	0	D	sight word + s
grew	1			1	"1,2,9"	D	
groceries			"1,2,5,6,7,10"	2		D	
ground	1		 	1	"1,2,9"	D	
grow	0			1	"1,2,9"	D	
growing	1			2	"1,2,3,9"	D	
grown			"1,2,9"	1		D	
guide			"1,4,7"	1		D	
gust			"1,2"	1		D	
had	0			1	1	D	
hadn't	0		"S,7"	2	"1,7"	D	sight word + n't
hairs			"1,9"	2		D	
hard			"1,8"	1		D	
harmless			"1,6,8"	2		D	
has	0			1	1	D	
hatched			"1,3,6,7"	2		D	
hats			1	2		D	
have	-1			1		ND	
hazard			"1,8"	1		D	
he	-1			1	"1,5"	D	
head	1			1	"1,9"	D	
heading	1		"S,3"	2	"1,3,9"	D	sight word + ing
heads			"S,1"	2	"1,9"	D	sight word + s
hear	1			1	"1,9"	D	
heard	1			1		ND	
hears	1		"S,1"	2	"1,9"	D	sight word + s
heart	 		ND	1		ND	Fry's 544
heat			"1,9"	1		D	
heated			"1,3,9"	2		D	
heating			"1,3,9"	2		D	
held			"1,2"	1		D	
help	-1			1	"1,2"	D	
helper	1		"S,6"	2	"1,2,6"	D	sight word + er
helpful	-1		"S,6"	2	"1,2,6"	D	sight word + ful
helps	-1		"S,1"	2	"1,2"	D	sight word + s
her	0			1	"1,8"	D	
here	-1			1	"1,4"	D	
hide	-1			1	"1,4"	D	
high	0			1	"1,11"	D	
hike			"1,4"	1		D	
him	0			1	1	D	
his	0			1	1	D	
home	-1			1	"1,4"	D	
homes	-1		6	2	"1,4,6"	D	sight word + s
homework	"-1,0"	Compound	"S,S"	2		D	
hopeful			"1,4,6"	2		D	
hopes			"1,6"	2		D	
host			"1,2"	1		D	
hot	0			1	1	D	
hour	 		ND	1		ND	Fry's 341 (hours)
house	0			1	"1,4,9"	D	
houseplants	"0,0"	Compound	"S,S"	2		D	
houses	0		"S,6"	2	"1,4,6,9"	D	sight word + s
how	0			1	"1,9"	D	
however	"0,1"	Compound	"S,S"	1		D	Fry's 339
human			"1,5"	1		D	unstressed v
humans			"1,5"	2		D	unstressed v
hundreds			"1,2"	2		D	
hunt			"1,2"	1		D	
hunter			"1,2,6"	2		D	
hurrying			"1,5,6,8"	2		D	
i	-1			1	5	D	
ice			"4,7"	1		D	
iceland	NAME	Compound	"1,2,4,7"	2		D	
ideas			"1,5,6,12"	2		D	
identical			"1,2,5,10"	1		D	 
if	0			1	1	D	
image			"1,10"	1		D	
imagine	 		"1,7,10"	1		D	?
important			"1,3,8"	1		D	
improving			ND	2		ND	
in	-1			1	1	D	
inches			"1,2"	2		D	
include	 		"1,2,4"	1		D	
information	 		"1,5,7,8"	1		D	
inside	1			1	"1,4"	D	
instead	 		"1,2,9"	1		D	
interested	 		"1,2,3,6,8"	2		D	
interview	 		"1,2,8,9,11"	1		D	
into	0			1		ND	
is	-1			1	1	D	
it	-1			1	1	D	
it's	-1			2	"1,7"	D	
its	0			2	1	D	
japan	NAME		ND	1		D	
jason			"1,5"	1		D	
jeff			1	1		D	
jelly			"1,5"	1		D	
jellyfish		Compound	"1,4,5"	2		D	
jigsaw		Compound	"1,4,9"	1		D	
jill			1	1		D	
jo			"1,5"	1		D	
job			1	1		D	
journals	 		ND	2		ND	
journey	 		ND	1		ND	
jump	-1			1	"1,2"	D	
just	0			1	"1,2"	D	
kayla			"1,5,9"	1		D	
kayla's	 		"1,5,7,9"	2		D	
keeps	1		"S,1"	2	"1,9"	D	sight word + s
kids			1	2		D	
kitchen			"1,3,7"	1		D	
kite	1		"1,4"	1	"1,4"	D	
know	0			1	"9,12"	D	
knowing	0		"S,3"	2	"3,9,12"	D	sight word + ing
lake	0		"1,4"	1	"1,4"	D	
landing			"1,2,3"	2		D	
language	 		ND	1		ND	no step for /gw/ 
large			"1,7,8"	1		D	
last	0			1	"1,2"	D	
lately			"1,4,6"	2		D	
later			"1,4,10"	2		D	
lawn			"1,9"	1		D	
leaders			"1,6,9"	2		D	
leaf			"1,9"	1		D	
learn			ND	1		ND	
learning			ND	2		ND	
leaves			"1,6,9"	2		D	
left			"1,2"	1		D	
legs			1	2		D	
lentil			1	1		D	
lentils			"1,3"	1		D	
lessons			"1,3"	2		D	unstressed V
let's	1			2	"1,7"	D	
lets	1		1	2	1	D	sight word + s
life			"1,4"	1		D	
light	1			1	"1,12"	D	
lights	1		"S,1"	2	"1,12"	D	sight word + s
like	-1			1	"1,4"	D	
lily's			"1,5,7"	2		D	
limited			"1,3"	2		D	
listening			ND	2		ND	Fry's 351 + ing
little	-1			1	"1,6"	D	
live -inf	0			1	ND 	D	
live -adj	0			1	"1,4"	D	
lives	0		"S,6"	2		ND	sight word + s
locate			"1,5"	1		D	
long	1			1	"1,2"	D	
look	-1			1	"1,9"	D	
looked	-1		"S,3"	2	"1,3,9"	D	sight word + ed
looking	-1		"S,3"	2	"1,3,9"	D	sight word + ing
looks	-1		"S,1"	2	1	D	sight word + s
lost	0			1		D	
lot	0			1	1	D	
lots	0		"S,1"	2	1	D	sight word + s
loud			"1,9"	1		D	
loves	1		"S,6"	2		ND	sight word + s
lower			"1,6,9"	2		D	
lucky			"1,5"	1		D	
made	0			1	"1,4"	D	
magnifying	 		"1,3,6"	2		D	 
mail			"1,9"	1		D	
make	-1			1	"1,4"	D	
makes	-1		"S,6"	2	"1,4,6"	D	sight word + s
making	1			2	"1,4,10"	D	
man	-1			1	1	D	
many	0			1		ND	
mark			"1,8"	1		D	
mass			1	1		D	
math			1	1		D	
matter			"1,8"	1		D	
may	0			1	"1,9"	D	
mayans	NAME		ND	2		ND	
mean	1			1	"1,9"	D	
measured			"1,6,9,12"	2		D	Fry's 346
medicine			"1,5,7,10"	1		D	
meet			"1,9"	1		D	
meg			1	1		D	
membrane			"1,2,4"	1		D	
middle			"1,6"	1		D	
midnight			"1,11"	1		D	
might	1			1	"1,11"	D	
minutes			ND	2		ND	
mixed			"1,3,6"	2		D	
modeled			"1,3,6"	2		D	
mole			"1,4"	1		D	
moles			"1,4,6"	2		D	
mom	1			1	1	D	
moment			"1,2,5"	1		D	
money	1			1		ND	
month				1		D	Fry's 588 months
moon			"1,9"	1		D	
more	0			1	"1,4"	D	
morning	1			1	"1,3,8"	D	
mornings	1		"S,2"	2	"1,3,8,"	D	sight word + s
most	1			1	"1,2"	D	
mother	0			1		ND	
mound			"1,2,9"	1		D	
mouthful			"1,6,9"	2		D	
mouths			"1,9"	2		D	
move	1			1		ND	
