	token	constituent_of_ADJP	constituent_of_ADVP	constituent_of_NP	constituent_of_PP	constituent_of_S_like	constituent_of_VP	parent_depth	pos_tag	pos_,	pos_.	pos_CC	pos_CD	pos_DT	pos_IN	pos_JJ	pos_MD	pos_NN	pos_NNP	pos_NNS	pos_PRP	pos_PRP$	pos_RB	pos_RP	pos_TO	pos_VB	pos_VBD	pos_VBG	pos_VBN	pos_WP
83	squirrels	0	0	1	0	1	1	4	NNS	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
84	began	0	0	0	0	1	1	3	VBD	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
85	to	0	0	0	0	1	1	3	TO	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
86	eat	0	0	0	0	1	1	3	VB	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
87	.	0	0	0	0	0	0	0	.	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
88	Sam	0	0	1	0	0	0	1	NNP	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
89	and	0	0	1	0	0	0	1	CC	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
90	Jo	0	0	1	0	0	0	1	NNP	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
91	smiled	0	0	0	0	0	1	1	VBD	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
92	,	0	0	0	0	0	1	1	,	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
93	knowing	0	0	0	0	0	1	1	VBG	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
94	the	0	0	1	0	1	0	2	DT	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
95	squirrels	0	0	1	0	1	0	2	NNS	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
96	were	0	0	0	0	1	1	2	VBD	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
97	safe	1	0	0	0	1	1	3	JJ	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
98	with	1	0	0	1	1	1	4	IN	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
99	their	1	0	1	1	1	1	5	PRP$	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
100	mother	1	0	1	1	1	1	5	NN	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
101	.	0	0	0	0	0	0	0	.	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
