token	ngram-1-1	ngrams-1-0	ngrams-2-0	ngrams-0-1	ngrams-0-2	word-len	sight-word	naive-ipa
_START_	2.89174061585493	0.0	0.0	2.89174061585493	0.08594705249092478	0	1	0
Sam	0.08594705249092478	2.89174061585493	2.89174061585493	0.5059877411633666	0.0002478075859267613	3	0	3
and	0.0002478075859267613	0.5059877411633666	0.08594705249092478	0.19143639634349283	0.001364227892765734	3	1	3
Jo	0.001364227892765734	0.19143639634349283	0.0002478075859267613	0.007794779787020877	0.0	2	0	3
went	0.0	0.007794779787020877	0.001364227892765734	1.8312737434736517	0.5991085391549295	4	1	4
for	0.5991085391549295	1.8312737434736517	0.0	455.61375575699293	0.020795398032667528	3	1	3
a	0.020795398032667528	455.61375575699293	0.5991085391549295	0.14828944676791683	0.02218676037062493	1	1	1
hike	0.02218676037062493	0.14828944676791683	0.020795398032667528	0.14138794884786013	0.14138794884786013	4	0	4
.	0.14138794884786013	0.14138794884786013	0.02218676037062493	0.0	0.0	1	0	0
_START_	516.7512070806506	0.0	0.0	516.7512070806506	2.143456042603486	0	1	0
They	2.143456042603486	516.7512070806506	516.7512070806506	7.372045099488831	0.4891215144384585	4	0	3
took	0.4891215144384585	7.372045099488831	2.143456042603486	20.357887240338567	0.013348832254503477	4	0	3
a	0.013348832254503477	20.357887240338567	0.4891215144384585	3.115460870035014	0.19570319115804538	1	1	1
path	0.19570319115804538	3.115460870035014	0.013348832254503477	0.6757898315317619	0.43893107782837065	4	0	3
through	0.43893107782837065	0.6757898315317619	0.19570319115804538	231.0486749488742	0.8939807871609475	7	0	3
the	0.8939807871609475	231.0486749488742	0.43893107782837065	9.2612583799922	1.7494754226719742	3	1	2
woods	1.7494754226719742	9.2612583799922	0.8939807871609475	2.9559334267724195	2.9559334267724195	5	0	4
.	2.9559334267724195	2.9559334267724195	1.7494754226719742	0.0	0.0	1	0	0
_START_	8.989785363772425	0.0	0.0	8.989785363772425	2.1965678035672163	0	1	0
Suddenly	2.1965678035672163	8.989785363772425	8.989785363772425	8.072470439133138	0.0007839821885942195	8	0	7
