Session,catB,catC,catE,catF,catG,catH,catJ,catK,catL,catM,catN,catO,catP,catQ,gyorB,gyorC,gyorE,gyorF,gyorG,gyorH,gyorJ,gyorK,gyorL,gyorM,gyorN,gyorO,gyorP,gyorQ
41664,0.9,0.8,1.0,0.5714285714285714,0.5,0.8,0.25,0.5,0.0,0.5,0.3333333333333333,2.0741666666666667,1.0,0.2258953168044078,3,2,3,1,1,2,0,1,0,1,0,2,3,3.0
47152,1.0,1.0,1.0,0.9428571428571428,1.0,0.8,0.9,1.0,1.0,1.0,0.6666666666666666,3.7475,1.0,0.14110824742268027,3,3,3,3,3,2,3,3,3,3,3,3,3,3.0
32210,0.9,0.7250000000000001,0.5,0.5714285714285714,0.8,0.8,0.65,0.8,0.5,0.8,0.75,2.1109999999999998,1.0,0.8804347826086957,3,2,1,1,2,2,2,2,1,2,3,2,3,0.0
48359,1.0,1.0,1.0,0.8857142857142858,0.8,1.0,0.75,1.0,1.0,1.0,0.8333333333333334,1.713,1.0,0.04185692541856925,3,3,3,3,2,3,2,3,3,3,3,1,3,3.0
52812,0.9,0.8500000000000001,0.8,0.8857142857142858,0.8,1.0,0.8,0.5,0.0,0.5,0.0,2.4193333333333333,1.0,0.6318181818181817,3,3,2,3,2,3,2,1,0,1,0,2,3,1.0
40865,0.65,0.8,1.0,0.2857142857142857,0.5,0.8,0.25,0.0,0.0,0.0,0.25,2.060833333333333,1.0,0.24444444444444444,2,2,3,0,1,2,0,0,0,0,0,2,3,3.0
44867,1.0,1.0,0.8,0.9428571428571428,0.8,1.0,1.0,1.0,0.8,0.8,0.5,0.8384999999999999,1.0,0.5176093916755603,3,3,2,3,2,3,3,3,2,2,1,0,3,1.0
52746,0.9,0.7749999999999999,0.8,0.6571428571428571,0.8,1.0,0.25,0.8,0.0,0.8,0.08333333333333333,2.549166666666667,1.0,0.1402298850574713,3,2,2,2,2,3,0,2,0,2,0,3,3,3.0
51192,0.9,0.8,1.0,0.7142857142857143,0.8,1.0,0.0,0.8,0.0,0.5,0.4166666666666667,2.4495000000000005,1.0,0.6419354838709678,3,2,3,2,2,3,0,2,0,1,0,2,3,1.0
48268,0.0,0.125,0.0,0.2857142857142857,0.0,0.0,0.0,0.5,0.0,0.5,0.4166666666666667,1.2234999999999998,0.8,0.968847352024922,0,0,0,0,0,0,0,1,0,1,0,1,3,0.0
49169,0.9,0.8500000000000001,1.0,0.6571428571428571,0.8,1.0,0.8,0.8,0.5,0.8,0.75,2.971833333333333,1.0,0.21775544388609705,3,3,3,2,2,3,2,2,1,2,3,3,3,3.0
49607,0.5,0.5,0.8,0.5714285714285714,0.0,0.5,0.0,0.5,0.0,0.5,0.4166666666666667,1.3305,1.0,0.6634844868735084,1,1,2,1,0,1,0,1,0,1,0,1,3,0.0
31930,1.0,1.0,0.8,0.5142857142857143,0.8,1.0,0.9,1.0,0.8,0.8,0.3333333333333333,2.6966666666666668,1.0,0.6060606060606061,3,3,2,1,2,3,3,3,2,2,0,3,3,1.0
40964,1.0,1.0,1.0,1.0,0.8,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,2.1283333333333334,1.0,0.06856023506366309,3,3,3,3,2,3,3,3,3,3,0,2,3,3.0
41105,1.0,1.0,1.0,1.0,1.0,1.0,0.9,1.0,1.0,1.0,0.5,1.3215,1.0,0.18823529411764708,3,3,3,3,3,3,3,3,3,3,1,1,3,3.0
48418,1.0,0.8500000000000001,0.5,0.5714285714285714,0.0,0.8,0.8,1.0,0.8,1.0,0.9166666666666666,1.9946666666666664,1.0,0.32508250825082513,3,3,1,1,0,2,2,3,2,3,3,2,3,2.0
38071,0.9,1.0,0.5,0.5142857142857143,0.5,0.8,1.0,1.0,1.0,1.0,0.6666666666666666,3.0215,1.0,0.5110294117647058,3,3,1,1,1,2,3,3,3,3,3,3,3,1.0
46836,1.0,0.95,0.8,0.7999999999999999,1.0,1.0,0.9,0.8,0.8,0.8,0.5,1.2028333333333334,1.0,0.3100616016427105,3,3,2,2,3,3,3,2,2,2,1,1,3,2.0
50031,1.0,1.0,1.0,0.8571428571428571,0.8,0.8,0.9,1.0,0.8,1.0,0.75,3.464833333333333,1.0,0.22166998011928427,3,3,3,3,2,2,3,3,2,3,3,3,3,3.0
30915,0.65,0.25,0.0,0.0,0.0,0.5,0.25,0.8,0.5,1.0,0.5,1.8305,1.0,0.44607843137254893,2,0,0,0,0,1,0,2,1,3,1,2,3,2.0
42279,1.0,1.0,1.0,0.7999999999999999,0.8,1.0,0.8,0.8,0.8,0.8,0.4166666666666667,2.216,1.0,0.4828080229226362,3,3,3,2,2,3,2,2,2,2,0,2,3,1.0
48155,0.9,0.7250000000000001,1.0,0.7142857142857143,0.5,0.8,0.5,0.8,0.5,0.8,0.75,2.2640000000000002,1.0,0.19343696027633844,3,2,3,2,1,2,1,2,1,2,3,2,3,3.0
30908,1.0,0.95,1.0,0.7142857142857143,0.8,1.0,0.9,1.0,0.8,0.8,0.8333333333333334,3.1855,1.0,0.4882978723404256,3,3,3,2,2,3,3,3,2,2,3,3,3,1.0
50941,1.0,1.0,1.0,0.8857142857142858,1.0,1.0,0.9,1.0,1.0,0.8,0.6666666666666666,3.2883333333333336,1.0,0.07407407407407404,3,3,3,3,3,3,3,3,3,2,3,3,3,3.0
47041,1.0,1.0,1.0,1.0,1.0,1.0,0.75,1.0,1.0,1.0,0.5833333333333334,3.433666666666667,1.0,0.13774104683195593,3,3,3,3,3,3,2,3,3,3,2,3,3,3.0
35171,1.0,1.0,0.8,0.9428571428571428,0.8,1.0,0.65,1.0,0.8,0.8,0.5833333333333334,3.299,1.0,0.43471582181259605,3,3,2,3,2,3,2,3,2,2,2,3,3,2.0
31788,1.0,1.0,1.0,1.0,1.0,1.0,0.9,1.0,0.8,1.0,0.5833333333333334,3.551833333333333,1.0,0.2074468085106382,3,3,3,3,3,3,3,3,2,3,2,3,3,3.0
41120,1.0,1.0,0.5,0.9428571428571428,1.0,1.0,0.9,1.0,1.0,1.0,0.5,2.9025,1.0,0.306578947368421,3,3,1,3,3,3,3,3,3,3,1,3,3,2.0
44169,0.8,0.95,1.0,0.6,0.8,1.0,0.9,1.0,0.8,1.0,0.5833333333333334,2.974166666666666,1.0,0.13740458015267176,2,3,3,2,2,3,3,3,2,3,2,3,3,3.0
46117,1.0,0.95,1.0,0.9428571428571428,1.0,1.0,0.9,1.0,1.0,1.0,0.5833333333333334,2.5211666666666663,1.0,0.1786447638603695,3,3,3,3,3,3,3,3,3,3,2,3,3,3.0
47002,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8,1.0,0.5,2.217833333333333,1.0,0.09790979097909797,3,3,3,3,3,3,3,3,2,3,1,2,3,3.0
47361,1.0,1.0,1.0,1.0,1.0,1.0,0.9,1.0,1.0,1.0,0.75,3.18,1.0,0.07974276527331194,3,3,3,3,3,3,3,3,3,3,3,3,3,3.0
47421,1.0,1.0,1.0,1.0,1.0,1.0,0.75,1.0,1.0,1.0,0.5833333333333334,3.660333333333333,1.0,0.1224719101123596,3,3,3,3,3,3,2,3,3,3,2,3,3,3.0
47502,1.0,1.0,1.0,1.0,1.0,1.0,0.75,1.0,1.0,1.0,0.9166666666666666,2.7239999999999998,1.0,0.15768725361366626,3,3,3,3,3,3,2,3,3,3,3,3,3,3.0
47824,1.0,1.0,1.0,0.9428571428571428,1.0,1.0,0.75,1.0,1.0,1.0,0.5833333333333334,3.467333333333334,1.0,0.07515527950310555,3,3,3,3,3,3,2,3,3,3,2,3,3,3.0
48410,1.0,1.0,1.0,0.8857142857142858,0.8,0.8,1.0,1.0,1.0,1.0,0.9166666666666666,3.9441666666666655,1.0,0.026838966202783192,3,3,3,3,2,2,3,3,3,3,3,3,3,3.0
48821,0.9,0.8500000000000001,1.0,0.6,0.8,0.8,0.9,1.0,0.8,0.8,0.8333333333333334,3.011000000000001,1.0,0.1833773087071241,3,3,3,2,2,2,3,3,2,2,3,3,3,3.0
49373,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6666666666666666,2.26,1.0,0.19180819180819186,3,3,3,3,3,3,3,3,3,3,3,2,3,3.0
50212,1.0,1.0,1.0,0.7142857142857143,0.8,0.8,0.9,1.0,1.0,0.8,1.0,3.6176666666666666,1.0,0.48823529411764705,3,3,3,2,2,2,3,3,3,2,3,3,3,1.0
50232,1.0,1.0,1.0,0.9428571428571428,1.0,1.0,0.9,1.0,1.0,1.0,0.5833333333333334,2.5565,1.0,0.24457994579945805,3,3,3,3,3,3,3,3,3,3,2,3,3,3.0
50666,1.0,1.0,1.0,0.9428571428571428,1.0,1.0,0.75,1.0,1.0,0.5,1.0,0.5345,1.0,0.4056029232643118,3,3,3,3,3,3,2,3,3,1,3,0,3,2.0
52324,1.0,0.95,1.0,0.8571428571428571,0.8,1.0,1.0,1.0,0.8,1.0,0.8333333333333334,3.4256666666666664,1.0,0.18336886993603402,3,3,3,3,2,3,3,3,2,3,3,3,3,3.0
31942,1.0,0.95,1.0,0.37142857142857144,0.5,0.8,0.9,0.8,0.8,1.0,0.5833333333333334,3.035166666666667,1.0,0.1311053984575836,3,3,3,1,1,2,3,2,2,3,2,3,3,3.0
32192,0.9,0.8,0.8,0.37142857142857144,0.5,0.8,0.0,0.8,0.0,0.5,0.5,3.1176666666666666,1.0,0.30864197530864196,3,2,2,1,1,2,0,2,0,1,1,3,3,2.0
40760,0.9,0.8,0.5,0.5142857142857143,0.5,0.8,0.4,1.0,0.8,0.8,0.5833333333333334,2.484833333333333,1.0,0.1743243243243244,3,2,1,1,1,2,1,3,2,2,2,2,3,3.0
44086,1.0,0.95,1.0,0.7999999999999999,0.8,1.0,0.9,1.0,1.0,1.0,0.75,1.1900000000000002,1.0,0.4799999999999999,3,3,3,2,2,3,3,3,3,3,3,1,3,1.0
49197,1.0,1.0,1.0,1.0,0.8,1.0,0.9,1.0,1.0,1.0,0.8333333333333334,2.686833333333333,1.0,0.1309719934102141,3,3,3,3,2,3,3,3,3,3,3,3,3,3.0
50030,1.0,1.0,1.0,0.9428571428571428,0.8,1.0,0.9,1.0,1.0,0.8,0.6666666666666666,2.8665,1.0,0.21271186440677967,3,3,3,3,2,3,3,3,3,2,3,3,3,3.0
52490,1.0,1.0,1.0,0.9428571428571428,0.8,1.0,1.0,0.8,1.0,0.8,0.8333333333333334,3.228666666666667,1.0,0.2234580384226492,3,3,3,3,2,3,3,2,3,2,3,3,3,3.0
46990,1.0,1.0,1.0,0.7999999999999999,0.8,0.8,0.8,0.8,0.8,0.5,0.6666666666666666,3.2518333333333334,1.0,0.6824817518248175,3,3,3,2,2,2,2,2,2,1,3,3,3,0.0
47894,1.0,1.0,1.0,0.8857142857142858,0.8,1.0,0.9,1.0,1.0,1.0,0.5833333333333334,3.2675,1.0,0.11958146487294467,3,3,3,3,2,3,3,3,3,3,2,3,3,3.0
48927,1.0,1.0,1.0,0.7999999999999999,0.8,1.0,0.9,1.0,1.0,1.0,0.6666666666666666,3.655666666666667,1.0,0.4171066525871172,3,3,3,2,2,3,3,3,3,3,3,3,3,2.0
49703,1.0,1.0,1.0,0.8571428571428571,0.8,1.0,0.9,1.0,1.0,1.0,0.75,3.815833333333333,1.0,0.13196480938416422,3,3,3,3,2,3,3,3,3,3,3,3,3,3.0
49841,1.0,1.0,1.0,0.9714285714285714,1.0,0.8,1.0,1.0,1.0,1.0,1.0,3.875,1.0,0.2581852198316183,3,3,3,3,3,2,3,3,3,3,3,3,3,2.0
51264,0.9,0.8500000000000001,1.0,0.8285714285714286,0.8,0.5,0.75,0.8,0.5,0.8,1.0,2.46,1.0,0.1658536585365853,3,3,3,2,2,1,2,2,1,2,3,2,3,3.0
52113,1.0,1.0,1.0,0.7999999999999999,0.8,1.0,0.9,0.8,0.8,0.8,0.5833333333333334,2.8014999999999994,1.0,0.2462941847206385,3,3,3,2,2,3,3,2,2,2,2,3,3,3.0
47912,1.0,0.9,1.0,0.9428571428571428,1.0,1.0,0.65,0.8,0.5,0.8,0.5,2.8036666666666665,1.0,0.07400379506641364,3,3,3,3,3,3,2,2,1,2,1,3,3,3.0
51727,1.0,1.0,1.0,0.8857142857142858,0.8,1.0,0.9,1.0,1.0,1.0,0.9166666666666666,3.3048333333333333,1.0,0.07981220657276987,3,3,3,3,2,3,3,3,3,3,3,3,3,3.0
32239,1.0,1.0,1.0,0.9428571428571428,1.0,1.0,1.0,0.8,1.0,0.8,0.4166666666666667,3.941833333333333,1.0,0.22141372141372134,3,3,3,3,3,3,3,2,3,2,0,3,3,3.0
41091,1.0,1.0,1.0,0.7142857142857143,0.8,1.0,1.0,1.0,1.0,1.0,0.6666666666666666,3.153166666666667,1.0,0.14193548387096774,3,3,3,2,2,3,3,3,3,3,3,3,3,3.0
47363,1.0,1.0,1.0,0.9428571428571428,0.8,1.0,0.9,1.0,1.0,1.0,0.4166666666666667,1.939,1.0,0.5372881355932203,3,3,3,3,2,3,3,3,3,3,0,2,3,1.0
47464,1.0,1.0,1.0,1.0,1.0,1.0,0.75,1.0,1.0,1.0,0.6666666666666666,3.361166666666667,1.0,0.12589928057553956,3,3,3,3,3,3,2,3,3,3,3,3,3,3.0
49599,1.0,1.0,1.0,0.9428571428571428,1.0,1.0,1.0,1.0,1.0,1.0,0.8333333333333334,3.221,1.0,0.20027624309392264,3,3,3,3,3,3,3,3,3,3,3,3,3,3.0
49661,1.0,1.0,1.0,0.9428571428571428,0.5,0.8,0.9,1.0,1.0,1.0,0.9166666666666666,2.6488333333333336,1.0,0.32371134020618564,3,3,3,3,1,2,3,3,3,3,3,3,3,2.0
49698,1.0,1.0,1.0,0.9714285714285714,1.0,1.0,0.9,1.0,1.0,1.0,0.6666666666666666,3.7008333333333336,1.0,0.31978931527464266,3,3,3,3,3,3,3,3,3,3,3,3,3,2.0
50061,1.0,1.0,1.0,0.8857142857142858,1.0,1.0,1.0,0.8,0.8,0.8,0.8333333333333334,3.6275,1.0,0.1414027149321267,3,3,3,3,3,3,3,2,2,2,3,3,3,3.0
50103,1.0,1.0,1.0,0.8857142857142858,1.0,1.0,0.9,1.0,1.0,1.0,1.0,3.685833333333333,1.0,0.13787510137875114,3,3,3,3,3,3,3,3,3,3,3,3,3,3.0
50118,1.0,1.0,1.0,0.9428571428571428,1.0,1.0,0.75,1.0,1.0,1.0,0.8333333333333334,2.6896666666666667,1.0,0.22279792746113972,3,3,3,3,3,3,2,3,3,3,3,3,3,3.0
50193,1.0,1.0,1.0,1.0,1.0,1.0,0.75,1.0,1.0,1.0,0.9166666666666666,3.701666666666666,1.0,0.20730938878386895,3,3,3,3,3,3,2,3,3,3,3,3,3,3.0
50687,1.0,1.0,1.0,0.9714285714285714,0.8,1.0,0.9,1.0,1.0,1.0,1.0,3.277333333333333,1.0,0.05244755244755245,3,3,3,3,2,3,3,3,3,3,3,3,3,3.0
53536,1.0,1.0,1.0,0.8571428571428571,1.0,1.0,0.9,1.0,1.0,1.0,0.6666666666666666,3.998666666666667,1.0,0.2876190476190477,3,3,3,3,3,3,3,3,3,3,3,3,3,2.0
32205,1.0,0.95,0.5,0.8857142857142858,0.8,0.8,0.9,0.8,0.5,0.5,0.4166666666666667,2.8218333333333336,1.0,0.8736964078794901,3,3,1,3,2,2,3,2,1,1,0,3,3,0.0
32213,1.0,1.0,1.0,0.8571428571428571,1.0,1.0,1.0,1.0,0.8,1.0,0.6666666666666666,3.9308333333333336,1.0,0.1716649431230611,3,3,3,3,3,3,3,3,2,3,3,3,3,3.0
48972,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8333333333333334,1.9193333333333331,1.0,0.022765598650927508,3,3,3,3,3,3,3,3,3,3,3,2,3,3.0
49581,1.0,1.0,1.0,0.8571428571428571,0.8,1.0,1.0,1.0,1.0,1.0,0.75,3.4406666666666665,1.0,0.16704545454545458,3,3,3,3,2,3,3,3,3,3,3,3,3,3.0
51042,1.0,0.95,0.8,0.8857142857142858,0.8,1.0,1.0,1.0,0.8,1.0,0.9166666666666666,3.3555000000000006,1.0,0.5166872682323856,3,3,2,3,2,3,3,3,2,3,3,3,3,1.0
53212,1.0,0.95,1.0,0.8571428571428571,0.8,1.0,0.9,1.0,0.8,0.8,0.4166666666666667,2.8560000000000003,1.0,0.2719298245614034,3,3,3,3,2,3,3,3,2,2,0,3,3,2.0
53264,1.0,1.0,0.8,0.7142857142857143,0.8,1.0,0.75,0.8,1.0,0.5,0.8333333333333334,2.3588333333333336,1.0,0.14553638409602393,3,3,2,2,2,3,2,2,3,1,3,2,3,3.0
42307,1.0,0.9,1.0,0.9428571428571428,0.8,1.0,0.65,0.8,0.5,0.8,0.5833333333333334,3.0123333333333333,1.0,0.2894168466522678,3,3,3,3,2,3,2,2,1,2,2,3,3,2.0
50020,1.0,0.95,1.0,0.6571428571428571,0.5,1.0,1.0,1.0,0.8,1.0,0.5833333333333334,2.1995,1.0,0.07868020304568532,3,3,3,2,1,3,3,3,2,3,2,2,3,3.0
47043,1.0,1.0,1.0,0.9428571428571428,1.0,1.0,0.9,1.0,1.0,1.0,0.5833333333333334,0.5836666666666667,1.0,0.2067307692307692,3,3,3,3,3,3,3,3,3,3,2,0,3,3.0
47092,1.0,1.0,0.8,0.9428571428571428,0.8,1.0,0.9,1.0,1.0,1.0,0.16666666666666666,2.631333333333333,1.0,0.2984409799554566,3,3,2,3,2,3,3,3,3,3,0,3,3,2.0
47767,0.8,0.8,0.8,0.5142857142857143,0.5,0.8,0.65,1.0,0.8,0.8,0.5,0.09566666666666666,1.0,0.11464968152866235,2,2,2,1,1,2,2,3,2,2,1,0,3,3.0
52743,0.9,0.8,0.8,0.6571428571428571,0.8,1.0,0.25,0.8,0.0,0.5,0.8333333333333334,1.5735,1.0,0.5527950310559004,3,2,2,2,2,3,0,2,0,1,3,1,3,1.0
50645,1.0,1.0,1.0,0.9428571428571428,0.8,1.0,1.0,1.0,1.0,1.0,0.9166666666666666,3.1493333333333333,1.0,0.23474663908996884,3,3,3,3,2,3,3,3,3,3,3,3,3,3.0
50918,1.0,1.0,1.0,1.0,1.0,1.0,0.9,1.0,1.0,1.0,0.9166666666666666,3.0500000000000003,1.0,0.13189964157706094,3,3,3,3,3,3,3,3,3,3,3,3,3,3.0
45071,1.0,0.95,0.5,0.6285714285714287,0.8,1.0,0.9,0.8,0.8,0.8,0.75,2.221166666666667,1.0,0.4917407878017789,3,3,1,2,2,3,3,2,2,2,3,2,3,1.0
47388,1.0,1.0,1.0,0.9428571428571428,0.8,1.0,1.0,1.0,1.0,1.0,0.9166666666666666,3.436666666666666,1.0,0.15285714285714289,3,3,3,3,2,3,3,3,3,3,3,3,3,3.0
49998,1.0,1.0,1.0,0.9428571428571428,0.8,1.0,0.9,1.0,1.0,1.0,0.8333333333333334,3.589,1.0,0.3178947368421053,3,3,3,3,2,3,3,3,3,3,3,3,3,2.0
32258,0.9,0.7,1.0,0.7142857142857143,0.8,0.8,0.25,0.8,0.5,0.5,0.5833333333333334,1.8936666666666664,1.0,0.963235294117647,3,2,3,2,2,2,0,2,1,1,2,2,3,0.0
42972,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.5,0.0,0.5,0.25,2.5161666666666664,0.0,0.4339080459770116,3,3,3,3,3,3,0,1,0,1,0,3,0,2.0
31525,1.0,1.0,1.0,1.0,1.0,1.0,0.75,0.5,0.5,0.8,0.3333333333333333,1.7819999999999998,1.0,0.3450479233226837,3,3,3,3,3,3,2,1,1,2,0,2,3,2.0
37230,1.0,1.0,1.0,0.9428571428571428,1.0,1.0,0.8,1.0,1.0,1.0,0.3333333333333333,1.0085,1.0,0.4697368421052632,3,3,3,3,3,3,2,3,3,3,0,1,3,1.0
49541,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5833333333333334,1.7241666666666664,1.0,0.2772277227722773,0,0,0,0,0,0,0,0,0,0,2,1,3,2.0
40887,0.8,0.95,1.0,0.6,0.5,1.0,0.65,1.0,0.8,0.8,0.5833333333333334,1.855,1.0,0.3248638838475499,2,3,3,2,1,3,2,3,2,2,2,2,3,2.0
32922,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4166666666666667,0.4736666666666667,0.0,0.3403141361256543,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0
32714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,2.1421666666666668,0.0,0.05277777777777794,0,0,0,0,0,0,0,0,0,0,1,2,0,3.0
48539,0.9,1.0,1.0,0.8571428571428571,1.0,1.0,0.65,1.0,0.8,0.8,0.75,3.2465,1.0,0.14772727272727273,3,3,3,3,3,3,2,3,2,2,3,3,3,3.0
48978,1.0,1.0,1.0,0.42857142857142855,0.5,1.0,0.75,1.0,1.0,0.8,0.75,2.4806666666666666,1.0,1.027027027027027,3,3,3,1,1,3,2,3,3,2,3,2,3,0.0
50140,0.9,1.0,0.5,0.7142857142857143,0.8,1.0,0.9,0.8,0.5,0.5,0.75,2.3215,1.0,0.4479166666666666,3,3,1,2,2,3,3,2,1,1,3,2,3,2.0
26454,0.9,0.75,1.0,0.8571428571428571,0.8,1.0,0.0,0.8,0.0,0.5,0.5,1.4675,1.0,0.07142857142857148,3,2,3,3,2,3,0,2,0,1,1,1,3,3.0
29605,0.9,0.8500000000000001,1.0,0.7142857142857143,0.0,1.0,0.8,0.8,0.5,0.5,0.8333333333333334,3.360333333333333,1.0,0.3298319327731093,3,3,3,2,0,3,2,2,1,1,3,3,3,2.0
29611,0.8,0.8500000000000001,1.0,0.8571428571428571,1.0,0.8,0.5,0.8,0.0,0.8,0.3333333333333333,1.8793333333333333,1.0,0.9440993788819876,2,3,3,3,3,2,1,2,0,2,0,2,3,0.0
29682,0.8,0.575,1.0,0.6571428571428571,0.0,0.5,0.0,0.5,0.0,0.5,0.8333333333333334,3.8906666666666663,1.0,inf,2,1,3,2,0,1,0,1,0,1,3,3,3,0.0
29736,0.9,0.95,1.0,1.0,0.8,1.0,0.65,1.0,0.5,1.0,0.8333333333333334,2.3565,1.0,0.4461538461538461,3,3,3,3,2,3,2,3,1,3,3,2,3,2.0
30481,1.0,1.0,1.0,0.8571428571428571,0.5,1.0,1.0,1.0,0.8,1.0,0.0,2.4546666666666668,1.0,0.5505443234836703,3,3,3,3,1,3,3,3,2,3,0,2,3,1.0
30683,1.0,1.0,1.0,0.7999999999999999,0.5,1.0,0.5,0.8,1.0,0.8,1.0,3.6,1.0,0.3497854077253217,3,3,3,2,1,3,1,2,3,2,3,3,3,2.0
30819,1.0,1.0,1.0,1.0,0.8,1.0,1.0,1.0,1.0,1.0,0.8333333333333334,3.2901666666666665,1.0,0.22402890695573616,3,3,3,3,2,3,3,3,3,3,3,3,3,3.0
33576,0.9,1.0,1.0,0.6,0.5,0.8,1.0,0.8,1.0,1.0,0.5833333333333334,3.8738333333333337,1.0,0.3377049180327868,3,3,3,2,1,2,3,2,3,3,2,3,3,2.0
33595,1.0,1.0,1.0,1.0,0.5,1.0,0.75,1.0,0.8,0.8,0.6666666666666666,2.7878333333333334,1.0,0.29672447013487463,3,3,3,3,1,3,2,3,2,2,3,3,3,2.0
33759,0.65,0.5,1.0,0.6571428571428571,0.5,1.0,0.25,0.5,0.0,0.8,0.5,2.180833333333333,1.0,0.5869565217391305,2,1,3,2,1,3,0,1,0,2,1,2,3,1.0
34230,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.8,1.0,0.8,0.6666666666666666,3.122666666666667,1.0,0.3884180790960452,3,3,3,3,3,3,1,2,3,2,3,3,3,2.0
38397,1.0,1.0,1.0,0.9428571428571428,0.8,1.0,1.0,1.0,0.8,0.8,0.8333333333333334,2.1595,1.0,0.061803444782168274,3,3,3,3,2,3,3,3,2,2,3,2,3,3.0
38738,1.0,0.8999999999999999,1.0,0.7142857142857143,0.5,1.0,1.0,1.0,0.8,1.0,0.8333333333333334,3.208833333333333,1.0,0.13642213642213635,3,3,3,2,1,3,3,3,2,3,3,3,3,3.0
