Session,gyorB,gyorC,gyorE,gyorF,gyorG,gyorH,gyorJ,gyorK,gyorL,gyorM,gyorN,gyorO,gyorP,gyorQ
43657,3,3,3,3,2,3,3,2,3,2,3,2,3,3
43825,3,3,3,3,0,3,3,3,3,3,1,2,3,3
44645,3,3,3,3,2,3,3,3,3,3,0,2,3,3
45417,3,3,3,3,2,3,3,3,3,3,3,3,3,3
45523,3,3,3,1,0,1,2,2,2,2,0,2,1,3
45543,3,3,3,3,3,3,3,3,3,3,3,3,3,3
45646,3,3,3,2,0,3,2,3,3,3,0,1,3,2
45795,3,3,3,2,1,3,0,1,0,1,3,1,3,0
46119,3,3,3,2,2,3,3,3,2,3,3,3,3,2
46376,3,3,3,2,1,3,1,3,3,3,3,3,3,3
46404,3,3,3,2,2,3,3,3,3,3,1,2,3,3
46722,3,3,3,3,3,3,3,3,3,3,3,2,3,3
46877,3,3,3,1,1,3,3,2,2,1,1,2,3,2
47129,3,3,3,3,1,3,3,3,3,3,3,2,3,3
47275,3,2,2,1,0,0,0,2,1,3,0,1,3,0
47793,3,3,3,2,0,3,3,3,3,3,0,3,3,3
48614,3,3,3,3,3,3,2,3,3,3,3,3,3,2
49134,3,3,3,3,3,3,3,3,3,3,3,3,3,3
49155,3,3,3,3,2,3,3,3,3,3,3,3,3,3
49262,3,3,3,3,2,3,3,3,3,3,3,3,3,2
49279,3,3,3,3,3,3,3,3,3,3,3,3,3,3
49361,3,3,2,3,2,3,3,3,3,3,3,3,3,3
49608,3,3,3,3,2,3,3,3,3,3,3,3,3,3
50542,3,3,2,1,1,3,3,3,3,3,0,2,3,2
51154,3,3,3,3,2,3,3,3,3,3,1,2,3,3
51477,3,3,3,3,1,3,3,3,3,3,3,1,3,3
51502,2,3,2,1,1,3,2,2,2,2,3,3,3,3
51505,3,3,3,3,2,3,2,2,1,2,1,2,3,3
51555,3,3,3,3,2,3,3,3,3,3,3,3,3,3
51613,3,3,3,1,2,3,2,3,1,3,0,3,3,3
51680,3,3,3,2,2,3,3,3,3,2,3,2,3,3
51722,3,3,3,2,0,3,3,3,2,2,3,3,3,3
51790,3,3,0,2,0,2,2,1,3,1,0,3,3,0
51867,3,3,3,1,0,3,3,2,2,2,3,0,3,1
51875,3,3,3,3,3,3,3,3,3,3,3,3,3,3
52095,3,3,3,3,1,3,2,3,2,2,3,3,3,1
52097,3,3,3,2,1,3,3,2,1,2,3,3,3,3
52101,3,3,3,2,2,3,3,3,2,2,3,3,3,3
52104,3,3,3,2,0,3,3,3,3,3,3,3,3,3
52109,3,3,1,2,0,3,3,3,3,3,3,3,3,3
52115,3,3,3,3,2,3,3,3,2,2,3,2,3,3
52116,3,3,3,2,2,3,3,3,2,2,3,3,3,3
52119,3,3,2,1,0,3,1,1,3,2,3,2,3,3
52230,3,3,3,2,3,3,1,3,2,2,0,2,3,2
52277,3,3,3,3,0,3,3,3,3,3,3,3,3,3
52351,3,3,3,3,2,3,2,3,3,3,1,2,3,3
52354,3,3,3,3,3,3,3,2,2,2,3,3,3,3
52966,2,3,3,1,0,2,0,1,0,0,0,3,1,1
52993,2,3,2,0,0,3,1,2,2,2,3,2,3,0
53023,3,3,3,2,1,3,3,3,3,3,3,3,3,3
53176,3,3,3,2,2,2,1,3,1,2,1,3,3,3
53360,3,3,3,3,1,3,2,3,3,3,3,3,3,3
53387,3,3,3,1,2,3,3,3,2,2,3,2,3,3
53408,3,3,3,3,3,3,2,2,3,2,3,3,3,3
53533,3,3,3,3,1,3,3,3,3,3,3,3,3,2
53756,3,2,3,2,1,3,2,2,2,2,1,2,3,2
53803,3,3,3,2,0,3,3,3,3,3,3,1,3,3
54166,3,3,3,3,1,3,3,3,3,3,3,3,3,3
30518,0,0,0,0,0,0,0,0,0,0,3,3,0,2
46860,3,1,3,2,1,0,0,0,0,0,0,1,0,0
27873,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32379,3,3,2,2,0,3,1,2,0,1,0,2,0,0
48623,3,3,3,2,2,3,3,3,3,3,3,2,3,3
51614,3,3,3,2,0,2,2,2,1,2,1,3,3,3
32061,3,3,3,3,2,3,0,1,1,1,0,3,3,3
42561,3,3,3,3,1,3,3,2,2,3,0,2,3,3
44790,3,3,3,2,2,3,2,3,1,2,0,2,3,0
45870,3,3,3,3,2,3,3,3,3,3,3,3,3,2
50492,2,1,3,1,0,1,0,2,1,1,0,3,3,2
50530,3,3,3,2,0,2,0,2,0,1,0,2,3,2
51404,3,3,3,3,1,2,1,3,1,2,2,3,3,1
51411,2,3,2,2,1,2,0,1,0,1,0,3,3,2
51604,3,3,3,3,2,3,3,3,3,3,2,3,3,3
53441,3,3,3,3,2,3,2,2,0,2,2,3,3,2
26312,3,2,3,2,1,1,0,1,1,1,1,3,3,2
26353,2,1,3,1,0,3,0,0,0,0,0,1,0,3
26592,3,3,3,2,0,3,0,2,0,1,3,3,3,2
27069,3,3,3,3,1,3,2,3,2,2,1,3,3,3
30794,3,3,3,3,2,3,3,3,2,3,3,2,3,3
31426,2,2,3,1,0,3,0,1,0,2,0,3,1,2
32799,3,3,3,3,2,3,2,1,1,1,1,3,3,2
33067,3,3,3,3,2,3,2,2,0,0,0,3,3,2
35849,3,3,0,2,1,3,1,2,0,1,3,0,3,3
41030,3,2,3,2,0,1,0,2,1,2,3,3,3,2
41345,3,3,3,1,0,3,1,2,2,2,0,3,3,2
41360,2,3,3,2,1,3,3,2,1,1,1,3,3,2
42426,3,3,3,1,0,3,3,3,3,3,2,3,3,2
42515,3,3,3,3,1,3,3,3,3,3,3,3,3,2
44861,2,3,3,2,0,3,0,2,0,2,0,1,3,3
45458,3,3,3,3,1,3,3,3,2,3,0,3,3,2
48793,3,3,3,1,1,2,2,3,1,1,1,3,1,3
48890,3,3,3,3,3,3,3,3,3,2,0,1,3,1
49356,3,3,3,3,1,3,2,3,2,2,0,3,3,3
51106,3,3,3,1,0,3,2,3,2,3,3,3,1,3
52079,3,3,2,2,0,3,2,2,2,3,3,2,3,3
52105,3,3,2,1,1,3,3,3,3,3,3,2,3,2
53748,3,3,3,1,0,3,3,3,3,3,3,3,3,3
41335,3,3,1,2,0,2,0,1,0,1,0,3,1,1
46947,3,3,2,0,0,2,0,1,0,1,0,2,3,1
23102,1,0,1,0,0,0,0,0,0,0,0,2,1,2
24238,2,2,1,2,0,1,0,1,0,1,3,1,3,2
24249,3,3,3,2,1,3,0,3,1,2,1,1,1,3
24392,2,3,3,2,0,3,0,2,1,2,0,2,3,2
24416,3,3,3,2,0,1,1,2,1,1,1,1,3,3
24474,2,1,2,2,0,0,0,0,0,0,1,1,3,3
24565,3,3,3,3,1,3,0,1,0,0,1,1,3,2
26290,3,3,3,3,1,3,3,3,3,3,3,3,3,3
26301,3,3,3,3,1,3,1,3,2,3,3,2,3,2
26590,3,3,3,3,1,3,3,3,3,3,3,3,3,3
26686,3,3,3,2,1,3,2,3,2,3,0,3,3,1
26829,3,3,3,3,1,3,3,3,3,3,3,3,3,3
26860,3,3,3,3,2,3,3,3,2,3,3,3,3,2
26867,3,3,3,2,0,3,3,3,2,3,3,3,3,3
26878,3,3,3,2,0,3,3,3,3,3,0,1,3,3
27003,3,3,3,2,1,3,2,3,1,3,3,1,3,2
27080,3,2,3,2,0,2,0,2,1,1,0,2,3,3
27150,3,3,3,3,1,3,3,3,2,3,3,3,3,3
27266,3,3,3,3,1,3,3,3,3,3,3,3,3,3
27376,3,3,3,3,3,3,3,3,3,3,3,3,3,3
27640,3,3,3,1,1,3,3,3,2,3,3,3,3,3
28763,3,3,3,2,0,3,3,3,3,3,1,3,3,2
29275,3,3,3,3,2,3,1,3,3,3,3,3,3,3
30080,1,1,3,2,0,1,0,1,0,0,3,2,1,2
30322,3,3,3,3,0,3,3,2,2,3,2,2,3,2
30948,3,2,3,2,0,0,0,1,0,0,0,2,1,3
31564,3,2,3,2,1,2,0,2,0,2,0,3,1,3
31708,3,3,3,3,1,3,3,2,1,3,0,3,3,3
31888,3,3,3,2,0,2,3,2,2,2,0,3,3,3
32291,3,3,3,3,2,3,2,1,0,1,0,2,3,2
32725,3,3,3,3,2,3,1,3,3,3,3,2,3,3
32825,3,3,3,2,1,3,2,1,2,1,0,3,3,3
33273,3,3,3,3,0,3,3,3,3,3,2,3,3,2
33367,3,3,3,2,1,3,3,3,2,2,3,2,3,3
33488,3,2,3,2,0,3,0,2,0,2,0,2,3,2
33503,3,3,3,2,0,3,2,3,1,3,0,3,3,3
33599,3,3,3,1,0,3,3,3,2,3,1,3,3,2
33600,2,0,2,0,0,1,0,2,1,2,0,1,1,3
33737,3,3,3,1,0,3,2,3,2,2,3,3,3,2
33787,3,3,3,2,1,3,0,3,1,2,0,2,3,3
33924,3,2,2,1,0,2,0,2,0,2,1,2,1,1
33926,3,3,3,2,0,3,1,3,2,2,1,3,3,2
34052,3,3,3,2,0,3,2,3,2,3,3,3,3,2
34053,3,3,3,2,1,3,2,3,2,3,3,3,3,2
34140,3,3,3,2,0,3,3,3,3,3,3,3,3,3
34299,3,3,3,1,0,3,3,3,3,3,3,3,3,2
34806,3,3,3,2,2,3,3,3,3,3,0,3,3,3
35118,3,3,3,3,2,3,3,3,3,2,0,3,3,3
35138,3,1,1,0,0,1,0,2,1,1,0,3,1,2
35522,3,3,3,2,0,3,3,3,3,3,0,3,3,2
35545,3,3,3,2,0,3,3,3,3,3,3,2,3,3
35547,3,3,3,2,1,3,1,3,2,3,3,3,3,3
35557,3,3,3,3,2,3,3,3,3,3,1,3,3,1
35882,3,3,3,3,2,3,3,3,3,3,3,3,3,3
35935,3,3,3,3,3,3,3,3,3,3,0,3,3,2
36026,3,3,3,2,2,3,1,3,0,2,3,2,3,2
36061,3,3,3,3,1,3,3,2,3,1,0,3,3,3
36188,3,3,3,3,1,3,3,3,3,3,3,3,3,2
37655,3,3,3,3,1,3,3,3,3,3,3,3,3,3
38447,3,3,3,2,2,3,3,3,3,3,0,3,3,3
38476,3,3,3,3,2,3,3,3,3,3,3,3,3,3
38740,3,3,3,3,2,3,2,3,3,3,0,2,3,2
39115,3,3,3,3,2,3,3,3,3,3,3,3,3,2
39344,3,3,3,3,0,3,3,3,3,3,3,3,3,3
39365,3,3,3,3,3,3,3,3,3,3,3,3,3,3
39707,2,3,3,2,0,2,0,1,0,1,0,2,3,1
39861,3,3,3,3,0,3,3,3,3,3,3,3,3,2
39903,3,3,3,2,0,2,3,3,3,3,1,3,3,3
40615,3,3,3,3,1,3,3,3,3,3,1,3,3,3
40655,3,3,3,2,1,3,2,3,2,2,3,3,3,3
40867,3,3,3,2,0,3,3,3,2,3,2,3,3,3
41057,3,3,3,3,2,3,3,3,2,3,0,3,3,3
41151,3,3,3,3,1,3,2,3,2,3,1,3,3,3
41190,3,3,3,2,0,3,3,2,2,2,1,3,3,3
41200,3,3,3,3,2,3,3,3,3,3,1,3,3,3
41384,3,3,3,2,2,1,0,2,0,1,0,2,3,3
41465,3,3,3,2,1,3,0,2,0,2,0,3,3,2
41473,3,3,3,3,2,3,3,3,3,3,3,3,3,3
41536,3,2,2,2,0,3,0,2,0,1,0,3,1,2
41671,3,3,3,3,2,2,1,2,1,2,0,3,3,1
41862,3,3,3,3,3,3,3,3,3,3,2,3,3,2
41898,3,3,3,2,1,3,3,2,2,2,0,2,3,2
42261,3,3,3,3,2,3,2,3,3,3,0,3,3,3
42340,3,3,3,3,1,3,3,3,2,3,0,3,3,3
42348,3,3,2,3,0,3,3,3,3,3,3,3,3,2
42455,3,3,3,2,0,3,3,3,3,3,3,3,3,3
42521,3,3,3,3,1,3,2,3,3,3,3,3,3,3
42598,3,3,3,3,2,3,2,3,3,3,3,3,3,2
42604,3,3,3,3,2,3,3,3,3,3,3,3,3,2
42614,3,3,3,3,1,3,3,3,3,3,3,3,3,3
42677,3,3,3,3,2,3,3,3,3,3,0,3,3,2
43325,3,3,3,3,2,3,3,2,3,3,2,3,3,2
43847,3,3,3,2,0,3,3,3,3,3,3,3,3,2
43871,3,3,3,2,1,3,3,2,3,3,3,3,3,3
44656,3,2,3,2,0,3,1,2,1,2,0,3,3,2
44675,3,3,2,3,1,3,3,2,2,2,1,2,3,3
44699,3,3,3,2,1,3,3,3,2,2,1,3,3,2
44744,3,3,3,3,1,3,3,3,3,3,3,3,3,1
45320,3,3,3,2,2,3,3,3,2,3,1,3,3,2
45494,3,2,2,1,0,2,0,3,1,2,3,3,0,1
46353,3,3,3,3,2,3,3,3,3,3,3,3,3,3
46650,3,3,3,3,1,3,3,3,3,3,3,3,3,3
46803,3,3,2,3,1,3,3,3,3,2,3,2,3,3
46924,3,3,3,3,1,3,2,3,2,3,0,0,3,0
46987,3,3,3,3,0,2,0,3,0,3,0,3,1,0
47005,2,3,3,2,2,2,0,1,0,0,3,3,3,0
47140,3,3,3,2,0,3,1,2,1,1,1,3,3,2
47184,3,3,3,3,2,3,3,3,3,3,3,3,3,3
47238,3,3,3,2,0,2,1,2,0,1,0,2,3,1
47253,3,3,3,3,2,3,2,2,1,1,0,2,3,2
47508,3,3,3,3,0,3,3,3,3,3,3,3,3,3
47700,3,3,3,3,0,3,3,3,3,3,3,3,3,2
47992,3,3,2,3,0,3,1,3,3,3,0,2,3,2
48143,3,3,3,1,0,3,1,2,2,3,3,3,3,3
48709,3,3,3,3,1,3,3,3,3,3,3,3,3,3
48845,3,3,3,2,1,2,3,3,2,3,3,3,3,2
49076,3,3,3,2,0,2,3,2,2,2,3,2,3,3
49081,3,3,2,3,1,3,3,3,3,3,1,3,3,2
49113,3,3,3,2,0,3,0,3,0,1,1,3,3,2
49239,3,3,3,3,1,3,3,3,3,3,0,3,3,3
49251,2,2,3,2,0,3,0,1,0,0,0,3,1,3
49336,3,3,2,2,0,2,0,2,0,2,0,2,1,2
49348,3,3,3,2,2,3,3,3,2,3,3,3,3,2
49444,3,3,3,2,1,2,0,3,1,1,0,3,3,3
49488,3,3,3,3,3,3,3,3,2,2,3,3,3,2
49638,3,3,3,3,2,3,3,2,3,3,3,2,3,2
49665,3,3,3,3,1,3,3,3,3,3,0,3,3,2
49959,3,3,3,2,1,3,2,2,2,1,3,2,3,0
50227,3,3,3,3,0,3,3,3,3,3,3,3,3,2
50588,3,3,1,2,0,2,2,2,1,2,2,3,3,3
50616,3,3,2,2,0,3,2,2,1,2,0,3,3,2
50670,3,3,3,2,0,3,3,2,2,3,0,2,3,2
50760,3,3,2,2,0,3,2,2,1,2,0,3,3,3
50936,3,3,3,3,1,3,3,3,3,3,0,2,3,3
51001,3,2,2,2,0,1,0,2,0,1,3,3,1,2
51035,3,3,3,2,0,1,0,1,0,2,0,3,0,0
51100,3,3,3,3,1,3,3,3,3,3,3,3,3,3
51193,3,3,3,2,1,3,3,3,3,3,3,3,3,3
51257,2,1,3,1,0,1,2,2,3,2,3,3,3,3
51276,3,3,3,3,3,3,3,3,3,3,3,3,3,2
51349,2,1,1,1,0,1,0,1,0,0,0,3,3,2
51372,3,3,3,3,3,3,3,2,0,0,0,2,3,0
51623,3,3,3,3,0,3,3,3,3,3,3,3,3,2
51739,3,3,3,2,1,3,3,3,2,3,1,3,3,2
52045,3,3,3,3,3,3,3,3,3,3,3,3,3,2
52056,3,2,3,1,0,2,2,3,1,2,3,2,3,3
52093,3,3,3,2,2,3,3,3,3,2,1,3,3,3
52107,3,3,3,2,2,3,3,3,2,3,3,3,3,3
52118,3,3,3,2,0,3,3,2,3,1,3,2,3,3
52256,3,3,3,3,3,3,3,3,3,3,3,3,3,2
52398,3,3,3,3,2,3,2,3,2,3,0,2,3,1
52450,3,3,3,3,1,3,3,2,2,1,3,3,3,1
52621,3,3,3,3,1,3,3,3,3,3,1,3,3,0
53044,3,3,3,2,1,3,3,2,2,3,0,2,3,3
53173,3,3,2,2,1,3,3,3,2,3,3,3,3,2
53224,3,3,3,1,0,3,2,2,1,2,3,3,3,3
53226,3,3,3,3,1,3,3,3,3,2,3,3,3,1
53232,3,3,3,1,0,3,3,2,2,3,3,1,3,2
53241,3,2,3,2,0,1,3,1,2,1,3,3,3,3
53255,3,3,3,2,1,3,2,3,2,2,1,3,3,3
53627,3,3,3,3,2,3,3,3,2,3,0,3,3,3
53628,3,3,3,3,3,3,3,3,3,3,0,2,3,3
53701,3,3,3,3,1,3,3,3,3,3,0,3,3,3
53751,3,2,3,2,0,2,0,1,0,1,0,2,3,2
41148,3,3,3,2,1,3,1,1,0,3,0,2,1,0
17822,3,3,3,2,1,3,3,2,2,3,3,1,3,0
31882,3,3,3,3,0,3,3,3,3,3,3,3,3,2
32508,3,3,3,3,0,3,2,3,3,3,3,3,3,1
32622,3,2,3,1,0,1,0,1,1,1,0,1,3,2
35759,3,3,3,2,2,3,2,3,3,3,3,3,3,0
37537,3,3,3,3,2,3,3,3,3,3,3,3,3,3
40943,3,3,1,2,0,2,3,3,3,3,3,3,3,2
41063,3,3,3,2,1,1,3,3,3,3,1,2,3,3
41802,3,3,3,3,0,3,3,3,3,3,3,3,3,3
41854,3,3,2,1,0,1,3,3,2,2,3,2,3,3
44203,3,3,3,3,3,3,3,3,3,3,1,3,3,3
46349,3,3,3,3,1,3,3,3,3,3,1,3,3,3
47881,3,3,3,3,3,3,3,3,1,3,3,3,3,0
49110,3,3,3,3,2,3,3,3,3,3,3,3,3,3
49939,3,3,3,3,2,3,3,3,2,3,0,3,3,2
50802,3,3,3,3,3,3,3,3,3,3,3,3,3,3
51090,3,3,3,3,2,3,3,3,3,3,3,3,3,2
52108,3,3,3,2,2,3,3,3,3,3,3,3,3,2
52125,3,3,3,2,1,3,3,3,2,2,0,3,3,2
28074,3,3,2,2,0,3,3,2,2,2,1,1,0,2
29043,3,3,3,3,2,3,2,3,3,3,3,3,3,3
30850,3,3,3,2,1,1,3,2,3,2,0,3,3,3
30954,3,3,1,1,0,2,3,2,3,2,1,2,3,2
35337,3,3,3,2,1,3,3,2,2,2,3,3,3,3
36251,3,3,3,3,2,3,2,3,1,3,3,3,3,0
39030,3,3,3,1,0,3,3,3,2,2,1,3,3,2
39640,3,3,3,3,3,3,3,3,3,3,1,2,3,3
40691,3,3,3,1,1,3,3,3,3,3,0,3,3,3
31049,3,3,3,2,0,2,1,3,2,2,1,2,3,2
32947,3,3,3,3,1,3,3,3,3,3,3,3,3,3
33073,3,3,3,2,0,3,3,3,3,3,3,3,3,3
33655,3,3,3,3,1,3,3,3,3,3,0,3,3,3
35287,3,3,3,3,1,3,3,2,3,3,2,3,3,3
41168,3,3,3,3,2,3,3,3,2,3,3,3,3,3
41358,3,3,3,3,1,3,3,3,3,3,3,3,3,1
47281,3,3,3,3,2,3,3,3,3,3,2,3,3,2
48506,3,3,3,3,2,3,3,3,3,3,3,3,3,3
52410,3,3,3,3,1,1,2,1,0,1,0,2,3,0
52831,3,3,3,3,3,3,3,3,3,3,0,2,3,2
34144,3,3,3,3,3,3,3,3,3,3,0,2,3,2
34853,3,3,3,3,2,3,3,2,3,3,3,3,3,3
34987,3,3,3,3,2,3,2,2,3,3,1,3,3,3
38717,3,3,3,3,0,3,3,3,3,3,3,3,3,2
41626,3,3,3,3,0,3,3,3,3,3,3,3,3,3
41906,3,3,3,3,1,3,3,3,3,3,2,3,3,2
51620,3,3,1,3,2,3,3,3,3,3,3,3,3,3
41489,3,3,3,2,2,3,3,2,3,3,1,3,3,1
41963,3,3,3,1,0,3,3,3,3,3,3,2,3,2
52085,3,3,3,3,2,3,3,3,3,3,3,3,3,2
13961,3,3,3,1,0,2,2,3,1,2,3,3,3,3
31042,3,3,3,3,2,3,3,3,3,3,3,3,3,3
32200,3,3,3,2,1,3,3,3,3,3,3,3,3,2
33408,3,3,3,3,2,3,3,3,2,3,3,2,3,2
34320,3,3,3,2,1,3,3,3,3,3,3,3,3,2
34475,3,3,3,3,3,3,3,3,3,3,3,3,3,2
38537,3,3,3,2,2,3,2,3,3,3,3,3,3,2
40885,3,3,3,3,0,3,3,3,3,3,3,3,3,3
41960,3,3,3,3,1,3,3,3,3,3,3,1,3,3
43815,3,3,3,3,2,3,3,3,3,3,3,0,3,2
44930,3,3,3,0,0,1,2,2,2,2,0,3,3,3
48215,3,3,3,2,0,3,2,3,2,2,3,1,3,3
50305,3,3,3,3,3,3,3,3,3,3,3,1,3,3
50438,3,3,3,2,0,3,3,3,3,2,3,3,3,3
52808,3,3,3,3,2,3,3,3,3,2,3,3,3,1
37751,3,3,3,3,2,2,2,3,2,2,3,3,3,2
38719,3,3,3,2,0,3,3,3,3,3,3,3,3,3
41366,3,3,2,3,1,3,3,3,3,3,3,3,3,3
41851,3,3,3,1,1,2,3,3,2,2,3,3,3,3
45325,3,3,3,3,1,3,3,3,3,3,3,3,3,3
31977,3,3,3,3,1,3,2,2,3,3,3,3,3,3
32418,3,3,3,3,1,3,3,3,3,3,3,3,3,3
32896,3,3,3,3,3,3,3,3,3,3,3,3,3,3
34131,3,3,3,2,0,2,3,3,3,3,3,1,3,0
38143,3,3,3,3,1,3,3,3,3,3,3,3,3,2
39541,3,3,3,2,2,2,2,3,3,3,3,3,3,3
39709,3,3,3,3,2,3,3,3,3,3,3,3,3,3
39728,3,3,3,2,1,3,3,3,3,3,3,3,3,2
41481,3,3,3,3,0,3,3,3,3,3,3,3,3,2
45233,3,3,3,3,3,3,3,3,3,3,3,3,3,2
50615,3,3,3,3,0,3,3,3,3,3,0,3,3,2
50995,3,3,3,3,3,3,3,3,3,3,3,3,3,3
52120,3,3,3,2,1,3,3,3,3,3,3,3,3,3
52720,3,3,3,1,1,3,3,3,3,3,3,3,3,2
53276,3,3,3,2,2,3,3,3,2,3,3,3,3,3
53763,3,3,3,3,2,3,3,3,1,3,3,3,3,2
25755,3,3,3,3,3,3,3,3,3,3,3,3,3,2
26929,3,3,3,2,0,3,3,2,1,1,1,3,3,1
27606,3,3,3,3,3,3,3,3,3,3,3,3,3,3
35433,3,3,3,3,3,3,3,3,3,3,3,3,3,2
40819,3,3,3,3,2,3,3,3,3,3,1,3,3,3
41717,3,3,3,3,3,3,3,3,3,3,3,2,3,3
46307,3,3,3,3,1,3,3,3,3,3,3,3,3,3
48111,3,3,3,3,1,3,1,2,2,1,3,3,3,1
50192,3,3,3,3,1,3,3,3,3,3,1,3,3,2
50433,3,3,3,3,2,3,3,3,3,2,3,3,3,2
21004,3,3,3,3,0,2,2,3,1,3,3,3,3,1
40612,3,3,3,3,2,3,3,3,3,3,3,3,3,3
45061,3,3,3,3,1,3,3,3,3,3,1,3,3,1
48184,3,3,3,2,0,2,1,3,1,3,3,3,1,2
53337,3,3,3,3,3,3,3,3,3,3,0,3,3,1
13956,3,3,3,2,0,1,1,3,1,1,1,3,3,2
17687,3,3,2,2,0,1,1,2,1,2,0,3,3,2
17793,3,3,3,2,1,2,3,2,1,2,3,3,3,0
22799,3,3,3,3,2,3,3,3,3,3,2,2,3,0
29003,3,3,3,2,0,3,3,3,2,3,0,3,3,2
30464,3,3,2,3,1,3,3,3,1,2,0,2,3,3
31731,3,3,3,3,1,2,3,3,3,3,0,3,3,3
35637,3,3,3,2,0,2,1,3,1,2,0,3,1,0
41160,3,3,3,3,2,3,3,3,2,2,3,3,3,2
42290,3,3,3,3,1,3,3,3,3,3,1,3,3,2
47190,3,3,3,1,1,1,0,3,0,2,3,2,3,3
47316,3,3,3,3,1,2,2,3,1,3,1,3,3,1
47506,3,3,3,3,1,3,3,3,1,3,1,3,3,2
48764,3,3,3,3,3,2,1,3,1,2,3,3,3,0
51758,2,2,3,1,0,0,0,2,0,2,0,3,3,2
52302,3,3,3,3,1,1,0,1,0,1,1,3,3,3
52924,3,3,3,3,2,2,1,3,0,3,3,3,3,0
36099,3,3,2,2,0,1,2,3,1,1,3,3,3,2
37247,3,3,3,1,0,1,0,2,0,1,2,3,0,2
41740,3,3,3,3,1,3,3,3,3,3,1,2,3,3
42243,3,3,3,3,1,3,3,2,3,2,2,3,3,2
46132,3,3,3,3,3,3,3,2,1,2,1,2,3,2
50080,3,3,3,1,0,2,3,3,2,3,1,2,3,3
30749,3,3,3,3,2,3,3,2,1,2,3,3,3,1
32147,3,3,3,3,2,3,3,3,3,3,3,3,3,3
38419,3,3,3,3,1,3,3,1,1,1,3,2,3,3
41231,3,3,3,2,0,3,3,3,3,3,3,3,3,3
41338,3,3,3,3,3,3,3,3,2,2,3,3,3,2
41532,3,3,2,1,0,1,3,3,2,2,3,3,3,2
45506,3,3,1,2,0,2,3,3,2,2,3,3,3,3
49022,3,3,3,3,2,3,3,3,2,3,3,3,3,3
50273,3,3,3,3,0,3,3,3,3,3,0,3,3,3
52231,3,3,3,1,1,3,3,3,3,3,3,1,3,3
53502,3,3,3,2,0,3,3,3,3,3,1,3,3,1
53647,3,3,3,2,0,3,3,3,3,3,2,3,3,2
53656,3,3,3,3,1,3,3,3,3,3,3,3,3,3
35168,3,3,3,3,1,3,3,3,3,3,3,3,3,3
41252,3,3,3,2,1,3,2,3,3,3,0,3,3,3
41312,3,3,3,2,0,3,3,3,3,3,3,3,3,3
19777,3,3,3,3,0,3,3,3,2,3,0,1,3,2
20523,2,2,3,2,0,1,0,3,0,1,0,2,3,0
20626,3,3,3,1,0,2,1,3,1,2,0,1,3,0
27164,3,3,3,3,3,3,3,3,1,1,0,1,3,2
27849,3,3,3,2,1,3,1,3,1,2,0,3,3,1
27877,1,1,0,1,0,0,0,1,0,0,1,1,3,0
29680,3,2,3,2,0,2,1,2,2,2,0,3,3,2
32116,3,3,2,2,2,3,3,3,2,2,0,1,3,3
34893,3,3,3,2,0,3,2,1,0,1,0,2,3,2
38533,3,3,3,3,3,3,3,3,3,3,2,3,3,2
41106,3,3,3,2,1,3,3,3,3,3,3,3,3,3
41537,3,3,3,2,0,3,3,3,3,3,3,3,3,3
42194,3,3,3,1,0,2,3,3,3,3,3,3,3,3
43959,3,3,3,3,2,3,3,3,2,3,1,2,3,1
44099,3,3,3,3,3,3,3,3,3,3,3,3,3,3
45319,3,3,2,2,1,3,3,3,3,3,0,3,3,3
46719,3,3,3,3,1,3,3,3,3,3,3,1,3,3
50856,3,3,3,3,2,3,3,3,2,3,3,3,3,0
51164,3,3,3,2,0,3,3,3,3,3,3,3,3,1
27754,2,1,3,2,0,0,0,2,0,0,3,2,3,1
30880,3,2,2,1,0,2,1,2,0,1,0,2,3,0
33499,3,3,3,2,0,2,0,2,0,1,0,1,3,0
33863,3,3,2,1,0,2,2,1,2,2,0,1,3,3
35160,3,3,2,1,1,2,3,3,1,2,2,1,3,3
40816,3,3,3,2,1,3,3,3,3,3,3,3,3,2
43273,3,3,3,1,0,2,3,3,2,3,3,3,3,2
43346,3,3,3,3,1,3,3,3,3,3,3,3,3,2
44156,2,1,3,3,1,1,0,3,0,1,0,2,3,3
44450,3,3,3,2,1,3,3,3,2,3,1,1,3,2
46407,3,3,3,3,1,3,3,3,3,1,3,3,3,3
51561,3,3,3,2,1,2,1,2,0,0,3,2,3,1
51669,3,3,3,3,2,3,3,3,3,3,0,3,3,3
53186,3,3,3,3,2,3,3,3,2,2,2,3,3,1
53401,3,3,3,3,1,3,2,3,2,2,3,3,3,2
33014,3,3,3,3,1,3,3,3,3,2,3,3,3,2
38551,3,3,3,3,0,1,1,3,0,3,0,2,3,0
45509,3,3,2,2,1,1,1,3,1,2,3,3,3,3
32511,3,3,2,1,0,2,2,2,1,1,3,1,3,3
40810,3,3,3,2,1,3,3,3,3,3,3,3,3,1
48600,3,3,3,3,3,3,3,3,1,3,3,3,3,2
24881,3,3,3,3,3,2,1,3,1,2,3,3,3,0
27742,3,2,2,1,0,0,0,1,0,0,1,1,1,0
40477,3,3,3,2,1,2,2,2,0,2,1,2,3,1
23145,3,3,3,3,3,3,3,3,1,2,0,2,3,3
38885,3,3,3,2,0,3,3,3,3,3,3,3,3,3
50027,3,3,3,1,0,3,3,3,3,2,1,3,3,2
