	token	matches_expected	sframe	nframes	pitch_mean	pitch_start	pitch_end	pitch_high	pitch_low	pitch_slope
<pause>	<pause>	1	0	48	76.06291018997973	104.52124352331302	90.32124352331303	104.52124352331302	18.621243523313012	-0.2958333333333331
sam	sam	1	48	71	82.6592716923271	93.421243523313	124.421243523313	140.12124352331298	32.02124352331302	0.43661971830985913
<pause>		0	0	0	0.0	0.0	0.0	0.0	0.0	0.0
and	and	1	119	69	53.54298265374779	117.62124352331298	19.821243523313	117.62124352331298	9.421243523312995	-1.417391304347826
<pause>		0	0	0	0.0	0.0	0.0	0.0	0.0	0.0
jo	jo	1	188	134	31.62497486659658	19.821243523313	35.821243523313	78.221243523313	0.5212435233130179	0.11940298507462686
<pause>	<pause>	1	322	44	42.2553344324039	37.02124352331302	40.921243523312995	47.421243523312995	29.521243523313018	0.08863636363636312
went	went	1	366	39	60.098166600236105	44.82124352331303	160.32124352331303	160.32124352331303	9.421243523312995	2.9615384615384617
<pause>		0	0	0	0.0	0.0	0.0	0.0	0.0	0.0
for	for	1	405	93	72.16425427600122	166.12124352331298	-21.278756476686993	181.721243523313	-21.278756476686993	-2.01505376344086
<pause>		0	0	0	0.0	0.0	0.0	0.0	0.0	0.0
a	a	1	498	15	-10.258756476686992	-31.778756476686993	7.121243523313012	7.121243523313012	-31.778756476686993	2.5933333333333337
<pause>		0	0	0	0.0	0.0	0.0	0.0	0.0	0.0
hike	hike	1	513	59	-36.7838412224497	8.221243523313007	-38.178756476687	25.821243523313	-98.678756476687	-0.7864406779661018
<pause>	<pause>	1	572	18	-10.228756476686995	-35.47875647668698	16.321243523313	16.321243523313	-35.47875647668698	2.877777777777777
they	they	1	590	30	6.477910189979675	19.821243523313	4.921243523312995	33.22124352331301	-6.978756476686982	-0.49666666666666687
<pause>	<pause>	1	620	52	27.817397369466867	3.821243523313001	54.121243523312984	54.121243523312984	3.821243523313001	0.967307692307692
took	took	1	672	36	95.01568796775747	54.121243523312984	55.52124352331302	143.721243523313	54.121243523312984	0.03888888888888983
<pause>	<pause>	1	708	26	5.982781984851461	51.421243523312995	-33.678756476687	51.421243523312995	-33.678756476687	-3.273076923076923
a	a	1	734	52	20.902012754082232	-36.37875647668699	48.82124352331303	69.52124352331302	-39.078756476687005	1.6384615384615389
<pause>	<pause>	1	786	3	43.521243523313	46.121243523312984	40.921243523312995	46.121243523312984	40.921243523312995	-1.7333333333333296
path	path	1	789	33	31.387910189979678	38.32124352331303	27.021243523313018	39.621243523312984	25.821243523313	-0.34242424242424274
<pause>	<pause>	1	822	12	19.579576856646344	25.821243523313	10.521243523313018	25.821243523313	10.521243523313018	-1.2749999999999986
through		0	0	0	0.0	0.0	0.0	0.0	0.0	0.0
<pause>	<pause>	0	834	1264	22.647910189979672	8.221243523313007	27.021243523313018	27.021243523313018	8.221243523313007	0.2506666666666668
the	the	1	2098	40	-4.7787564766869925	27.021243523313018	21.021243523313018	28.321243523313	-24.178756476687	-0.15
<pause>	<pause>	1	2138	21	66.2974339995035	25.821243523313	88.82124352331303	88.82124352331303	25.821243523313	3.0000000000000013
woods		0	0	0	0.0	0.0	0.0	0.0	0.0	0.0
<pause>	<pause>	0	2159	295	8.221243523313007	8.221243523313007	8.221243523313007	8.221243523313007	8.221243523313007	0.0
