	token	matches_expected	sframe	nframes	pitch_mean	pitch_start	pitch_end	pitch_high	pitch_low	pitch_slope
<pause>	<pause>	1	0	17	-10.381742102785099	-12.381742102785097	-24.781742102785103	10.618257897214903	-33.8817421027851	-0.7294117647058826
sam	sam	1	17	74	35.79258222153922	-34.68174210278511	56.718257897214926	104.41825789721491	-39.8817421027851	1.2351351351351356
<pause>	<pause>	0	91	1262	-26.3317421027851	-5.381742102785097	-43.2817421027851	-5.381742102785097	-43.2817421027851	-2.105555555555556
and	and	1	1353	94	-38.83280593257233	-44.8817421027851	-17.281742102785103	12.818257897214892	-70.08174210278509	0.29361702127659567
<pause>	<pause>	1	1447	44	-32.55219664823963	-17.281742102785103	-49.7817421027851	-17.281742102785103	-49.7817421027851	-0.7386363636363636
jo	jo	1	1491	25	-61.56174210278509	-50.581742102785086	-70.7817421027851	-50.581742102785086	-70.7817421027851	-0.8080000000000007
<pause>	<pause>	1	1516	27	-79.95581617685919	-71.48174210278509	-90.1817421027851	-71.48174210278509	-90.1817421027851	-0.6925925925925926
went	went	1	1543	45	-97.80396432500733	-90.7817421027851	-78.18174210278511	-78.18174210278511	-106.3817421027851	0.27999999999999986
<pause>		0	0	0	0.0	0.0	0.0	0.0	0.0	0.0
for	for	1	1588	82	-63.578083566199716	-76.8817421027851	-7.381742102785097	-7.381742102785097	-85.2817421027851	0.8475609756097561
<pause>	<pause>	1	1670	16	20.705757897214905	-4.281742102785103	47.51825789721488	47.51825789721488	-4.281742102785103	3.237499999999999
a	a	1	1686	84	-28.681742102785105	51.418257897214914	-97.6817421027851	144.51825789721488	-105.2817421027851	-1.7750000000000004
<pause>	<pause>	1	1770	175	-32.42288495992799	-97.0817421027851	18.418257897214914	18.418257897214914	-97.0817421027851	0.66
hike	hike	1	1945	79	43.260030049113645	27.718257897214897	5.118257897214903	81.71825789721493	-31.18174210278511	-0.2860759493670885
<pause>	<pause>	1	2024	119	-31.063254707827117	5.118257897214903	-48.98174210278509	5.118257897214903	-48.98174210278509	-0.45462184873949574
they	they	1	2143	7	-55.81031353135653	-48.98174210278509	-62.081742102785086	-48.98174210278509	-67.8817421027851	-1.8714285714285706
<pause>		0	0	0	0.0	0.0	0.0	0.0	0.0	0.0
took	took	1	2150	9	-55.71507543611843	-65.7817421027851	-55.2817421027851	-46.581742102785086	-65.7817421027851	1.1666666666666667
<pause>		0	0	0	0.0	0.0	0.0	0.0	0.0	0.0
a	a	1	2159	50	-48.365742102785106	-52.98174210278509	-41.581742102785086	-30.281742102785103	-58.3817421027851	0.22800000000000012
<pause>	<pause>	1	2209	106	-7.360987385803958	-41.581742102785086	18.418257897214914	18.418257897214914	-41.581742102785086	0.5660377358490566
path	path	1	2315	80	-58.89924210278512	18.418257897214914	-47.3817421027851	21.918257897214914	-88.98174210278509	-0.8225000000000001
<pause>	<pause>	1	2395	27	4.066406045363054	-44.081742102785086	52.718257897214926	52.718257897214926	-44.081742102785086	3.5851851851851855
through	through	1	2422	24	70.37659123054823	56.718257897214926	67.51825789721488	80.31825789721489	56.718257897214926	0.4499999999999981
<pause>	<pause>	1	2446	3	67.51825789721488	67.51825789721488	67.51825789721488	67.51825789721488	67.51825789721488	0.0
the		0	0	0	0.0	0.0	0.0	0.0	0.0	0.0
<pause>	<pause>	1	2449	172	79.07523464140087	67.51825789721488	87.6182578972149	87.6182578972149	67.51825789721488	0.1168604651162792
woods	soon	0	2621	53	50.48806921796967	87.6182578972149	46.218257897214926	87.6182578972149	33.7182578972149	-0.7811320754716977
<pause>	<pause>	1	2674	45	46.30492456388159	46.218257897214926	48.81825789721489	48.81825789721489	46.218257897214926	0.05777777777777702
suddenly	returned	0	2719	50	44.288257897214905	50.1182578972149	63.418257897214914	78.81825789721489	18.418257897214914	0.26600000000000024
<pause>		0	0	0	0.0	0.0	0.0	0.0	0.0	0.0
sam		0	0	0	0.0	0.0	0.0	0.0	0.0	0.0
<pause>		0	0	0	0.0	0.0	0.0	0.0	0.0	0.0
heard		0	0	0	0.0	0.0	0.0	0.0	0.0	0.0
<pause>	<pause>	1	2769	8	52.393257897214895	62.01825789721488	19.51825789721491	62.01825789721488	19.51825789721491	-5.3124999999999964
a	a	1	2777	42	17.792067421024427	21.918257897214914	13.918257897214914	25.418257897214914	13.918257897214914	-0.19047619047619047
<pause>	<pause>	1	2819	3	13.184924563881566	13.918257897214914	12.818257897214892	13.918257897214914	12.818257897214892	-0.36666666666667425
noise	noise	1	2822	53	5.5559937462715085	13.918257897214914	0.9182578972149145	18.418257897214914	-13.381742102785097	-0.24528301886792453
<pause>	<pause>	1	2875	56	0.9182578972149145	0.9182578972149145	0.9182578972149145	0.9182578972149145	0.9182578972149145	0.0
coming	coming	1	2931	40	9.0082578972149	0.9182578972149145	6.218257897214897	31.31825789721489	-1.1817421027851083	0.13249999999999956
<pause>		0	0	0	0.0	0.0	0.0	0.0	0.0	0.0
from	from	1	2971	86	39.367095106517226	6.218257897214897	-1.1817421027851083	144.51825789721488	-1.1817421027851083	-0.08604651162790704
<pause>		0	0	0	0.0	0.0	0.0	0.0	0.0	0.0
the	the	1	3057	42	0.008734087691091677	-2.2817421027851026	6.218257897214897	9.518257897214909	-5.381742102785097	0.20238095238095238
