	token	matches_expected	sframe	nframes	pitch_mean	pitch_start	pitch_end	pitch_high	pitch_low	pitch_slope
<pause>	<pause>	1	0	58	74.82007275132399	74.82007275132398	74.82007275132398	74.82007275132398	74.82007275132398	0.0
sam	sam	1	58	47	69.39879615557933	74.82007275132398	126.920072751324	126.920072751324	41.020072751323966	1.1085106382978729
<pause>		0	0	0	0.0	0.0	0.0	0.0	0.0	0.0
and	and	1	105	22	109.18825456950582	138.02007275132397	21.020072751323966	163.120072751324	21.020072751323966	-5.318181818181818
<pause>		0	0	0	0.0	0.0	0.0	0.0	0.0	0.0
jo	jo	1	127	31	33.9007179126143	23.62007275132399	46.62007275132399	52.32007275132398	18.420072751324	0.7419354838709677
<pause>		0	0	0	0.0	0.0	0.0	0.0	0.0	0.0
went	went	1	158	37	0.355207886459127	39.62007275132399	8.420072751324	39.62007275132399	-16.979927248676006	-0.843243243243243
<pause>		0	0	0	0.0	0.0	0.0	0.0	0.0	0.0
for	for	1	195	17	11.408308045441641	9.720072751323983	24.920072751324	24.920072751324	4.820072751323977	0.8941176470588246
<pause>		0	0	0	0.0	0.0	0.0	0.0	0.0	0.0
a	a	1	212	5	32.880072751324	30.22007275132401	30.22007275132401	35.520072751323966	30.22007275132401	0.0
<pause>		0	0	0	0.0	0.0	0.0	0.0	0.0	0.0
hike	hike	1	217	70	11.078644179895411	30.22007275132401	1.2200727513239826	109.22007275132401	-31.87992724867601	-0.4142857142857147
<pause>	<pause>	1	287	9	4.020072751323988	1.2200727513239826	8.420072751324	8.420072751324	1.2200727513239826	0.8000000000000019
they	they	1	296	18	36.786739417990646	9.720072751323983	61.12007275132399	68.72007275132401	9.720072751323983	2.855555555555556
<pause>		0	0	0	0.0	0.0	0.0	0.0	0.0	0.0
took	took	1	314	24	63.26590608465734	62.62007275132399	43.82007275132398	81.12007275132399	38.32007275132398	-0.7833333333333338
<pause>		0	0	0	0.0	0.0	0.0	0.0	0.0	0.0
a	a	1	338	5	28.220072751324	42.420072751324	18.420072751324	42.420072751324	18.420072751324	-4.8
<pause>		0	0	0	0.0	0.0	0.0	0.0	0.0	0.0
path	path	1	343	40	16.297572751323987	18.420072751324	9.720072751323983	23.62007275132399	6.020072751323994	-0.21750000000000042
<pause>		0	0	0	0.0	0.0	0.0	0.0	0.0	0.0
through	through	1	383	24	-6.042427248676012	8.420072751324	-11.479927248676006	8.420072751324	-13.679927248676023	-0.8291666666666669
<pause>		0	0	0	0.0	0.0	0.0	0.0	0.0	0.0
the	the	1	407	10	6.230072751323985	-11.479927248676006	18.420072751324	21.020072751323966	-11.479927248676006	2.9900000000000007
<pause>		0	0	0	0.0	0.0	0.0	0.0	0.0	0.0
woods	woods	1	417	42	-20.777546296295053	13.420072751324	-13.679927248676023	13.420072751324	-54.079927248676	-0.6452380952380958
<pause>	<pause>	1	459	34	12.940660986618104	-12.579927248676	49.520072751323966	49.520072751323966	-12.579927248676	1.8264705882352932
suddenly	suddenly	1	493	47	30.22858338962186	52.32007275132398	26.22007275132401	65.62007275132399	-2.2799272486760174	-0.5553191489361695
<pause>		0	0	0	0.0	0.0	0.0	0.0	0.0	0.0
sam	sam	1	540	35	24.92292989418113	26.22007275132401	23.62007275132399	36.920072751324	12.120072751323988	-0.07428571428571494
<pause>		0	0	0	0.0	0.0	0.0	0.0	0.0	0.0
heard	heard	1	575	30	5.353406084657323	18.420072751324	-3.479927248676006	18.420072751324	-3.479927248676006	-0.7300000000000002
<pause>		0	0	0	0.0	0.0	0.0	0.0	0.0	0.0
a	a	1	605	6	-19.14659391534268	-6.979927248676006	-33.87992724867601	-6.979927248676006	-33.87992724867601	-4.483333333333334
<pause>		0	0	0	0.0	0.0	0.0	0.0	0.0	0.0
noise	noise	1	611	54	13.68118386243509	-31.87992724867601	28.820072751323977	55.22007275132401	-31.87992724867601	1.1240740740740738
<pause>	<pause>	1	665	25	15.024072751323992	27.520072751323966	2.4200727513239997	27.520072751323966	2.4200727513239997	-1.0039999999999987
coming	coming	1	690	37	8.703856535107771	1.2200727513239826	21.020072751323966	24.920072751324	-9.179927248676023	0.5351351351351347
<pause>		0	0	0	0.0	0.0	0.0	0.0	0.0	0.0
from	from	1	727	18	13.364517195768432	22.320072751323977	-8.079927248676	28.820072751323977	-8.079927248676	-1.6888888888888876
<pause>		0	0	0	0.0	0.0	0.0	0.0	0.0	0.0
the	the	1	745	11	-37.04356361231237	-14.779927248676017	-44.67992724867602	-14.779927248676017	-46.67992724867602	-2.7181818181818187
<pause>		0	0	0	0.0	0.0	0.0	0.0	0.0	0.0
tree	tree	1	756	31	-5.841217571256653	-41.77992724867602	8.420072751324	22.320072751323977	-41.77992724867602	1.619354838709678
<pause>		0	0	0	0.0	0.0	0.0	0.0	0.0	0.0
above	above	1	787	33	-22.513260582009334	3.6200727513239883	-16.979927248676006	3.6200727513239883	-33.87992724867601	-0.624242424242424
<pause>		0	0	0	0.0	0.0	0.0	0.0	0.0	0.0
their	their	1	820	20	-15.934927248676008	-18.079927248676	-3.479927248676006	-3.479927248676006	-24.579927248676	0.7299999999999998
<pause>		0	0	0	0.0	0.0	0.0	0.0	0.0	0.0
heads	heads	1	840	44	-23.48901815776691	-6.979927248676006	-9.179927248676023	-6.979927248676006	-62.079927248676	-0.050000000000000384
<pause>	<pause>	1	884	47	-6.562905972080264	-9.179927248676023	-1.0799272486760003	-1.0799272486760003	-9.179927248676023	0.17234042553191536
jo	jo	1	931	23	18.915724925237036	-1.0799272486760003	56.72007275132401	64.12007275132399	-1.0799272486760003	2.51304347826087
<pause>		0	0	0	0.0	0.0	0.0	0.0	0.0	0.0
climbed	climbed	1	954	44	39.922345478596725	53.82007275132398	56.72007275132401	58.22007275132401	22.320072751323977	0.06590909090909168
<pause>		0	0	0	0.0	0.0	0.0	0.0	0.0	0.0
up	up	1	998	21	30.81054894180018	55.22007275132401	6.020072751323994	55.22007275132401	6.020072751323994	-2.342857142857144
<pause>		0	0	0	0.0	0.0	0.0	0.0	0.0	0.0
to	to	1	1019	13	-6.2876195563683135	2.4200727513239997	0.020072751323993998	2.4200727513239997	-18.079927248676	-0.18461538461538504
<pause>		0	0	0	0.0	0.0	0.0	0.0	0.0	0.0
see	see	1	1032	28	-15.67992724867601	-1.0799272486760003	-25.579927248676	-1.0799272486760003	-25.579927248676	-0.875
<pause>		0	0	0	0.0	0.0	0.0	0.0	0.0	0.0
what	what	1	1060	31	-22.73476595835343	-24.579927248676	-3.479927248676006	-3.479927248676006	-46.67992724867602	0.6806451612903224
<pause>		0	0	0	0.0	0.0	0.0	0.0	0.0	0.0
the	the	1	1091	9	7.242294973546216	0.020072751323993998	8.420072751324	12.120072751323988	0.020072751323993998	0.933333333333334
<pause>		0	0	0	0.0	0.0	0.0	0.0	0.0	0.0
noise	noise	1	1100	37	30.18223491348616	7.220072751323983	-2.2799272486760174	55.22007275132401	-2.2799272486760174	-0.25675675675675674
<pause>		0	0	0	0.0	0.0	0.0	0.0	0.0	0.0
was	was	1	1137	24	-23.15076058200935	-5.779927248676017	-10.379927248676012	-5.779927248676017	-34.87992724867601	-0.19166666666666643
<pause>		0	0	0	0.0	0.0	0.0	0.0	0.0	0.0
and	and	1	1161	16	-23.12992724867602	-6.979927248676006	-33.87992724867601	-4.579927248676	-33.87992724867601	-1.6812500000000004
<pause>		0	0	0	0.0	0.0	0.0	0.0	0.0	0.0
found	found	1	1177	29	-32.95234104177946	-35.87992724867601	1.2200727513239826	1.2200727513239826	-54.979927248676006	1.279310344827586
<pause>		0	0	0	0.0	0.0	0.0	0.0	0.0	0.0
two	two	1	1206	23	35.90268144697616	4.820072751323977	15.920072751324	59.62007275132399	4.820072751323977	0.4826086956521749
<pause>		0	0	0	0.0	0.0	0.0	0.0	0.0	0.0
baby	baby	1	1229	38	8.241125382902942	10.920072751324	18.420072751324	28.820072751323977	-10.379927248676012	0.19736842105263158
<pause>		0	0	0	0.0	0.0	0.0	0.0	0.0	0.0
squirrels	squirrels	1	1267	40	64.112572751324	19.72007275132401	71.72007275132401	105.82007275132398	19.72007275132401	1.3
<pause>	<pause>	1	1307	34	29.673013927794575	68.72007275132401	-4.579927248676	68.72007275132401	-4.579927248676	-2.155882352941177
the	the	1	1341	8	-15.304927248676009	-6.979927248676006	-20.279927248676017	-6.979927248676006	-22.479927248676006	-1.6625000000000014
<pause>		0	0	0	0.0	0.0	0.0	0.0	0.0	0.0
babies	babies	1	1349	39	-1.4183887871375471	-21.37992724867601	31.520072751323966	31.520072751323966	-21.37992724867601	1.3564102564102558
<pause>		0	0	0	0.0	0.0	0.0	0.0	0.0	0.0
were	were	1	1388	12	39.553406084657325	38.32007275132398	43.82007275132398	43.82007275132398	36.920072751324	0.4583333333333333
<pause>		0	0	0	0.0	0.0	0.0	0.0	0.0	0.0
alone	alone	1	1400	35	56.63435846560971	46.62007275132399	2.4200727513239997	82.72007275132401	2.4200727513239997	-1.2628571428571425
<pause>		0	0	0	0.0	0.0	0.0	0.0	0.0	0.0
but	but	1	1435	17	-1.344633131028948	-1.0799272486760003	-4.579927248676	7.220072751323983	-8.079927248676	-0.20588235294117646
