	token	matches_expected	sframe	nframes	pitch_mean	pitch_start	pitch_end	pitch_high	pitch_low	pitch_slope
<pause>	<pause>	1	0	90	118.01436607280496	124.97214385058265	65.97214385058265	124.97214385058265	65.97214385058265	-0.6555555555555556
sam	sam	1	90	38	30.88267016637213	60.87214385058263	101.77214385058267	101.77214385058267	-5.327856149417357	1.076315789473685
<pause>		0	0	0	0.0	0.0	0.0	0.0	0.0	0.0
and	and	1	128	22	92.44487112330991	107.37214385058263	28.972143850582654	124.97214385058265	27.472143850582654	-3.5636363636363626
<pause>		0	0	0	0.0	0.0	0.0	0.0	0.0	0.0
jo	jo	1	150	42	7.438810517249318	25.972143850582654	9.872143850582631	25.972143850582654	-1.2278561494173346	-0.38333333333333386
<pause>		0	0	0	0.0	0.0	0.0	0.0	0.0	0.0
went	went	1	192	57	-4.268207026610331	8.472143850582654	5.672143850582643	8.472143850582654	-17.12785614941737	-0.04912280701754406
<pause>	<pause>	1	249	34	12.54567326234735	5.672143850582643	14.172143850582643	14.172143850582643	5.672143850582643	0.25
for	for	1	283	27	-4.572300593861791	12.772143850582665	-22.227856149417335	12.772143850582665	-22.227856149417335	-1.2962962962962963
<pause>		0	0	0	0.0	0.0	0.0	0.0	0.0	0.0
a	a	1	310	3	-25.994522816084004	-24.727856149417335	-27.227856149417335	-24.727856149417335	-27.227856149417335	-0.8333333333333334
<pause>		0	0	0	0.0	0.0	0.0	0.0	0.0	0.0
hike	hike	1	313	33	-63.59452281608401	-27.227856149417335	-128.22785614941733	-18.427856149417323	-130.42785614941735	-3.0606060606060606
<pause>	<pause>	1	346	127	-106.77037583445676	-128.92785614941735	-22.227856149417335	-22.227856149417335	-136.12785614941734	0.8401574803149607
they	they	1	473	35	-6.742141863703064	-20.92785614941735	-10.627856149417369	-1.2278561494173346	-20.92785614941735	0.2942857142857138
<pause>		0	0	0	0.0	0.0	0.0	0.0	0.0	0.0
took	took	1	508	14	-13.734999006560198	-11.927856149417323	-1.2278561494173346	-1.2278561494173346	-19.727856149417335	0.7642857142857135
<pause>		0	0	0	0.0	0.0	0.0	0.0	0.0	0.0
a	a	1	522	20	30.34214385058266	-1.2278561494173346	24.472143850582654	64.27214385058267	-1.2278561494173346	1.2849999999999995
<pause>	<pause>	1	542	44	31.128962032400885	21.472143850582654	33.57214385058268	33.57214385058268	21.472143850582654	0.2750000000000005
path	path	1	586	47	12.58703746760393	33.57214385058268	15.672143850582643	33.57214385058268	-13.227856149417335	-0.38085106382978795
<pause>	<pause>	1	633	8	16.897143850582673	17.072143850582677	15.672143850582643	17.072143850582677	15.672143850582643	-0.17500000000000426
through	path	0	641	49	-25.740101047376523	14.172143850582643	-34.527856149417346	14.172143850582643	-54.027856149417346	-0.993877551020408
<pause>	<pause>	1	690	12	-23.594522816084012	-33.32785614941736	-10.627856149417369	-10.627856149417369	-33.32785614941736	1.8916666666666657
the	they	0	702	21	-12.96118948275068	-7.927856149417323	-18.427856149417323	-1.2278561494173346	-23.527856149417346	-0.5
<pause>	<pause>	0	723	189	50.43267016637213	41.37214385058263	1.472143850582654	71.07214385058268	1.472143850582654	-0.5249999999999997
woods	woods	0	912	121	-28.97400999557118	35.17214385058264	-26.027856149417346	35.17214385058264	-56.227856149417335	-0.9415384615384613
<pause>	<pause>	1	1033	24	21.417977183915994	-22.227856149417335	71.07214385058268	71.07214385058268	-22.227856149417335	3.8875000000000006
suddenly	suddenly	1	1057	76	31.144512271635293	76.37214385058263	0.1721438505826427	124.97214385058265	-46.227856149417335	-1.0026315789473683
<pause>	<pause>	1	1133	14	13.67928670772551	0.1721438505826427	32.07214385058268	32.07214385058268	0.1721438505826427	2.278571428571431
sam	sam	1	1147	32	45.812768850582664	36.67214385058264	69.37214385058263	85.17214385058264	12.772143850582665	1.0218749999999996
<pause>		0	0	0	0.0	0.0	0.0	0.0	0.0	0.0
heard	heard	1	1179	20	-8.962856149417341	67.67214385058264	-35.727856149417335	67.67214385058264	-46.227856149417335	-5.169999999999999
<pause>		0	0	0	0.0	0.0	0.0	0.0	0.0	0.0
a	a	1	1199	8	-25.777856149417342	-34.527856149417346	-20.92785614941735	-20.92785614941735	-34.527856149417346	1.6999999999999993
<pause>		0	0	0	0.0	0.0	0.0	0.0	0.0	0.0
noise	noise	1	1207	35	32.66928670772552	-13.227856149417335	-91.32785614941736	124.97214385058265	-91.32785614941736	-2.231428571428572
<pause>	<pause>	1	1242	49	-13.658468394315308	-90.42785614941735	44.57214385058268	44.57214385058268	-90.42785614941735	2.755102040816327
coming	coming	1	1291	39	76.51573359417239	46.17214385058264	101.77214385058267	105.47214385058265	46.17214385058264	1.4256410256410261
<pause>		0	0	0	0.0	0.0	0.0	0.0	0.0	0.0
from	from	1	1330	52	26.112528465967287	101.77214385058267	-2.6278561494173687	101.77214385058267	-10.627856149417369	-2.0076923076923086
<pause>		0	0	0	0.0	0.0	0.0	0.0	0.0	0.0
the	the	1	1382	15	-0.22118948275068154	-1.2278561494173346	1.472143850582654	1.472143850582654	-3.927856149417323	0.17999999999999924
<pause>		0	0	0	0.0	0.0	0.0	0.0	0.0	0.0
tree	tree	1	1397	78	-50.39965102121224	1.472143850582654	-77.02785614941735	1.472143850582654	-81.92785614941735	-1.0064102564102564
<pause>	<pause>	1	1475	38	-75.83838246520686	-77.02785614941735	-67.92785614941735	-67.92785614941735	-77.02785614941735	0.23947368421052617
above	above	1	1513	59	6.21451673193859	-65.82785614941736	-2.6278561494173687	78.07214385058268	-65.82785614941736	1.0711864406779659
<pause>		0	0	0	0.0	0.0	0.0	0.0	0.0	0.0
their	their	1	1572	21	-27.632618054179243	-11.927856149417323	-33.32785614941736	-11.927856149417323	-33.32785614941736	-1.0190476190476208
<pause>		0	0	0	0.0	0.0	0.0	0.0	0.0	0.0
heads	heads	1	1593	56	-17.96535614941735	-33.32785614941736	-29.727856149417335	20.072143850582677	-38.12785614941734	0.0642857142857147
<pause>	<pause>	1	1649	15	-20.301189482750676	-29.727856149417335	-9.327856149417357	-9.327856149417357	-29.727856149417335	1.3599999999999985
jo	jo	1	1664	44	25.906234759673566	-7.927856149417323	42.972143850582654	62.57214385058268	-7.927856149417323	1.1568181818181813
<pause>	<pause>	1	1708	3	47.23881051724933	46.17214385058264	47.772143850582665	47.772143850582665	46.17214385058264	0.5333333333333409
climbed	climbed	1	1711	66	19.466083244522054	49.37214385058263	18.572143850582677	50.972143850582654	-2.6278561494173687	-0.46666666666666595
<pause>		0	0	0	0.0	0.0	0.0	0.0	0.0	0.0
up	up	1	1777	33	-9.939977361538558	22.972143850582654	-17.12785614941737	22.972143850582654	-27.227856149417335	-1.2151515151515158
<pause>	<pause>	1	1810	30	-11.537856149417356	-17.12785614941737	-9.327856149417357	-9.327856149417357	-17.12785614941737	0.2600000000000004
to	to	1	1840	16	-8.840356149417342	-9.327856149417357	-19.727856149417335	-1.2278561494173346	-19.727856149417335	-0.6499999999999986
<pause>		0	0	0	0.0	0.0	0.0	0.0	0.0	0.0
see	see	1	1856	56	-0.3814275779887722	-18.427856149417323	-26.027856149417346	38.272143850582665	-26.027856149417346	-0.13571428571428612
<pause>		0	0	0	0.0	0.0	0.0	0.0	0.0	0.0
what	what	1	1912	42	0.4245248029636051	-27.227856149417335	11.372143850582631	22.972143850582654	-33.32785614941736	0.9190476190476182
<pause>		0	0	0	0.0	0.0	0.0	0.0	0.0	0.0
the	the	1	1954	19	-17.001540359943657	7.072143850582677	-19.727856149417335	7.072143850582677	-29.727856149417335	-1.4105263157894743
<pause>		0	0	0	0.0	0.0	0.0	0.0	0.0	0.0
noise	noise	1	1973	83	-13.47604892050168	-18.427856149417323	-30.92785614941735	18.572143850582677	-34.527856149417346	-0.15060240963855456
<pause>		0	0	0	0.0	0.0	0.0	0.0	0.0	0.0
was	was	1	2056	63	-27.640554562115735	-36.92785614941735	-7.927856149417323	-1.2278561494173346	-47.32785614941736	0.4603174603174608
<pause>	<pause>	1	2119	78	10.906759235198033	-9.327856149417357	-27.227856149417335	25.972143850582654	-27.227856149417335	-0.2294871794871792
and	and	1	2197	57	-16.12083860555769	-29.727856149417335	15.672143850582643	17.072143850582677	-55.12785614941734	0.796491228070175
<pause>	<pause>	1	2254	47	14.142356616540114	15.672143850582643	-1.2278561494173346	17.072143850582677	-1.2278561494173346	-0.3595744680851059
found	found	1	2301	51	-11.684718894515377	-2.6278561494173687	15.672143850582643	20.072143850582677	-38.12785614941734	0.35882352941176493
<pause>		0	0	0	0.0	0.0	0.0	0.0	0.0	0.0
two	two	1	2352	35	14.775000993439805	17.072143850582677	4.272143850582665	38.272143850582665	-2.6278561494173687	-0.36571428571428605
<pause>		0	0	0	0.0	0.0	0.0	0.0	0.0	0.0
baby	baby	1	2387	47	-2.9853029579279844	2.8721438505826313	46.17214385058264	49.37214385058263	-33.32785614941736	0.9212765957446811
<pause>		0	0	0	0.0	0.0	0.0	0.0	0.0	0.0
squirrels	squirrels	1	2434	46	31.326491676669637	46.17214385058264	-30.92785614941735	88.77214385058267	-67.92785614941735	-1.6760869565217391
<pause>	<pause>	1	2480	66	-0.036947058508259675	-32.12785614941734	2.8721438505826313	15.672143850582643	-32.12785614941734	0.5303030303030298
the	the	1	2546	10	-15.65785614941735	0.1721438505826427	-30.92785614941735	0.1721438505826427	-30.92785614941735	-3.1099999999999994
<pause>		0	0	0	0.0	0.0	0.0	0.0	0.0	0.0
babies	babies	1	2556	97	5.418535603159977	-34.527856149417346	18.572143850582677	78.07214385058268	-38.12785614941734	0.5474226804123714
<pause>	<pause>	1	2653	91	31.585330663769483	20.072143850582677	-14.527856149417346	41.37214385058263	-14.527856149417346	-0.3802197802197805
were	were	1	2744	51	-10.78864046314283	-17.12785614941737	-11.927856149417323	8.472143850582654	-36.92785614941735	0.10196078431372638
<pause>		0	0	0	0.0	0.0	0.0	0.0	0.0	0.0
alone	alone	1	2795	77	-7.804479526040714	-19.727856149417335	17.072143850582677	24.472143850582654	-38.12785614941734	0.4779220779220781
<pause>	<pause>	1	2872	13	10.125990004428804	15.672143850582643	8.472143850582654	15.672143850582643	8.472143850582654	-0.553846153846153
but	but	1	2885	25	-5.823856149417345	7.072143850582677	-6.627856149417369	7.072143850582677	-14.527856149417346	-0.5480000000000018
<pause>		0	0	0	0.0	0.0	0.0	0.0	0.0	0.0
their	their	1	2910	19	-4.19627720204893	-7.927856149417323	-11.927856149417323	0.1721438505826427	-11.927856149417323	-0.21052631578947367
<pause>		0	0	0	0.0	0.0	0.0	0.0	0.0	0.0
mother	mother	1	2929	48	10.436727183915986	-10.627856149417369	-1.2278561494173346	38.272143850582665	-10.627856149417369	0.19583333333333405
<pause>		0	0	0	0.0	0.0	0.0	0.0	0.0	0.0
must	must	1	2977	34	-3.071973796476176	0.1721438505826427	-2.6278561494173687	11.372143850582631	-14.527856149417346	-0.08235294117647092
<pause>	<pause>	1	3011	46	-56.81481267115647	-2.6278561494173687	-128.92785614941735	-1.2278561494173346	-128.92785614941735	-2.7456521739130433
be	be	1	3057	20	-136.24285614941735	-131.82785614941736	-131.12785614941734	-131.12785614941734	-143.52785614941735	0.03500000000000085
<pause>		0	0	0	0.0	0.0	0.0	0.0	0.0	0.0
somewhere	somewhere	1	3077	47	-26.8831752983535	-128.92785614941735	8.472143850582654	8.472143850582654	-128.92785614941735	2.923404255319149
<pause>		0	0	0	0.0	0.0	0.0	0.0	0.0	0.0
near	near	1	3124	42	18.65309623153504	9.872143850582631	-22.227856149417335	74.57214385058268	-28.42785614941735	-0.7642857142857135
<pause>	<pause>	1	3166	36	-96.20007837163956	-26.027856149417346	-142.22785614941733	-26.027856149417346	-142.22785614941733	-3.2277777777777774
the	the	1	3202	22	-139.69149251305367	-142.82785614941736	-140.12785614941734	-136.72785614941733	-144.12785614941734	0.1227272727272735
<pause>	<pause>	1	3224	3	-139.06118948275068	-139.52785614941735	-138.82785614941736	-138.82785614941736	-139.52785614941735	0.23333333333332953
children		0	0	0	0.0	0.0	0.0	0.0	0.0	0.0
<pause>	<pause>	1	3227	49	-98.1360194147235	-138.82785614941736	-32.12785614941734	-32.12785614941734	-138.82785614941736	2.1775510204081634
watched	watched	0	3276	171	0.37214385058264676	-45.12785614941734	5.672143850582643	18.572143850582677	-45.12785614941734	0.8610169491525421
<pause>	<pause>	1	3447	5	-0.1278561494173573	4.272143850582665	-5.327856149417357	4.272143850582665	-5.327856149417357	-1.9200000000000046
and	and	1	3452	16	-24.965356149417335	-7.927856149417323	-34.527856149417346	-7.927856149417323	-34.527856149417346	-1.6625000000000014
<pause>		0	0	0	0.0	0.0	0.0	0.0	0.0	0.0
waited	waited	1	3468	56	-41.39749900656019	-35.727856149417335	-15.827856149417357	-15.827856149417357	-83.82785614941736	0.3553571428571424
<pause>	<pause>	1	3524	131	89.5645102627963	-13.227856149417335	76.37214385058263	119.07214385058268	-13.227856149417335	0.6839694656488547
sure	sure	1	3655	43	49.423306641280334	74.57214385058268	35.17214385058264	74.57214385058268	24.472143850582654	-0.9162790697674427
<pause>		0	0	0	0.0	0.0	0.0	0.0	0.0	0.0
enough	enough	1	3698	51	14.14665365450423	27.472143850582654	2.8721438505826313	33.57214385058268	-5.327856149417357	-0.48235294117647104
<pause>		0	0	0	0.0	0.0	0.0	0.0	0.0	0.0
the	the	1	3749	9	0.3165882950270884	2.8721438505826313	-2.6278561494173687	5.672143850582643	-7.927856149417323	-0.6111111111111112
<pause>		0	0	0	0.0	0.0	0.0	0.0	0.0	0.0
mother	mother	1	3758	39	21.333682312121134	-2.6278561494173687	18.572143850582677	35.17214385058264	-2.6278561494173687	0.5435897435897448
<pause>		0	0	0	0.0	0.0	0.0	0.0	0.0	0.0
soon	soon	1	3797	32	8.975268850582655	20.072143850582677	-5.327856149417357	32.07214385058268	-11.927856149417323	-0.7937500000000011
<pause>		0	0	0	0.0	0.0	0.0	0.0	0.0	0.0
returned	returned	1	3829	71	-3.317996994487758	-5.327856149417357	-10.627856149417369	64.27214385058267	-34.527856149417346	-0.07464788732394383
<pause>	<pause>	1	3900	17	-0.727856149417358	-9.327856149417357	2.8721438505826313	2.8721438505826313	-9.327856149417357	0.7176470588235287
with	with	1	3917	16	-8.215356149417346	2.8721438505826313	-5.327856149417357	2.8721438505826313	-18.427856149417323	-0.5124999999999993
<pause>		0	0	0	0.0	0.0	0.0	0.0	0.0	0.0
a	a	1	3933	5	-16.027856149417346	-7.927856149417323	-20.92785614941735	-7.927856149417323	-20.92785614941735	-2.600000000000006
<pause>		0	0	0	0.0	0.0	0.0	0.0	0.0	0.0
mouthful	mouthful	1	3938	65	1.3613746198134264	-19.727856149417335	-22.227856149417335	33.57214385058268	-30.92785614941735	-0.038461538461538464
<pause>		0	0	0	0.0	0.0	0.0	0.0	0.0	0.0
of	of	1	4003	11	-10.50058342214462	-20.92785614941735	7.072143850582677	7.072143850582677	-20.92785614941735	2.545454545454548
<pause>		0	0	0	0.0	0.0	0.0	0.0	0.0	0.0
nuts	nuts	1	4014	25	32.78414385058264	15.672143850582643	28.972143850582654	57.57214385058268	15.672143850582643	0.5320000000000005
<pause>	<pause>	1	4039	135	41.10844014687893	28.972143850582654	-32.12785614941734	71.07214385058268	-40.42785614941735	-0.45259259259259255
the	the	1	4174	16	-15.121606149417346	-27.227856149417335	-20.92785614941735	-6.627856149417369	-27.227856149417335	0.39374999999999893
<pause>		0	0	0	0.0	0.0	0.0	0.0	0.0	0.0
noises	noises	1	4190	147	-11.372754108601011	-18.427856149417323	0.1721438505826427	27.472143850582654	-35.727856149417335	0.12653061224489773
<pause>	<pause>	1	4337	18	1.1110327394715398	0.1721438505826427	1.472143850582654	1.472143850582654	0.1721438505826427	0.07222222222222285
stopped	stopped	1	4355	52	-14.70862538018658	1.472143850582654	-19.727856149417335	1.472143850582654	-26.027856149417346	-0.40769230769230747
<pause>	<pause>	1	4407	39	-63.80990743146862	-20.92785614941735	-63.727856149417335	-20.92785614941735	-85.72785614941733	-1.097435897435897
as	as	1	4446	32	-30.74348114941736	-59.527856149417346	-24.727856149417335	-24.727856149417335	-59.527856149417346	1.0875000000000004
<pause>		0	0	0	0.0	0.0	0.0	0.0	0.0	0.0
the	the	1	4478	10	-21.34785614941734	-23.527856149417346	-23.527856149417346	-18.427856149417323	-23.527856149417346	0.0
<pause>		0	0	0	0.0	0.0	0.0	0.0	0.0	0.0
baby	baby	1	4488	38	-9.117329833627872	-28.42785614941735	15.672143850582643	18.572143850582677	-33.32785614941736	1.1605263157894736
<pause>		0	0	0	0.0	0.0	0.0	0.0	0.0	0.0
squirrels	squirrels	1	4526	50	-12.381856149417345	14.172143850582643	-22.227856149417335	14.172143850582643	-23.527856149417346	-0.7279999999999995
<pause>		0	0	0	0.0	0.0	0.0	0.0	0.0	0.0
began	began	1	4576	41	-33.418100051856364	-22.227856149417335	-29.727856149417335	-20.92785614941735	-42.727856149417335	-0.18292682926829268
<pause>		0	0	0	0.0	0.0	0.0	0.0	0.0	0.0
to	to	1	4617	6	-1.1278561494173498	-23.527856149417346	18.572143850582677	18.572143850582677	-23.527856149417346	7.01666666666667
<pause>		0	0	0	0.0	0.0	0.0	0.0	0.0	0.0
eat	eat	1	4623	32	8.812768850582659	24.472143850582654	-13.227856149417335	109.37214385058263	-59.527856149417346	-1.1781249999999996
<pause>	<pause>	1	4655	54	63.966588295027115	-7.927856149417323	30.572143850582677	103.57214385058268	-7.927856149417323	0.7129629629629629
sam	sam	1	4709	28	20.63285813629694	25.972143850582654	50.972143850582654	50.972143850582654	11.372143850582631	0.8928571428571429
<pause>		0	0	0	0.0	0.0	0.0	0.0	0.0	0.0
