	token	matches_expected	sframe	nframes	pitch_mean	pitch_start	pitch_end	pitch_high	pitch_low	pitch_slope
<pause>	<pause>	1	0	85	156.5670668058446	156.5670668058445	156.5670668058445	156.5670668058445	156.5670668058445	0.0
sam	sam	1	85	28	142.68849537727306	156.5670668058445	156.5670668058445	156.5670668058445	129.5670668058445	0.0
<pause>	<pause>	1	113	32	-1.2485581941555104	156.5670668058445	-26.832933194155515	156.5670668058445	-33.23293319415552	-5.73125
and	and	1	145	9	91.13373347251117	156.5670668058445	22.26706680584448	156.5670668058445	22.26706680584448	-14.922222222222224
<pause>		0	0	0	0.0	0.0	0.0	0.0	0.0	0.0
jo	jo	1	154	49	-7.132933194155507	5.56706680584449	-59.73293319415552	11.867066805844502	-59.73293319415552	-1.33265306122449
<pause>		0	0	0	0.0	0.0	0.0	0.0	0.0	0.0
went	went	1	203	27	-52.162562823785144	-66.0329331941555	-39.43293319415551	-31.1329331941555	-107.93293319415551	0.9851851851851849
<pause>	<pause>	1	230	4	-46.857933194155514	-40.43293319415551	-53.23293319415552	-40.43293319415551	-53.23293319415552	-3.200000000000003
for	for	1	234	29	-30.777760780362406	-58.832933194155515	-23.532933194155504	-20.23293319415552	-58.832933194155515	1.2172413793103452
<pause>		0	0	0	0.0	0.0	0.0	0.0	0.0	0.0
a	a	1	263	14	-23.140076051298365	-23.532933194155504	-24.6329331941555	-21.332933194155515	-24.6329331941555	-0.07857142857142817
<pause>		0	0	0	0.0	0.0	0.0	0.0	0.0	0.0
hike	hike	1	277	44	-112.71702410324639	-27.93293319415551	-132.9329331941555	-27.93293319415551	-156.0329331941555	-2.3863636363636362
<pause>	<pause>	1	321	40	-91.06543319415549	-131.33293319415552	-42.43293319415551	-42.43293319415551	-131.33293319415552	2.2225
they	they	1	361	34	-9.338815547096681	-39.43293319415551	-7.632933194155498	9.367066805844502	-39.43293319415551	0.9352941176470592
<pause>		0	0	0	0.0	0.0	0.0	0.0	0.0	0.0
took	took	1	395	53	61.98404793791997	-6.532933194155504	8.06706680584449	118.56706680584449	-6.532933194155504	0.27547169811320743
