	token	matches_expected	sframe	nframes	pitch_mean	pitch_start	pitch_end	pitch_high	pitch_low	pitch_slope
<pause>	<pause>	1	0	94	-131.72842075847944	-175.94650586486247	-31.646505864862462	-31.646505864862462	-175.94650586486247	1.5351063829787235
sam	sam	1	94	31	15.253494135137535	-27.34650586486248	37.053494135137555	57.45349413513753	-27.34650586486248	2.0774193548387108
<pause>		0	0	0	0.0	0.0	0.0	0.0	0.0	0.0
and	and	1	125	25	5.681494135137533	32.85349413513751	-12.746505864862456	32.85349413513751	-12.746505864862456	-1.8239999999999987
<pause>		0	0	0	0.0	0.0	0.0	0.0	0.0	0.0
jo	jo	1	150	35	-25.957934436291033	-13.946505864862473	-51.94650586486247	-5.746505864862456	-53.84650586486248	-1.0857142857142856
<pause>		0	0	0	0.0	0.0	0.0	0.0	0.0	0.0
went	went	1	185	34	-3.3435646883918757	-48.04650586486247	6.453494135137532	14.153494135137521	-48.04650586486247	1.6029411764705883
<pause>	<pause>	1	219	4	3.3784941351375366	5.253494135137544	1.5534941351375267	5.253494135137544	1.5534941351375267	-0.9250000000000043
for	for	1	223	31	-16.830376832604408	0.2534941351375437	-36.94650586486247	0.2534941351375437	-36.94650586486247	-1.2000000000000006
<pause>		0	0	0	0.0	0.0	0.0	0.0	0.0	0.0
a	a	1	254	6	-27.996505864862467	-35.84650586486248	-19.646505864862462	-19.646505864862462	-35.84650586486248	2.700000000000003
<pause>		0	0	0	0.0	0.0	0.0	0.0	0.0	0.0
hike	hike	1	260	51	49.33388629200028	-16.246505864862456	85.85349413513751	85.85349413513751	-16.246505864862456	2.001960784313725
<pause>	<pause>	1	311	47	73.89817498620137	87.55349413513756	41.35349413513751	95.95349413513753	41.35349413513751	-0.9829787234042563
they	they	1	358	23	19.08392891774623	39.85349413513751	18.053494135137555	39.85349413513751	5.253494135137544	-0.9478260869565197
<pause>		0	0	0	0.0	0.0	0.0	0.0	0.0	0.0
took	took	1	381	41	39.55105511074727	22.053494135137555	30.15349413513752	62.053494135137555	22.053494135137555	0.19756097560975527
<pause>	<pause>	0	422	2075	72.95349413513753	72.95349413513753	72.95349413513753	72.95349413513753	72.95349413513753	0.0
a	a	1	2497	132	85.73985777150118	72.95349413513753	116.95349413513753	116.95349413513753	55.95349413513753	0.3333333333333333
<pause>	<pause>	1	2629	307	106.28509022634275	120.65349413513752	-116.74650586486246	154.95349413513753	-116.74650586486246	-0.7732899022801302
path	path	1	2936	24	-144.0131725315291	-119.94650586486247	-163.14650586486246	-119.94650586486247	-163.14650586486246	-1.7999999999999996
<pause>	<pause>	1	2960	6	-167.96317253152912	-164.34650586486248	-173.84650586486248	-164.34650586486248	-173.84650586486248	-1.5833333333333333
through	through	1	2966	17	-168.48179998250956	-168.24650586486246	-163.94650586486247	-154.14650586486246	-176.94650586486247	0.2529411764705872
<pause>	<pause>	1	2983	34	-112.58768233545068	-161.94650586486247	-40.04650586486247	-40.04650586486247	-161.94650586486247	3.585294117647059
the	the	1	3017	132	63.52243352907693	-33.746505864862456	154.95349413513753	154.95349413513753	-33.746505864862456	1.4295454545454545
<pause>	<pause>	1	3149	113	87.7411047546066	154.95349413513753	-10.446505864862473	154.95349413513753	-10.446505864862473	-1.463716814159292
woods	woods	1	3262	44	-32.46696041031701	-11.646505864862462	-36.94650586486247	-11.646505864862462	-42.04650586486247	-0.5750000000000003
<pause>	<pause>	1	3306	26	-39.984967403324	-36.94650586486247	-49.04650586486247	-36.94650586486247	-49.04650586486247	-0.4653846153846152
suddenly		0	0	0	0.0	0.0	0.0	0.0	0.0	0.0
<pause>		0	0	0	0.0	0.0	0.0	0.0	0.0	0.0
sam		0	0	0	0.0	0.0	0.0	0.0	0.0	0.0
<pause>		0	0	0	0.0	0.0	0.0	0.0	0.0	0.0
heard		0	0	0	0.0	0.0	0.0	0.0	0.0	0.0
<pause>		0	0	0	0.0	0.0	0.0	0.0	0.0	0.0
a		0	0	0	0.0	0.0	0.0	0.0	0.0	0.0
<pause>		0	0	0	0.0	0.0	0.0	0.0	0.0	0.0
noise		0	0	0	0.0	0.0	0.0	0.0	0.0	0.0
<pause>		0	0	0	0.0	0.0	0.0	0.0	0.0	0.0
coming		0	0	0	0.0	0.0	0.0	0.0	0.0	0.0
<pause>		0	0	0	0.0	0.0	0.0	0.0	0.0	0.0
from		0	0	0	0.0	0.0	0.0	0.0	0.0	0.0
<pause>		0	0	0	0.0	0.0	0.0	0.0	0.0	0.0
the		0	0	0	0.0	0.0	0.0	0.0	0.0	0.0
<pause>		0	0	0	0.0	0.0	0.0	0.0	0.0	0.0
tree		0	0	0	0.0	0.0	0.0	0.0	0.0	0.0
<pause>		0	0	0	0.0	0.0	0.0	0.0	0.0	0.0
above		0	0	0	0.0	0.0	0.0	0.0	0.0	0.0
<pause>		0	0	0	0.0	0.0	0.0	0.0	0.0	0.0
their		0	0	0	0.0	0.0	0.0	0.0	0.0	0.0
<pause>		0	0	0	0.0	0.0	0.0	0.0	0.0	0.0
heads		0	0	0	0.0	0.0	0.0	0.0	0.0	0.0
<pause>		0	0	0	0.0	0.0	0.0	0.0	0.0	0.0
jo		0	0	0	0.0	0.0	0.0	0.0	0.0	0.0
<pause>		0	0	0	0.0	0.0	0.0	0.0	0.0	0.0
climbed		0	0	0	0.0	0.0	0.0	0.0	0.0	0.0
<pause>		0	0	0	0.0	0.0	0.0	0.0	0.0	0.0
up		0	0	0	0.0	0.0	0.0	0.0	0.0	0.0
<pause>		0	0	0	0.0	0.0	0.0	0.0	0.0	0.0
to		0	0	0	0.0	0.0	0.0	0.0	0.0	0.0
<pause>		0	0	0	0.0	0.0	0.0	0.0	0.0	0.0
see		0	0	0	0.0	0.0	0.0	0.0	0.0	0.0
<pause>		0	0	0	0.0	0.0	0.0	0.0	0.0	0.0
what		0	0	0	0.0	0.0	0.0	0.0	0.0	0.0
<pause>		0	0	0	0.0	0.0	0.0	0.0	0.0	0.0
the		0	0	0	0.0	0.0	0.0	0.0	0.0	0.0
<pause>		0	0	0	0.0	0.0	0.0	0.0	0.0	0.0
noise		0	0	0	0.0	0.0	0.0	0.0	0.0	0.0
<pause>		0	0	0	0.0	0.0	0.0	0.0	0.0	0.0
was		0	0	0	0.0	0.0	0.0	0.0	0.0	0.0
<pause>		0	0	0	0.0	0.0	0.0	0.0	0.0	0.0
and		0	0	0	0.0	0.0	0.0	0.0	0.0	0.0
<pause>		0	0	0	0.0	0.0	0.0	0.0	0.0	0.0
found		0	0	0	0.0	0.0	0.0	0.0	0.0	0.0
<pause>		0	0	0	0.0	0.0	0.0	0.0	0.0	0.0
two		0	0	0	0.0	0.0	0.0	0.0	0.0	0.0
<pause>		0	0	0	0.0	0.0	0.0	0.0	0.0	0.0
baby		0	0	0	0.0	0.0	0.0	0.0	0.0	0.0
<pause>		0	0	0	0.0	0.0	0.0	0.0	0.0	0.0
squirrels		0	0	0	0.0	0.0	0.0	0.0	0.0	0.0
<pause>		0	0	0	0.0	0.0	0.0	0.0	0.0	0.0
the		0	0	0	0.0	0.0	0.0	0.0	0.0	0.0
<pause>		0	0	0	0.0	0.0	0.0	0.0	0.0	0.0
babies		0	0	0	0.0	0.0	0.0	0.0	0.0	0.0
<pause>		0	0	0	0.0	0.0	0.0	0.0	0.0	0.0
were		0	0	0	0.0	0.0	0.0	0.0	0.0	0.0
<pause>		0	0	0	0.0	0.0	0.0	0.0	0.0	0.0
alone		0	0	0	0.0	0.0	0.0	0.0	0.0	0.0
