	token	matches_expected	sframe	nframes	pitch_mean	pitch_start	pitch_end	pitch_high	pitch_low	pitch_slope
<pause>	<pause>	1	0	179	-93.30538432974616	-93.30538432974652	-93.30538432974652	-93.30538432974652	-93.30538432974652	0.0
sam	sam	1	179	16	-107.31788432974653	-93.30538432974652	-99.10538432974653	-93.30538432974652	-124.70538432974652	-0.3625000000000007
<pause>		0	0	0	0.0	0.0	0.0	0.0	0.0	0.0
and	and	1	195	9	-87.4831621075243	-96.20538432974652	-71.60538432974653	-71.60538432974653	-96.20538432974652	2.7333333333333325
<pause>	<pause>	1	204	30	-27.082050996413184	-63.90538432974651	-12.805384329746516	-7.205384329746494	-63.90538432974651	1.7033333333333331
jo	jo	1	234	70	51.247472813110654	-2.905384329746539	49.994615670253495	67.2946156702535	-2.905384329746539	0.7557142857142862
<pause>	<pause>	1	304	3	49.994615670253495	49.994615670253495	49.994615670253495	49.994615670253495	49.994615670253495	0.0
went	went	1	307	36	17.64183789247571	48.294615670253506	7.194615670253484	48.294615670253506	5.794615670253506	-1.1416666666666673
<pause>	<pause>	1	343	12	9.827949003586818	7.194615670253484	16.294615670253506	16.294615670253506	7.194615670253484	0.7583333333333352
for	for	1	355	41	13.287298597082742	17.794615670253506	-15.505384329746505	28.694615670253484	-15.505384329746505	-0.8121951219512198
<pause>		0	0	0	0.0	0.0	0.0	0.0	0.0	0.0
a	a	1	396	5	-11.385384329746524	-14.105384329746528	-8.605384329746528	-8.605384329746528	-14.105384329746528	1.1
<pause>		0	0	0	0.0	0.0	0.0	0.0	0.0	0.0
hike	hike	1	401	70	-5.578241472603657	-8.605384329746528	13.194615670253484	33.494615670253495	-60.505384329746505	0.3114285714285716
<pause>	<pause>	1	471	47	18.89461567025347	14.694615670253484	7.194615670253484	20.894615670253472	7.194615670253484	-0.1595744680851064
they	they	1	518	27	43.24276381840163	7.194615670253484	36.694615670253484	69.09461567025346	7.194615670253484	1.0925925925925926
<pause>		0	0	0	0.0	0.0	0.0	0.0	0.0	0.0
took	took	1	545	10	36.374615670253476	36.694615670253484	35.09461567025346	36.694615670253484	35.09461567025346	-0.16000000000000228
<pause>	<pause>	1	555	65	21.094615670253464	35.09461567025346	-15.505384329746505	35.09461567025346	-15.505384329746505	-0.778461538461538
a	a	1	620	36	19.691837892475704	-16.90538432974654	-92.30538432974652	76.39461567025347	-95.20538432974652	-2.0944444444444437
<pause>	<pause>	1	656	77	-17.267721992084216	-89.30538432974652	78.19461567025348	110.69461567025348	-89.30538432974652	2.175324675324675
path	path	1	733	50	34.302615670253445	76.39461567025347	17.794615670253506	76.39461567025347	10.194615670253484	-1.1719999999999993
<pause>	<pause>	1	783	48	26.60294900358681	19.294615670253506	30.294615670253506	30.294615670253506	19.294615670253506	0.22916666666666666
through	through	1	831	36	23.416837892475712	30.294615670253506	-12.805384329746516	38.39461567025347	-12.805384329746516	-1.1972222222222229
<pause>		0	0	0	0.0	0.0	0.0	0.0	0.0	0.0
the	the	1	867	20	-11.725384329746518	-16.90538432974654	-19.605384329746528	1.3946156702534722	-19.605384329746528	-0.13499999999999943
<pause>		0	0	0	0.0	0.0	0.0	0.0	0.0	0.0
woods	woods	1	887	39	-46.83615356051573	-26.205384329746494	-44.005384329746505	-26.205384329746494	-51.20538432974652	-0.4564102564102567
<pause>	<pause>	1	926	127	-45.610896140770066	-44.005384329746505	-60.505384329746505	-44.005384329746505	-61.60538432974653	-0.12992125984251968
suddenly	suddenly	1	1053	47	37.760573117062	-65.0053843297465	23.994615670253495	110.69461567025348	-65.0053843297465	1.8936170212765957
<pause>	<pause>	1	1100	20	-7.255384329746517	20.894615670253472	-34.005384329746505	20.894615670253472	-34.005384329746505	-2.7449999999999988
sam	sam	1	1120	75	-78.62138432974649	-36.505384329746505	-15.505384329746505	-15.505384329746505	-111.90538432974651	0.28
<pause>		0	0	0	0.0	0.0	0.0	0.0	0.0	0.0
heard	heard	1	1195	36	57.727949003586815	17.794615670253506	30.294615670253506	110.69461567025348	17.794615670253506	0.3472222222222222
<pause>		0	0	0	0.0	0.0	0.0	0.0	0.0	0.0
a	a	1	1231	31	-30.521513362004583	28.694615670253484	-73.80538432974652	28.694615670253484	-79.10538432974653	-3.306451612903226
<pause>	<pause>	1	1262	21	-71.44347956784175	-73.80538432974652	-59.40538432974651	-59.40538432974651	-73.80538432974652	0.6857142857142859
noise	noise	1	1283	72	-9.547050996413184	-55.90538432974651	58.59461567025346	58.59461567025346	-55.90538432974651	1.5902777777777775
<pause>	<pause>	1	1355	105	108.35747281311075	69.09461567025346	79.9946156702535	110.69461567025348	69.09461567025346	0.10380952380952413
coming	coming	1	1460	47	57.735041202168354	76.39461567025347	28.694615670253484	76.39461567025347	28.694615670253484	-1.0148936170212763
<pause>	<pause>	1	1507	41	-22.698067256575797	22.394615670253472	-11.40538432974654	22.394615670253472	-55.90538432974651	-0.8243902439024393
from	from	1	1548	35	35.65461567025349	-2.905384329746539	31.894615670253472	51.694615670253484	-2.905384329746539	0.9942857142857147
<pause>		0	0	0	0.0	0.0	0.0	0.0	0.0	0.0
the	the	1	1583	52	15.13307720871503	31.894615670253472	-7.205384329746494	31.894615670253472	-10.005384329746505	-0.7519230769230763
<pause>	<pause>	1	1635	3	-7.205384329746494	-7.205384329746494	-7.205384329746494	-7.205384329746494	-7.205384329746494	0.0
tree	tree	1	1638	58	13.691167394391416	-7.205384329746494	28.694615670253484	58.59461567025346	-7.205384329746494	0.6189655172413789
<pause>		0	0	0	0.0	0.0	0.0	0.0	0.0	0.0
above	above	1	1696	63	-17.062527186889376	25.494615670253495	-41.505384329746505	25.494615670253495	-48.805384329746516	-1.0634920634920635
<pause>		0	0	0	0.0	0.0	0.0	0.0	0.0	0.0
their	their	1	1759	20	-21.820384329746524	-35.20538432974652	-20.90538432974654	-14.105384329746528	-35.20538432974652	0.7149999999999992
<pause>		0	0	0	0.0	0.0	0.0	0.0	0.0	0.0
heads	heads	1	1779	41	-110.41514042730748	-23.605384329746528	-142.5053843297465	-23.605384329746528	-166.60538432974653	-2.8999999999999995
<pause>	<pause>	1	1820	100	-96.53438432974644	-139.60538432974653	-20.90538432974654	-20.90538432974654	-139.60538432974653	1.1869999999999998
jo	jo	1	1920	66	14.105221730859546	-18.205384329746494	62.09461567025346	110.69461567025348	-71.60538432974653	1.216666666666666
<pause>	<pause>	1	1986	3	62.09461567025346	62.09461567025346	62.09461567025346	62.09461567025346	62.09461567025346	0.0
climbed	climbed	1	1989	108	19.26961567025348	62.09461567025346	22.394615670253472	65.59461567025346	-11.40538432974654	-0.36759259259259247
<pause>	<pause>	1	2097	12	-14.86371766307984	16.294615670253506	-44.005384329746505	16.294615670253506	-44.005384329746505	-5.025000000000001
up	up	1	2109	42	-37.13157480593703	-48.805384329746516	-37.805384329746516	-23.605384329746528	-53.505384329746505	0.2619047619047619
<pause>	<pause>	1	2151	33	-36.42053584489803	-37.805384329746516	-14.105384329746528	-14.105384329746528	-48.805384329746516	0.7181818181818178
to	to	1	2184	21	7.4565204321582454	-11.40538432974654	-0.10538432974652778	28.694615670253484	-11.40538432974654	0.5380952380952386
<pause>		0	0	0	0.0	0.0	0.0	0.0	0.0	0.0
