	token	matches_expected	sframe	nframes	pitch_mean	pitch_start	pitch_end	pitch_high	pitch_low	pitch_slope
<pause>	<pause>	1	0	137	-131.13775305658555	-151.73264356753435	71.96735643246564	71.96735643246564	-161.33264356753438	1.6328467153284671
sam	sam	1	137	25	125.48335643246565	86.46735643246564	188.46735643246564	188.46735643246564	86.46735643246564	4.08
<pause>		0	0	0	0.0	0.0	0.0	0.0	0.0	0.0
and	and	1	162	11	166.27644734155655	188.46735643246564	122.76735643246565	188.46735643246564	122.76735643246565	-5.972727272727272
<pause>	<pause>	1	173	42	11.672118337227534	100.16735643246562	-39.332643567534376	100.16735643246562	-49.332643567534376	-3.3214285714285716
jo	jo	1	215	57	34.01297046755337	-36.73264356753435	-5.43264356753437	73.36735643246561	-36.73264356753435	0.5491228070175436
<pause>	<pause>	1	272	21	-4.832643567534361	-10.532643567534365	60.86735643246561	60.86735643246561	-29.63264356753436	3.399999999999999
went	went	1	293	27	84.89698606209531	73.36735643246561	94.06735643246566	97.06735643246566	58.167356432465624	0.7666666666666684
<pause>		0	0	0	0.0	0.0	0.0	0.0	0.0	0.0
for	for	1	320	38	70.13840906404457	94.06735643246566	47.667356432465624	94.06735643246566	47.667356432465624	-1.2210526315789483
<pause>		0	0	0	0.0	0.0	0.0	0.0	0.0	0.0
a	a	1	358	3	48.10068976579896	47.667356432465624	48.967356432465635	48.967356432465635	47.667356432465624	0.4333333333333371
<pause>		0	0	0	0.0	0.0	0.0	0.0	0.0	0.0
hike	hike	1	361	23	8.389095562900412	50.26735643246565	-23.13264356753436	51.56735643246566	-23.13264356753436	-3.191304347826087
<pause>	<pause>	1	384	93	-20.36920270731931	-25.032643567534365	41.26735643246565	60.86735643246561	-52.532643567534365	0.7129032258064517
they	they	1	477	31	31.828646755046293	38.76735643246565	36.26735643246565	43.76735643246565	13.867356432465641	-0.08064516129032258
<pause>	<pause>	1	508	3	42.1340230991323	37.467356432465635	47.667356432465624	47.667356432465624	37.467356432465635	3.3999999999999964
took	took	1	511	33	117.8431140082232	55.56735643246566	138.06735643246566	139.8673564324656	55.56735643246566	2.5
<pause>	<pause>	1	544	3	122.30068976579896	132.8673564324656	111.26735643246565	132.8673564324656	111.26735643246565	-7.199999999999989
a	a	1	547	20	56.25735643246562	98.66735643246562	58.167356432465624	98.66735643246562	33.76735643246565	-2.025
<pause>		0	0	0	0.0	0.0	0.0	0.0	0.0	0.0
path	path	1	567	60	72.28068976579897	62.26735643246565	84.96735643246564	106.46735643246564	48.967356432465635	0.37833333333333313
<pause>	<pause>	1	627	6	72.25068976579898	80.56735643246566	64.96735643246564	80.56735643246566	64.96735643246564	-2.6000000000000036
through	through	1	633	41	36.0819905788071	62.26735643246565	46.36735643246561	62.26735643246565	26.56735643246563	-0.38780487804878133
<pause>	<pause>	1	674	4	51.917356432465624	47.667356432465624	56.86735643246561	56.86735643246561	47.667356432465624	2.299999999999997
the	the	1	678	13	52.28274104785027	62.26735643246565	43.76735643246565	67.76735643246565	43.76735643246565	-1.4230769230769231
<pause>		0	0	0	0.0	0.0	0.0	0.0	0.0	0.0
woods	woods	1	691	60	3.3623564324656394	45.06735643246566	-52.532643567534365	114.46735643246564	-82.63264356753436	-1.6266666666666671
<pause>	<pause>	1	751	57	46.760338888605986	-50.93264356753437	152.26735643246565	152.26735643246565	-50.93264356753437	3.564912280701755
suddenly	suddenly	1	808	70	69.92307071817989	154.16735643246562	33.76735643246565	161.46735643246564	16.167356432465624	-1.7199999999999998
<pause>	<pause>	1	878	3	42.56735643246563	37.467356432465635	47.667356432465624	47.667356432465624	37.467356432465635	3.3999999999999964
sam	sam	1	881	41	63.16247838368513	52.86735643246561	55.56735643246566	73.36735643246561	52.86735643246561	0.06585365853658648
<pause>		0	0	0	0.0	0.0	0.0	0.0	0.0	0.0
heard	heard	1	922	30	49.46735643246565	48.967356432465635	41.26735643246565	71.96735643246564	37.467356432465635	-0.25666666666666627
<pause>		0	0	0	0.0	0.0	0.0	0.0	0.0	0.0
a	a	1	952	13	31.490433355542557	39.967356432465635	26.56735643246563	39.967356432465635	26.56735643246563	-1.030769230769231
<pause>		0	0	0	0.0	0.0	0.0	0.0	0.0	0.0
noise	noise	1	965	40	19.032356432465644	27.767356432465647	19.56735643246563	32.56735643246563	9.467356432465635	-0.20500000000000043
<pause>	<pause>	1	1005	9	17.41180087691008	19.56735643246563	19.56735643246563	19.56735643246563	16.167356432465624	0.0
coming	coming	1	1014	42	10.405451670560872	21.86735643246564	24.267356432465647	32.56735643246563	-7.532643567534365	0.05714285714285728
<pause>		0	0	0	0.0	0.0	0.0	0.0	0.0	0.0
from	from	1	1056	35	-6.709786424677223	21.86735643246564	-13.532643567534365	21.86735643246564	-19.332643567534376	-1.0114285714285716
<pause>		0	0	0	0.0	0.0	0.0	0.0	0.0	0.0
the	the	1	1091	14	0.23164214675135092	-7.532643567534365	8.367356432465641	8.367356432465641	-7.532643567534365	1.1357142857142861
<pause>		0	0	0	0.0	0.0	0.0	0.0	0.0	0.0
tree	tree	1	1105	50	12.963356432465632	5.06735643246563	-6.532643567534365	170.8673564324656	-46.93264356753437	-0.23199999999999987
<pause>	<pause>	1	1155	66	-26.164461749352537	-10.532643567534365	-23.13264356753436	-10.532643567534365	-31.43264356753437	-0.19090909090909083
above	above	1	1221	38	61.848935379834074	-22.232643567534353	172.8673564324656	188.46735643246564	-22.232643567534353	5.134210526315789
<pause>	<pause>	1	1259	12	127.67568976579899	168.96735643246564	70.56735643246566	168.96735643246564	70.56735643246566	-8.199999999999998
their	their	1	1271	24	72.34235643246565	56.86735643246561	117.76735643246565	188.46735643246564	7.267356432465647	2.5375000000000014
<pause>		0	0	0	0.0	0.0	0.0	0.0	0.0	0.0
heads	heads	1	1295	40	-4.9151435675343675	117.76735643246565	-85.73264356753437	132.8673564324656	-113.03264356753436	-5.0875
<pause>	<pause>	1	1335	13	-52.00956664445745	-81.33264356753438	-20.332643567534376	-20.332643567534376	-81.33264356753438	4.6923076923076925
jo	jo	0	1348	243	58.77788274825511	16.167356432465624	66.36735643246561	73.36735643246561	16.167356432465624	1.321052631578947
<pause>	<pause>	1	1591	18	87.85624532135449	66.36735643246561	100.16735643246562	100.16735643246562	66.36735643246561	1.8777777777777784
climbed	climbed	1	1609	65	87.09043335554261	101.76735643246565	103.26735643246565	116.16735643246562	76.26735643246565	0.023076923076923078
<pause>	<pause>	1	1674	5	83.12735643246565	97.06735643246566	67.76735643246565	97.06735643246566	67.76735643246565	-5.860000000000002
up	up	1	1679	21	50.54354690865611	59.56735643246566	48.967356432465635	59.56735643246566	38.76735643246565	-0.5047619047619059
<pause>		0	0	0	0.0	0.0	0.0	0.0	0.0	0.0
to	to	1	1700	22	40.54917461428383	47.667356432465624	41.26735643246565	47.667356432465624	32.56735643246563	-0.2909090909090899
<pause>	<pause>	1	1722	10	49.36735643246563	42.56735643246563	54.167356432465624	54.167356432465624	42.56735643246563	1.1599999999999995
see	see	1	1732	22	34.48553825064746	54.167356432465624	19.56735643246563	54.167356432465624	19.56735643246563	-1.5727272727272725
<pause>		0	0	0	0.0	0.0	0.0	0.0	0.0	0.0
what	what	1	1754	27	0.04143050653970843	17.267356432465647	0.7673564324656468	17.267356432465647	-9.532643567534365	-0.6111111111111112
<pause>		0	0	0	0.0	0.0	0.0	0.0	0.0	0.0
the	the	1	1781	11	3.0400837051929064	-0.23264356753435322	2.867356432465641	7.267356432465647	-3.4326435675343703	0.2818181818181813
<pause>	<pause>	0	1792	706	-142.006172979299	-111.53264356753436	39.967356432465635	39.967356432465635	-161.33264356753438	0.4050802139037433
noise	noise	1	2498	36	-47.710421345312135	54.167356432465624	-118.33264356753436	80.56735643246566	-119.73264356753437	-4.791666666666667
<pause>	<pause>	1	2534	25	-79.92064356753436	-121.93264356753437	-5.43264356753437	-5.43264356753437	-121.93264356753437	4.66
