	token	matches_expected	sframe	nframes	pitch_mean	pitch_start	pitch_end	pitch_high	pitch_low	pitch_slope
<pause>	<pause>	1	0	113	77.539126072894	77.5391260728941	77.5391260728941	77.5391260728941	77.5391260728941	0.0
sam	sam	1	113	47	75.90082820055369	77.5391260728941	49.33912607289412	92.5391260728941	49.33912607289412	-0.5999999999999998
<pause>		0	0	0	0.0	0.0	0.0	0.0	0.0	0.0
and	and	1	160	31	15.555255105152183	46.33912607289412	-3.560873927105888	46.33912607289412	-3.560873927105888	-1.6096774193548389
<pause>		0	0	0	0.0	0.0	0.0	0.0	0.0	0.0
jo	jo	1	191	55	-3.444510290742241	-3.560873927105888	3.939126072894112	3.939126072894112	-14.360873927105871	0.13636363636363635
<pause>	<pause>	1	246	44	6.025489709257758	3.939126072894112	14.239126072894095	14.239126072894095	3.939126072894112	0.2340909090909087
went	went	1	290	63	-5.0164294826614375	14.239126072894095	-3.560873927105888	15.539126072894106	-15.560873927105888	-0.28253968253968226
<pause>	<pause>	1	353	21	-3.560873927105888	-3.560873927105888	-3.560873927105888	-3.560873927105888	-3.560873927105888	0.0
for	for	1	374	17	-0.502050397694115	-3.560873927105888	5.139126072894129	5.139126072894129	-4.860873927105871	0.5117647058823539
<pause>		0	0	0	0.0	0.0	0.0	0.0	0.0	0.0
a	a	1	391	27	3.9724594062274496	7.739126072894095	-1.1608739271058823	15.539126072894106	-6.060873927105888	-0.3296296296296288
<pause>	<pause>	1	418	3	-1.1608739271058823	-1.1608739271058823	-1.1608739271058823	-1.1608739271058823	-1.1608739271058823	0.0
hike	hike	0	421	283	-4.1824123886443445	52.33912607289412	-36.76087392710588	52.33912607289412	-36.76087392710588	-1.3707692307692307
<pause>	<pause>	1	704	79	-52.777329623308404	-37.86087392710587	6.43912607289414	6.43912607289414	-90.36087392710587	0.5607594936708862
they	they	1	783	54	37.503940887708914	9.039126072894106	50.83912607289412	50.83912607289412	9.039126072894106	0.7740740740740742
<pause>	<pause>	1	837	4	50.83912607289412	50.83912607289412	50.83912607289412	50.83912607289412	50.83912607289412	0.0
took	took	1	841	41	26.804979731430727	50.83912607289412	11.639126072894129	50.83912607289412	11.639126072894129	-0.9560975609756095
<pause>	<pause>	1	882	28	3.571268930036979	11.639126072894129	-4.860873927105871	11.639126072894129	-4.860873927105871	-0.5892857142857143
a	a	1	910	33	-12.682086048318004	-4.860873927105871	-25.86087392710587	-3.560873927105888	-25.86087392710587	-0.6363636363636364
<pause>	<pause>	1	943	22	-63.515419381651334	-28.060873927105888	-98.16087392710588	-28.060873927105888	-98.16087392710588	-3.186363636363636
path	path	1	965	40	-112.23087392710586	-101.16087392710588	-111.26087392710588	-101.16087392710588	-117.9608739271059	-0.25249999999999984
<pause>	<pause>	1	1005	140	-74.42944535567725	-111.26087392710588	-9.660873927105882	-9.660873927105882	-111.26087392710588	0.7257142857142856
through	through	1	1145	40	0.15662607289412164	-8.460873927105894	-4.860873927105871	12.93912607289414	-8.460873927105894	0.09000000000000057
<pause>		0	0	0	0.0	0.0	0.0	0.0	0.0	0.0
the	the	1	1185	63	-12.295794562026511	-3.560873927105888	22.239126072894095	71.0391260728941	-135.16087392710588	0.40952380952380923
<pause>	<pause>	1	1248	177	22.126131722611635	22.239126072894095	15.539126072894106	22.239126072894095	15.539126072894106	-0.0378531073446327
woods	woods	1	1425	23	20.365213029415848	14.239126072894095	22.239126072894095	25.039126072894106	14.239126072894095	0.34782608695652173
<pause>	<pause>	1	1448	104	18.9179722267403	22.239126072894095	-2.360873927105871	22.239126072894095	-2.360873927105871	-0.2365384615384612
suddenly	suddenly	1	1552	89	26.3076653987368	-2.360873927105871	43.43912607289414	46.33912607289412	-4.860873927105871	0.5146067415730339
<pause>	<pause>	1	1641	50	43.00312607289416	43.43912607289414	36.239126072894095	43.43912607289414	36.239126072894095	-0.1440000000000009
sam	sam	1	1691	37	16.722909856677905	34.739126072894095	29.13912607289413	34.739126072894095	3.939126072894112	-0.15135135135135042
<pause>		0	0	0	0.0	0.0	0.0	0.0	0.0	0.0
heard	heard	1	1728	15	46.31245940622747	31.93912607289414	49.33912607289412	52.33912607289412	31.93912607289414	1.1599999999999986
