	token	matches_expected	sframe	nframes	pitch_mean	pitch_start	pitch_end	pitch_high	pitch_low	pitch_slope
<pause>	<pause>	1	0	82	70.5326679340945	70.53266793409458	70.53266793409458	70.53266793409458	70.53266793409458	0.0
sam	sam	1	82	33	58.16600126742793	70.53266793409458	67.83266793409459	70.53266793409458	45.93266793409461	-0.08181818181818147
<pause>		0	0	0	0.0	0.0	0.0	0.0	0.0	0.0
and	and	1	115	40	60.327667934094606	67.83266793409459	31.532667934094604	96.1326679340946	31.532667934094604	-0.9074999999999995
<pause>		0	0	0	0.0	0.0	0.0	0.0	0.0	0.0
jo	jo	1	155	31	29.010087288933317	36.23266793409459	16.93266793409461	52.23266793409459	16.93266793409461	-0.6225806451612897
<pause>		0	0	0	0.0	0.0	0.0	0.0	0.0	0.0
went	went	1	186	32	26.707667934094598	16.93266793409461	42.23266793409459	42.23266793409459	16.93266793409461	0.7906249999999995
<pause>		0	0	0	0.0	0.0	0.0	0.0	0.0	0.0
for	for	1	218	42	20.2731441245708	42.23266793409459	13.632667934094599	42.23266793409459	8.332667934094587	-0.6809523809523809
<pause>		0	0	0	0.0	0.0	0.0	0.0	0.0	0.0
a	a	1	260	10	13.362667934094606	12.532667934094604	22.43266793409461	22.43266793409461	11.532667934094604	0.9900000000000005
<pause>		0	0	0	0.0	0.0	0.0	0.0	0.0	0.0
hike	hike	1	270	50	-34.66933206590541	23.532667934094604	-63.56733206590539	29.232667934094593	-70.3673320659054	-1.742
<pause>	<pause>	1	320	3	-62.933998732572064	-63.56733206590539	-62.26733206590541	-62.26733206590541	-63.56733206590539	0.43333333333332763
they		0	0	0	0.0	0.0	0.0	0.0	0.0	0.0
<pause>	<pause>	1	323	136	-36.52983206590543	-62.26733206590541	19.1326679340946	19.1326679340946	-62.26733206590541	0.598529411764706
took	watched	0	459	197	26.069216157444853	20.232667934094593	16.93266793409461	50.93266793409461	12.532667934094604	-0.01675126903553291
<pause>		0	0	0	0.0	0.0	0.0	0.0	0.0	0.0
a		0	0	0	0.0	0.0	0.0	0.0	0.0	0.0
<pause>		0	0	0	0.0	0.0	0.0	0.0	0.0	0.0
path		0	0	0	0.0	0.0	0.0	0.0	0.0	0.0
<pause>		0	0	0	0.0	0.0	0.0	0.0	0.0	0.0
through		0	0	0	0.0	0.0	0.0	0.0	0.0	0.0
<pause>		0	0	0	0.0	0.0	0.0	0.0	0.0	0.0
the		0	0	0	0.0	0.0	0.0	0.0	0.0	0.0
<pause>		0	0	0	0.0	0.0	0.0	0.0	0.0	0.0
woods		0	0	0	0.0	0.0	0.0	0.0	0.0	0.0
