	token	matches_expected	sframe	nframes	pitch_mean	pitch_start	pitch_end	pitch_high	pitch_low	pitch_slope
<pause>	<pause>	1	0	87	56.778333251270844	65.34155164207542	26.541551642075405	65.34155164207542	26.541551642075405	-0.445977011494253
sam	sam	1	87	33	1.1960970966208597	25.341551642075416	55.44155164207538	55.44155164207538	-22.458448357924595	0.9121212121212111
<pause>		0	0	0	0.0	0.0	0.0	0.0	0.0	0.0
and	and	1	120	17	97.20037517148718	69.64155164207543	93.94155164207538	110.14155164207543	69.64155164207543	1.4294117647058797
<pause>		0	0	0	0.0	0.0	0.0	0.0	0.0	0.0
jo	jo	1	137	39	-6.537935537411773	90.84155164207542	-18.458448357924595	90.84155164207542	-36.8584483579246	-2.802564102564103
<pause>	<pause>	1	176	3	-17.458448357924595	-17.458448357924595	-17.458448357924595	-17.458448357924595	-17.458448357924595	0.0
went	went	1	179	24	-32.650115024591265	-17.458448357924595	-30.258448357924607	-17.458448357924595	-50.25844835792461	-0.5333333333333338
<pause>		0	0	0	0.0	0.0	0.0	0.0	0.0	0.0
for	for	1	203	26	0.5415516420754056	-27.3584483579246	19.241551642075393	19.241551642075393	-27.3584483579246	1.7923076923076922
<pause>		0	0	0	0.0	0.0	0.0	0.0	0.0	0.0
a	a	1	229	3	26.574884975408747	22.841551642075416	30.341551642075416	30.341551642075416	22.841551642075416	2.5
<pause>		0	0	0	0.0	0.0	0.0	0.0	0.0	0.0
hike	hike	1	232	52	-8.360371434847675	31.6415516420754	-32.25844835792461	68.2415516420754	-46.75844835792461	-1.228846153846154
<pause>	<pause>	1	284	40	-19.553448357924594	-32.25844835792461	-0.35844835792460117	-0.35844835792460117	-32.25844835792461	0.7975000000000001
they	they	1	324	22	-5.553902903379139	0.7415516420753931	-14.358448357924601	2.94155164207541	-18.458448357924595	-0.6863636363636361
<pause>		0	0	0	0.0	0.0	0.0	0.0	0.0	0.0
took	took	1	346	36	26.372107197630967	-13.258448357924607	97.14155164207543	97.14155164207543	-13.258448357924607	3.0666666666666678
<pause>		0	0	0	0.0	0.0	0.0	0.0	0.0	0.0
a	a	1	382	4	99.66655164207543	110.14155164207543	86.14155164207543	110.14155164207543	86.14155164207543	-6.0
<pause>		0	0	0	0.0	0.0	0.0	0.0	0.0	0.0
path	path	1	386	58	24.898448193799563	87.7415516420754	13.341551642075416	87.7415516420754	-22.458448357924595	-1.2827586206896548
<pause>	<pause>	1	444	37	13.341551642075403	13.341551642075416	13.341551642075416	13.341551642075416	13.341551642075416	0.0
through	through	1	481	77	-14.414292513768745	12.141551642075399	12.141551642075399	15.641551642075399	-48.55844835792459	0.0
<pause>	<pause>	1	558	22	10.996097096620865	12.141551642075399	10.94155164207541	12.141551642075399	10.94155164207541	-0.05454545454545403
the	the	1	580	11	3.650642551166315	10.94155164207541	-5.858448357924601	10.94155164207541	-5.858448357924601	-1.5272727272727282
<pause>		0	0	0	0.0	0.0	0.0	0.0	0.0	0.0
woods	woods	1	591	50	-19.010448357924602	-8.05844835792459	10.94155164207541	10.94155164207541	-46.75844835792461	0.38
<pause>	<pause>	1	641	42	51.94155164207541	13.341551642075416	66.7415516420754	66.7415516420754	13.341551642075416	1.271428571428571
suddenly	suddenly	1	683	94	30.319211216543497	66.7415516420754	49.94155164207538	84.64155164207543	-35.05844835792459	-0.17872340425531927
<pause>	<pause>	1	777	73	45.52922287495211	49.94155164207538	22.841551642075416	59.64155164207543	9.841551642075416	-0.3712328767123283
sam	sam	1	850	28	-23.35487692935316	18.041551642075405	-28.3584483579246	18.041551642075405	-36.8584483579246	-1.6571428571428573
<pause>	<pause>	1	878	4	-27.6334483579246	-28.3584483579246	-26.458448357924595	-26.458448357924595	-28.3584483579246	0.4750000000000014
heard		0	0	0	0.0	0.0	0.0	0.0	0.0	0.0
<pause>	<pause>	0	882	106	34.91882436934814	21.6415516420754	48.64155164207543	48.64155164207543	21.6415516420754	1.2272727272727286
a	suddenly	0	988	83	23.91384079870191	49.94155164207538	7.44155164207541	80.0415516420754	-35.958448357924595	-0.512048192771084
<pause>	<pause>	1	1071	4	4.641551642075406	6.341551642075416	2.94155164207541	6.341551642075416	2.94155164207541	-0.8500000000000014
noise	noise	0	1075	117	-23.151471613738547	-1.4584483579245955	-23.458448357924595	-0.35844835792460117	-51.158448357924584	-0.5116279069767442
<pause>	<pause>	1	1192	3	-25.458448357924595	-24.458448357924595	-26.458448357924595	-24.458448357924595	-26.458448357924595	-0.6666666666666666
coming	coming	1	1195	46	-24.197578792707194	-28.3584483579246	-2.55844835792459	-2.55844835792459	-42.3584483579246	0.5608695652173915
<pause>	<pause>	1	1241	6	-2.0084483579245926	-2.55844835792459	-0.35844835792460117	-0.35844835792460117	-2.55844835792459	0.36666666666666475
from	from	1	1247	37	-7.82601592549216	0.7415516420753931	0.7415516420753931	8.641551642075399	-24.458448357924595	0.0
<pause>	<pause>	1	1284	17	9.865081053840113	0.7415516420753931	19.241551642075393	19.241551642075393	0.7415516420753931	1.088235294117647
the	the	1	1301	12	4.683218308742066	19.241551642075393	-4.758448357924607	19.241551642075393	-8.05844835792459	-2.0
<pause>		0	0	0	0.0	0.0	0.0	0.0	0.0	0.0
tree	tree	1	1313	50	-22.538448357924597	-4.758448357924607	-22.458448357924595	-1.4584483579245955	-49.458448357924595	-0.35399999999999976
<pause>		0	0	0	0.0	0.0	0.0	0.0	0.0	0.0
above	above	1	1363	41	-40.93161908963191	-20.458448357924595	-41.458448357924595	-17.458448357924595	-61.05844835792459	-0.5121951219512195
<pause>		0	0	0	0.0	0.0	0.0	0.0	0.0	0.0
their	their	1	1404	14	-17.844162643638885	-37.8584483579246	-2.55844835792459	-2.55844835792459	-37.8584483579246	2.5214285714285722
<pause>		0	0	0	0.0	0.0	0.0	0.0	0.0	0.0
heads	heads	1	1418	47	9.220275046330718	-1.4584483579245955	-21.458448357924595	92.34155164207542	-37.8584483579246	-0.425531914893617
<pause>	<pause>	1	1465	41	-4.37796055304655	-20.458448357924595	5.241551642075393	5.241551642075393	-20.458448357924595	0.6268292682926826
jo	jo	1	1506	41	-1.6511312847538597	5.241551642075393	51.341551642075416	51.341551642075416	-28.3584483579246	1.1243902439024396
<pause>		0	0	0	0.0	0.0	0.0	0.0	0.0	0.0
climbed	climbed	1	1547	67	14.959462089836594	51.341551642075416	16.841551642075416	54.041551642075405	-31.258448357924607	-0.5149253731343284
<pause>	<pause>	1	1614	6	-10.208448357924595	9.841551642075416	-30.258448357924607	9.841551642075416	-30.258448357924607	-6.683333333333337
up	up	1	1620	28	-27.88344835792459	-35.05844835792459	-8.05844835792459	-8.05844835792459	-40.55844835792459	0.9642857142857143
<pause>		0	0	0	0.0	0.0	0.0	0.0	0.0	0.0
to	to	1	1648	21	0.2891706896944529	-5.858448357924601	-18.458448357924595	15.641551642075399	-18.458448357924595	-0.5999999999999998
<pause>		0	0	0	0.0	0.0	0.0	0.0	0.0	0.0
see	see	1	1669	36	-21.85289280236903	-18.458448357924595	-17.458448357924595	-16.3584483579246	-35.958448357924595	0.027777777777777776
<pause>		0	0	0	0.0	0.0	0.0	0.0	0.0	0.0
what	what	1	1705	22	-24.831175630651874	-14.358448357924601	-27.3584483579246	-9.05844835792459	-35.05844835792459	-0.5909090909090909
<pause>	<pause>	1	1727	6	-20.44178169125793	-25.458448357924595	-15.358448357924601	-15.358448357924601	-25.458448357924595	1.6833333333333325
the	the	1	1733	6	-8.741781691257927	-12.258448357924607	-9.05844835792459	-6.9584483579245955	-12.258448357924607	0.5333333333333362
<pause>		0	0	0	0.0	0.0	0.0	0.0	0.0	0.0
noise	noise	1	1739	44	10.712006187529953	-11.158448357924584	-13.258448357924607	26.541551642075405	-13.258448357924607	-0.04772727272727324
<pause>		0	0	0	0.0	0.0	0.0	0.0	0.0	0.0
was	was	1	1783	27	-47.27696687644312	-19.458448357924595	-24.458448357924595	-19.458448357924595	-72.7584483579246	-0.18518518518518517
<pause>	<pause>	1	1810	37	-21.898988898465117	-24.458448357924595	-15.358448357924601	-15.358448357924601	-24.458448357924595	0.2459459459459458
and	and	1	1847	17	-18.958448357924595	-15.358448357924601	-19.458448357924595	-15.358448357924601	-23.458448357924595	-0.24117647058823496
<pause>		0	0	0	0.0	0.0	0.0	0.0	0.0	0.0
found	found	1	1864	38	-22.668974673714075	-17.458448357924595	-25.458448357924595	8.641551642075399	-40.55844835792459	-0.21052631578947367
<pause>		0	0	0	0.0	0.0	0.0	0.0	0.0	0.0
two	two	1	1902	27	24.519329419853186	-24.458448357924595	13.341551642075416	49.94155164207538	-24.458448357924595	1.4000000000000004
<pause>		0	0	0	0.0	0.0	0.0	0.0	0.0	0.0
baby	baby	1	1929	35	-2.638448357924595	7.44155164207541	-4.758448357924607	7.44155164207541	-12.258448357924607	-0.34857142857142903
<pause>		0	0	0	0.0	0.0	0.0	0.0	0.0	0.0
squirrels	squirrels	1	1964	38	-32.57160625266145	-4.758448357924607	-31.258448357924607	-4.758448357924607	-67.3584483579246	-0.6973684210526315
<pause>	<pause>	1	2002	53	-25.53014647113214	-31.258448357924607	-29.3584483579246	-24.458448357924595	-31.258448357924607	0.035849056603773695
the	the	1	2055	8	-24.3834483579246	-30.258448357924607	-24.458448357924595	-17.458448357924595	-32.25844835792461	0.7250000000000014
<pause>		0	0	0	0.0	0.0	0.0	0.0	0.0	0.0
babies	babies	1	2063	51	5.369002622467558	-23.458448357924595	-9.05844835792459	47.24155164207539	-25.458448357924595	0.2823529411764707
<pause>		0	0	0	0.0	0.0	0.0	0.0	0.0	0.0
were	were	1	2114	16	-18.164698357924593	-11.158448357924584	-19.458448357924595	-11.158448357924584	-22.458448357924595	-0.5187500000000007
<pause>		0	0	0	0.0	0.0	0.0	0.0	0.0	0.0
alone	alone	1	2130	51	-40.019232671650094	-19.458448357924595	-9.05844835792459	-4.758448357924607	-104.55844835792459	0.2039215686274511
<pause>	<pause>	1	2181	3	-9.05844835792459	-9.05844835792459	-9.05844835792459	-9.05844835792459	-9.05844835792459	0.0
but	but	1	2184	16	-16.483448357924594	-10.158448357924584	-13.258448357924607	-10.158448357924584	-24.458448357924595	-0.19375000000000142
<pause>		0	0	0	0.0	0.0	0.0	0.0	0.0	0.0
their	their	1	2200	13	-15.227679127155366	-11.158448357924584	-21.458448357924595	-6.9584483579245955	-21.458448357924595	-0.7923076923076932
<pause>		0	0	0	0.0	0.0	0.0	0.0	0.0	0.0
mother	mother	1	2213	56	-5.338805500781738	-21.458448357924595	13.341551642075416	34.14155164207543	-45.958448357924595	0.6214285714285717
<pause>	<pause>	1	2269	50	11.013551642075411	13.341551642075416	10.94155164207541	13.341551642075416	10.94155164207541	-0.04800000000000011
must	must	1	2319	39	2.9338593343830977	10.94155164207541	7.44155164207541	12.141551642075399	-8.05844835792459	-0.08974358974358974
<pause>		0	0	0	0.0	0.0	0.0	0.0	0.0	0.0
be	be	1	2358	17	1.1415516420754073	7.44155164207541	-8.05844835792459	8.641551642075399	-11.158448357924584	-0.9117647058823529
<pause>		0	0	0	0.0	0.0	0.0	0.0	0.0	0.0
somewhere	somewhere	1	2375	54	1.1582183087420719	-6.9584483579245955	-32.25844835792461	40.64155164207543	-32.25844835792461	-0.4685185185185187
<pause>		0	0	0	0.0	0.0	0.0	0.0	0.0	0.0
near	near	1	2429	55	-20.18753926701549	-34.05844835792459	-13.258448357924607	9.841551642075416	-40.55844835792459	0.3781818181818179
<pause>	<pause>	1	2484	53	-5.130146471132134	-12.258448357924607	-12.258448357924607	-3.658448357924584	-12.258448357924607	0.0
the	the	1	2537	13	-18.74306374253998	-13.258448357924607	-18.458448357924595	-13.258448357924607	-22.458448357924595	-0.39999999999999913
<pause>	<pause>	1	2550	62	-3.019738680505247	-18.458448357924595	-8.05844835792459	0.7415516420753931	-18.458448357924595	0.16774193548387106
children	children	1	2612	75	19.288218308742074	-11.158448357924584	41.94155164207538	75.5415516420754	-18.458448357924595	0.7079999999999995
<pause>		0	0	0	0.0	0.0	0.0	0.0	0.0	0.0
watched	watched	1	2687	58	-19.656724219993553	31.6415516420754	-31.258448357924607	31.6415516420754	-36.8584483579246	-1.0844827586206898
<pause>		0	0	0	0.0	0.0	0.0	0.0	0.0	0.0
and	and	1	2745	27	-24.273263172739394	-32.25844835792461	-29.3584483579246	-16.3584483579246	-33.158448357924584	0.10740740740740762
<pause>		0	0	0	0.0	0.0	0.0	0.0	0.0	0.0
waited	waited	1	2772	51	-11.185899338316755	-30.258448357924607	47.24155164207539	51.341551642075416	-43.25844835792461	1.5196078431372548
<pause>	<pause>	1	2823	46	45.358942946423234	47.24155164207539	40.64155164207543	47.24155164207539	40.64155164207543	-0.14347826086956447
sure	sure	1	2869	44	59.75973346025724	40.64155164207543	47.24155164207539	86.14155164207543	40.64155164207543	0.14999999999999922
<pause>		0	0	0	0.0	0.0	0.0	0.0	0.0	0.0
enough	enough	1	2913	46	-7.501926618794155	38.041551642075405	-24.458448357924595	38.041551642075405	-35.958448357924595	-1.358695652173913
<pause>	<pause>	1	2959	6	-20.958448357924595	-23.458448357924595	-18.458448357924595	-18.458448357924595	-23.458448357924595	0.8333333333333334
the	the	1	2965	9	-20.202892802369043	-17.458448357924595	-26.458448357924595	-15.358448357924601	-26.458448357924595	-1.0
<pause>		0	0	0	0.0	0.0	0.0	0.0	0.0	0.0
mother	mother	1	2974	51	-21.627075808904976	-26.458448357924595	-20.458448357924595	-9.05844835792459	-29.3584483579246	0.11764705882352941
<pause>	<pause>	1	3025	46	0.5198125116406207	-19.458448357924595	19.241551642075393	19.241551642075393	-19.458448357924595	0.8413043478260868
soon	soon	1	3071	32	12.463426642075405	20.44155164207541	-12.258448357924607	26.541551642075405	-12.258448357924607	-1.0218750000000005
<pause>		0	0	0	0.0	0.0	0.0	0.0	0.0	0.0
returned	returned	1	3103	64	-13.835010857924596	-15.358448357924601	-8.05844835792459	20.44155164207541	-40.55844835792459	0.11406250000000018
<pause>		0	0	0	0.0	0.0	0.0	0.0	0.0	0.0
with	with	1	3167	28	-17.119162643638873	-9.05844835792459	-21.458448357924595	-9.05844835792459	-21.458448357924595	-0.44285714285714306
<pause>		0	0	0	0.0	0.0	0.0	0.0	0.0	0.0
a	a	1	3195	5	-29.078448357924593	-22.458448357924595	-35.958448357924595	-22.458448357924595	-35.958448357924595	-2.7
<pause>		0	0	0	0.0	0.0	0.0	0.0	0.0	0.0
mouthful	mouthful	1	3200	74	-14.30709700657325	-35.05844835792459	4.0415516420754045	4.0415516420754045	-35.958448357924595	0.5283783783783783
<pause>		0	0	0	0.0	0.0	0.0	0.0	0.0	0.0
of	of	1	3274	11	-1.858448357924596	2.94155164207541	4.0415516420754045	4.0415516420754045	-6.9584483579245955	0.09999999999999948
<pause>		0	0	0	0.0	0.0	0.0	0.0	0.0	0.0
nuts	nuts	1	3285	28	-11.704876929353166	8.641551642075399	-11.158448357924584	12.141551642075399	-35.05844835792459	-0.7071428571428565
<pause>	<pause>	1	3313	64	19.67280164207542	-10.158448357924584	40.64155164207543	40.64155164207543	-10.158448357924584	0.7937500000000002
the	the	1	3377	11	28.19609709662087	40.64155164207543	20.44155164207541	40.64155164207543	20.44155164207541	-1.836363636363638
<pause>		0	0	0	0.0	0.0	0.0	0.0	0.0	0.0
noises	noises	1	3388	75	48.44288497540872	20.44155164207541	66.7415516420754	89.2415516420754	20.44155164207541	0.6173333333333331
<pause>	<pause>	1	3463	10	59.80155164207539	65.34155164207542	56.841551642075416	65.34155164207542	56.841551642075416	-0.85
stopped	stopped	1	3473	45	-5.478448357924594	56.841551642075416	-30.258448357924607	56.841551642075416	-38.75844835792461	-1.9355555555555561
