	token	matches_expected	sframe	nframes	pitch_mean	pitch_start	pitch_end	pitch_high	pitch_low	pitch_slope
<pause>	<pause>	1	0	190	99.17645387028223	104.76329597554547	29.463295975545464	104.76329597554547	29.463295975545464	-0.3963157894736843
sam	sam	1	190	34	6.201531269663103	24.86329597554544	39.06329597554543	39.06329597554543	-14.236704024454525	0.4176470588235291
<pause>		0	0	0	0.0	0.0	0.0	0.0	0.0	0.0
and	and	1	224	20	53.87829597554544	40.66329597554545	31.06329597554543	66.06329597554543	31.06329597554543	-0.48000000000000115
<pause>		0	0	0	0.0	0.0	0.0	0.0	0.0	0.0
jo	jo	1	244	28	9.052581689831166	31.06329597554543	-15.63670402445456	34.263295975545475	-15.63670402445456	-1.6678571428571425
<pause>		0	0	0	0.0	0.0	0.0	0.0	0.0	0.0
went	went	1	272	27	-42.98114846889899	-20.93670402445457	-41.23670402445455	-20.93670402445457	-64.33670402445455	-0.7518518518518512
<pause>		0	0	0	0.0	0.0	0.0	0.0	0.0	0.0
for	for	1	299	20	-26.091704024454543	-38.73670402445455	-20.93670402445457	-19.63670402445456	-38.73670402445455	0.8899999999999991
<pause>		0	0	0	0.0	0.0	0.0	0.0	0.0	0.0
a	a	1	319	4	-21.911704024454536	-22.236704024454525	-20.93670402445457	-20.93670402445457	-22.236704024454525	0.32499999999998863
<pause>		0	0	0	0.0	0.0	0.0	0.0	0.0	0.0
hike	hike	1	323	50	12.349295975545454	-18.236704024454525	66.06329597554543	66.06329597554543	-49.53670402445454	1.685999999999999
<pause>	<pause>	1	373	66	93.72844749069702	69.56329597554543	34.263295975545475	104.76329597554547	34.263295975545475	-0.5348484848484841
they	they	1	439	25	19.47129597554545	27.963295975545464	31.06329597554543	42.36329597554544	-0.43670402445457057	0.12399999999999864
<pause>		0	0	0	0.0	0.0	0.0	0.0	0.0	0.0
took	took	1	464	33	13.499659611909093	32.66329597554545	-70.93670402445454	62.56329597554543	-70.93670402445454	-3.139393939393939
<pause>		0	0	0	0.0	0.0	0.0	0.0	0.0	0.0
a	a	1	497	19	-48.82617770866507	-79.23670402445455	-31.236704024454554	-27.43670402445457	-91.23670402445455	2.526315789473684
<pause>		0	0	0	0.0	0.0	0.0	0.0	0.0	0.0
path	path	1	516	44	-31.241249479000007	-31.236704024454554	-33.83670402445455	20.263295975545475	-90.23670402445455	-0.059090909090908965
<pause>	<pause>	1	560	20	-13.641704024454555	-30.036704024454536	-12.93670402445457	-7.436704024454571	-30.036704024454536	0.8549999999999983
through	through	1	580	43	-22.571587745384775	-14.236704024454525	-24.836704024454548	-14.236704024454525	-28.736704024454525	-0.24651162790697728
<pause>		0	0	0	0.0	0.0	0.0	0.0	0.0	0.0
the	the	1	623	15	-21.923370691121217	-30.036704024454536	-26.13670402445456	-14.236704024454525	-31.236704024454554	0.2599999999999985
<pause>		0	0	0	0.0	0.0	0.0	0.0	0.0	0.0
woods	woods	1	638	32	-62.13982902445455	-27.43670402445457	-30.036704024454536	-27.43670402445457	-88.33670402445455	-0.08124999999999893
<pause>	<pause>	1	670	59	78.21753326368106	-22.236704024454525	95.16329597554545	102.86329597554544	-22.236704024454525	1.989830508474576
suddenly	suddenly	1	729	68	22.535354799074867	93.26329597554547	3.863295975545441	93.26329597554547	-51.93670402445454	-1.3147058823529416
<pause>	<pause>	1	797	49	73.41023475105563	8.263295975545475	74.86329597554544	95.16329597554545	8.263295975545475	1.359183673469387
sam	sam	1	846	41	42.0706130487162	71.26329597554547	91.46329597554546	97.06329597554543	-3.236704024454525	0.492682926829268
<pause>		0	0	0	0.0	0.0	0.0	0.0	0.0	0.0
heard	heard	1	887	25	31.307295975545447	85.86329597554544	32.66329597554545	85.86329597554544	3.863295975545441	-2.1279999999999997
<pause>		0	0	0	0.0	0.0	0.0	0.0	0.0	0.0
a	a	1	912	8	43.15079597554544	37.46329597554546	42.36329597554544	45.56329597554543	37.46329597554546	0.6124999999999972
<pause>		0	0	0	0.0	0.0	0.0	0.0	0.0	0.0
noise	noise	1	920	52	-40.713627101377625	42.36329597554544	-54.23670402445455	43.96329597554546	-96.93670402445454	-1.8576923076923075
<pause>		0	0	0	0.0	0.0	0.0	0.0	0.0	0.0
coming	coming	1	972	42	-61.35098973874027	-54.23670402445455	-56.53670402445454	-32.53670402445454	-78.23670402445455	-0.05476190476190436
<pause>		0	0	0	0.0	0.0	0.0	0.0	0.0	0.0
from	from	1	1014	26	-53.582857870608386	-55.43670402445454	-55.43670402445454	-40.03670402445454	-65.43670402445454	0.0
<pause>		0	0	0	0.0	0.0	0.0	0.0	0.0	0.0
the	the	1	1040	8	-56.26170402445455	-56.53670402445454	-57.63670402445456	-55.43670402445454	-57.63670402445456	-0.13750000000000284
<pause>		0	0	0	0.0	0.0	0.0	0.0	0.0	0.0
tree	tree	1	1048	38	5.155401238703345	-56.53670402445454	-48.43670402445454	52.263295975545475	-56.53670402445454	0.21315789473684196
<pause>		0	0	0	0.0	0.0	0.0	0.0	0.0	0.0
above	above	1	1086	33	-90.96700705475759	-59.93670402445454	-71.93670402445454	-59.93670402445454	-109.63670402445456	-0.36363636363636365
<pause>		0	0	0	0.0	0.0	0.0	0.0	0.0	0.0
their	their	1	1119	20	-48.03670402445455	-68.73670402445455	-19.63670402445456	-19.63670402445456	-68.73670402445455	2.4549999999999996
<pause>		0	0	0	0.0	0.0	0.0	0.0	0.0	0.0
heads	heads	1	1139	39	-9.949524537275064	-12.93670402445457	-38.73670402445455	64.26329597554547	-89.33670402445455	-0.6615384615384611
<pause>	<pause>	1	1178	63	59.71250232475179	-32.53670402445454	43.96329597554546	100.96329597554546	-32.53670402445454	1.2142857142857142
jo	jo	1	1241	28	7.306153118402593	37.46329597554546	21.763295975545475	37.46329597554546	-14.236704024454525	-0.5607142857142853
