	token	matches_expected	sframe	nframes	pitch_mean	pitch_start	pitch_end	pitch_high	pitch_low	pitch_slope
<pause>	<pause>	0	0	479	67.41355738681192	110.00730738681193	20.20730738681192	110.00730738681193	20.20730738681192	-1.8708333333333336
sam	sam	1	479	33	-14.701783522278987	17.307307386811942	-24.79269261318808	17.307307386811942	-33.392692613188075	-1.2757575757575765
<pause>		0	0	0	0.0	0.0	0.0	0.0	0.0	0.0
and	and	1	512	25	-26.016692613188074	-20.99269261318807	-42.892692613188075	-9.192692613188058	-51.99269261318807	-0.8760000000000002
<pause>	<pause>	1	537	9	-42.892692613188075	-42.892692613188075	-42.892692613188075	-42.892692613188075	-42.892692613188075	0.0
jo	jo	1	546	35	-37.79269261318807	-42.892692613188075	-23.49269261318807	-22.192692613188086	-46.392692613188075	0.5542857142857145
<pause>	<pause>	0	581	104	-30.115769536265013	-34.59269261318809	-28.49269261318807	-28.49269261318807	-34.59269261318809	0.156410256410257
went	went	1	685	41	-40.200009686358804	-28.49269261318807	-18.392692613188103	-18.392692613188103	-58.59269261318809	0.2463414634146333
<pause>	<pause>	1	726	29	-14.940968475257039	-17.092692613188092	-17.092692613188092	-13.192692613188058	-17.092692613188092	0.0
for	for	1	755	35	-42.60983547033092	-18.392692613188103	-15.79269261318808	-15.79269261318808	-70.19269261318809	0.07428571428571494
<pause>	<pause>	1	790	87	-8.181198360314529	-14.49269261318807	-15.79269261318808	-6.592692613188092	-15.79269261318808	-0.014942528735632314
a	a	1	877	8	-24.167692613188077	-15.79269261318808	-33.392692613188075	-15.79269261318808	-33.392692613188075	-2.1999999999999993
<pause>		0	0	0	0.0	0.0	0.0	0.0	0.0	0.0
hike	hike	1	885	59	-56.93506549454405	-39.392692613188075	-32.192692613188086	-32.192692613188086	-76.29269261318808	0.12203389830508456
<pause>	<pause>	1	944	69	-9.176750584202537	-30.99269261318807	-5.192692613188058	-5.192692613188058	-30.99269261318807	0.37391304347826104
they		0	0	0	0.0	0.0	0.0	0.0	0.0	0.0
<pause>	<pause>	1	1013	354	-5.192692613188017	-5.192692613188058	-5.192692613188058	-5.192692613188058	-5.192692613188058	0.0
took		0	0	0	0.0	0.0	0.0	0.0	0.0	0.0
<pause>	<pause>	1	1367	32	-5.192692613188058	-5.192692613188058	-5.192692613188058	-5.192692613188058	-5.192692613188058	0.0
a	a	0	1399	54	-5.7093592798547474	7.2073073868119195	-18.392692613188103	7.2073073868119195	-18.392692613188103	-4.26666666666667
<pause>		0	0	0	0.0	0.0	0.0	0.0	0.0	0.0
path	path	1	1453	56	-32.690906898902355	-27.29269261318808	-23.49269261318807	-18.392692613188103	-42.892692613188075	0.06785714285714306
<pause>	<pause>	1	1509	30	-1.556025946521414	-22.192692613188086	27.70730738681192	27.70730738681192	-22.192692613188086	1.6633333333333336
through	through	1	1539	32	-31.527067613188077	30.807307386811942	-54.192692613188086	37.00730738681193	-61.892692613188075	-2.656250000000001
<pause>	<pause>	1	1571	14	-45.72126404175951	-53.09269261318809	-38.192692613188086	-38.192692613188086	-53.09269261318809	1.0642857142857147
the	the	1	1585	24	-41.41769261318809	-36.99269261318807	-51.99269261318807	-34.59269261318809	-51.99269261318807	-0.625
<pause>		0	0	0	0.0	0.0	0.0	0.0	0.0	0.0
woods	woods	1	1609	46	-61.4296491349272	-56.392692613188075	-41.692692613188086	-41.692692613188086	-81.19269261318809	0.3195652173913041
<pause>	<pause>	1	1655	135	23.14064072014525	-39.392692613188075	26.20730738681192	30.807307386811942	-39.392692613188075	0.4859259259259259
suddenly		0	0	0	0.0	0.0	0.0	0.0	0.0	0.0
<pause>	<pause>	1	1790	546	26.207307386812186	26.20730738681192	26.20730738681192	26.20730738681192	26.20730738681192	0.0
sam	sam	0	2336	140	-21.994653397501796	-23.49269261318807	-6.592692613188092	-6.592692613188092	-46.392692613188075	0.3313725490196074
<pause>	<pause>	1	2476	137	40.141613956154956	-5.192692613188058	35.40730738681191	69.80730738681194	-5.192692613188058	0.2963503649635034
heard	heard	1	2613	55	-22.832692613188073	33.90730738681191	-46.392692613188075	33.90730738681191	-60.79269261318808	-1.4599999999999997
<pause>	<pause>	1	2668	5	-37.65269261318808	-43.99269261318807	-30.99269261318807	-30.99269261318807	-43.99269261318807	2.6
a	tree	0	2673	29	-34.74441675111912	-28.49269261318807	-39.392692613188075	-24.79269261318808	-45.192692613188086	-0.37586206896551744
<pause>	<pause>	1	2702	3	-44.02602594652141	-41.692692613188086	-47.49269261318807	-41.692692613188086	-47.49269261318807	-1.9333333333333276
noise	noise	0	2705	1482	-30.252986730835126	-61.892692613188075	8.607307386811897	8.607307386811897	-61.892692613188075	1.0367647058823526
<pause>	<pause>	1	4187	319	46.23395315483715	10.107307386811897	43.30730738681194	64.70730738681192	-7.892692613188103	0.10407523510971801
coming	coming	1	4506	60	-16.44935927985474	41.70730738681192	-18.392692613188103	41.70730738681192	-45.192692613188086	-1.0016666666666671
<pause>	<pause>	1	4566	4	-18.392692613188103	-18.392692613188103	-18.392692613188103	-18.392692613188103	-18.392692613188103	0.0
from	from	1	4570	19	-38.90848208687229	-19.692692613188058	-48.59269261318809	-19.692692613188058	-54.192692613188086	-1.5210526315789492
<pause>	<pause>	1	4589	83	-39.25775285415186	-48.59269261318809	-39.392692613188075	-34.59269261318809	-51.99269261318807	0.1108433734939761
the		0	0	0	0.0	0.0	0.0	0.0	0.0	0.0
<pause>		0	0	0	0.0	0.0	0.0	0.0	0.0	0.0
