	token	matches_expected	sframe	nframes	pitch_mean	pitch_start	pitch_end	pitch_high	pitch_low	pitch_slope
<pause>	<pause>	1	0	143	-20.633414283223114	-31.61453316434205	28.085466835657968	28.085466835657968	-31.61453316434205	0.4174825174825176
sam	sam	1	143	23	31.34198857478839	29.38546683565795	79.28546683565796	79.28546683565796	12.185466835657962	2.1695652173913045
<pause>		0	0	0	0.0	0.0	0.0	0.0	0.0	0.0
and	and	1	166	12	93.98546683565796	83.88546683565798	63.08546683565797	114.58546683565797	63.08546683565797	-1.7333333333333343
<pause>		0	0	0	0.0	0.0	0.0	0.0	0.0	0.0
jo	jo	1	178	38	-12.198743690657828	50.485466835657945	-26.714533164342043	50.485466835657945	-31.61453316434205	-2.0315789473684207
<pause>		0	0	0	0.0	0.0	0.0	0.0	0.0	0.0
went	went	1	216	33	-30.24180589161477	-31.61453316434205	-21.714533164342043	-19.714533164342043	-39.11453316434205	0.30000000000000016
<pause>		0	0	0	0.0	0.0	0.0	0.0	0.0	0.0
for	for	1	249	29	-14.82832626779032	-21.714533164342043	-10.314533164342038	-0.414533164342032	-21.714533164342043	0.39310344827586224
<pause>		0	0	0	0.0	0.0	0.0	0.0	0.0	0.0
a	a	1	278	3	-4.081199831008718	-7.014533164342055	-1.5145331643420548	-1.5145331643420548	-7.014533164342055	1.8333333333333333
<pause>		0	0	0	0.0	0.0	0.0	0.0	0.0	0.0
hike	hike	1	281	55	41.883648653839785	2.9854668356579452	46.38546683565798	71.78546683565796	2.9854668356579452	0.7890909090909097
<pause>	<pause>	1	336	124	36.51127328727085	44.985466835657945	30.585466835657968	44.985466835657945	30.585466835657968	-0.11612903225806433
they	they	1	460	21	-7.5526284024372785	30.585466835657968	-21.714533164342043	31.88546683565798	-23.714533164342043	-2.490476190476191
<pause>		0	0	0	0.0	0.0	0.0	0.0	0.0	0.0
took	took	1	481	41	-0.13160633507375127	-22.714533164342043	9.885466835657951	16.985466835657945	-22.714533164342043	0.795121951219512
<pause>	<pause>	1	522	32	-1.9520331643420432	9.885466835657951	-23.714533164342043	9.885466835657951	-23.714533164342043	-1.0499999999999998
a	a	1	554	15	-19.92786649767538	-24.714533164342043	-19.714533164342043	-16.61453316434205	-25.714533164342043	0.3333333333333333
<pause>		0	0	0	0.0	0.0	0.0	0.0	0.0	0.0
path	path	1	569	54	-9.58119983100872	-19.714533164342043	1.7854668356579566	1.7854668356579566	-19.714533164342043	0.39814814814814814
<pause>	<pause>	1	623	14	12.00689540708653	2.9854668356579452	15.785466835657957	15.785466835657957	2.9854668356579452	0.9142857142857151
through	through	1	637	55	-1.610896800705679	14.585466835657968	2.9854668356579452	16.985466835657945	-18.61453316434205	-0.21090909090909132
