	token	matches_expected	sframe	nframes	pitch_mean	pitch_start	pitch_end	pitch_high	pitch_low	pitch_slope
<pause>	<pause>	1	0	67	23.668213572849254	23.668213572849254	23.668213572849254	23.668213572849254	23.668213572849254	0.0
sam	sam	1	67	77	37.366914871550556	23.668213572849254	62.468213572849265	74.16821357284925	18.76821357284925	0.5038961038961041
<pause>		0	0	0	0.0	0.0	0.0	0.0	0.0	0.0
and	and	1	144	50	50.63821357284926	53.968213572849265	32.56821357284923	100.66821357284925	31.268213572849277	-0.42800000000000066
<pause>		0	0	0	0.0	0.0	0.0	0.0	0.0	0.0
jo	jo	1	194	33	17.35609236072804	35.168213572849254	6.968213572849265	35.168213572849254	6.968213572849265	-0.8545454545454542
<pause>		0	0	0	0.0	0.0	0.0	0.0	0.0	0.0
went	went	1	227	73	14.18054233997254	6.968213572849265	39.06821357284923	39.06821357284923	-4.331786427150746	0.4397260273972598
<pause>	<pause>	1	300	3	39.06821357284923	39.06821357284923	39.06821357284923	39.06821357284923	39.06821357284923	0.0
for	for	1	303	26	32.76052126515694	39.06821357284923	28.76821357284925	39.06821357284923	26.168213572849254	-0.3961538461538455
<pause>		0	0	0	0.0	0.0	0.0	0.0	0.0	0.0
a	a	1	329	21	32.20154690618259	29.968213572849265	28.76821357284925	36.468213572849265	28.76821357284925	-0.05714285714285795
<pause>		0	0	0	0.0	0.0	0.0	0.0	0.0	0.0
hike	hike	1	350	67	3.9264225280731373	27.468213572849265	10.468213572849265	27.468213572849265	-8.731786427150752	-0.2537313432835821
<pause>		0	0	0	0.0	0.0	0.0	0.0	0.0	0.0
they	they	1	417	49	14.411070715706401	9.268213572849248	31.268213572849277	37.76821357284928	-3.2317864271507517	0.44897959183673525
<pause>		0	0	0	0.0	0.0	0.0	0.0	0.0	0.0
took	took	1	466	39	14.706675111310798	29.968213572849265	19.968213572849265	29.968213572849265	6.968213572849265	-0.2564102564102564
<pause>		0	0	0	0.0	0.0	0.0	0.0	0.0	0.0
a	a	1	505	23	-2.0796125141072683	16.368213572849243	3.4682135728492653	16.368213572849243	-23.331786427150746	-0.5608695652173903
<pause>		0	0	0	0.0	0.0	0.0	0.0	0.0	0.0
path	path	1	528	54	-3.8817864271507414	3.4682135728492653	8.06821357284926	8.06821357284926	-14.031786427150735	0.08518518518518509
<pause>		0	0	0	0.0	0.0	0.0	0.0	0.0	0.0
through	through	1	582	35	8.7110707157064	9.268213572849248	8.06821357284926	16.368213572849243	5.768213572849248	-0.03428571428571396
<pause>		0	0	0	0.0	0.0	0.0	0.0	0.0	0.0
the	the	1	617	18	13.184880239515923	8.06821357284926	15.168213572849254	17.56821357284926	8.06821357284926	0.39444444444444415
<pause>		0	0	0	0.0	0.0	0.0	0.0	0.0	0.0
woods	woods	1	635	80	-0.9905364271507431	16.368213572849243	27.468213572849265	27.468213572849265	-21.331786427150746	0.1387500000000003
<pause>	<pause>	1	715	5	31.28821357284925	28.76821357284925	33.86821357284924	33.86821357284924	28.76821357284925	1.019999999999999
suddenly	suddenly	1	720	65	12.065136649772333	35.168213572849254	-3.2317864271507517	43.06821357284923	-6.531786427150735	-0.5907692307692308
<pause>		0	0	0	0.0	0.0	0.0	0.0	0.0	0.0
sam	sam	1	785	43	0.35658566587251034	-3.2317864271507517	3.4682135728492653	11.56821357284926	-7.631786427150757	0.1558139534883725
<pause>		0	0	0	0.0	0.0	0.0	0.0	0.0	0.0
heard	heard	1	828	38	-6.463365374519171	3.4682135728492653	-7.631786427150757	3.4682135728492653	-11.93178642715074	-0.2921052631578953
<pause>	<pause>	1	866	43	-7.017832938778664	-7.631786427150757	-5.43178642715074	-5.43178642715074	-7.631786427150757	0.05116279069767481
a	a	1	909	28	3.228927858563542	-5.43178642715074	2.3682135728492426	15.168213572849254	-16.131786427150757	0.27857142857142797
<pause>		0	0	0	0.0	0.0	0.0	0.0	0.0	0.0
noise	noise	1	937	54	-1.459564204928523	4.56821357284926	5.768213572849248	9.268213572849248	-7.631786427150757	0.02222222222222201
<pause>		0	0	0	0.0	0.0	0.0	0.0	0.0	0.0
coming	coming	1	991	51	7.8976253375551435	6.968213572849265	10.468213572849265	18.76821357284925	-8.731786427150752	0.06862745098039216
<pause>		0	0	0	0.0	0.0	0.0	0.0	0.0	0.0
from	from	1	1042	53	-3.67140906866018	9.268213572849248	6.968213572849265	9.268213572849248	-18.23178642715075	-0.04339622641509402
<pause>	<pause>	1	1095	149	48.35076390841972	8.06821357284926	16.368213572849243	78.66821357284925	8.06821357284926	0.05570469798657707
the	the	1	1244	35	7.973927858563543	15.168213572849254	13.968213572849265	15.168213572849254	3.4682135728492653	-0.03428571428571396
<pause>	<pause>	1	1279	3	16.368213572849253	15.168213572849254	17.56821357284926	17.56821357284926	15.168213572849254	0.8000000000000019
tree	tree	1	1282	36	18.426546906182594	18.76821357284925	-3.2317864271507517	29.968213572849265	-3.2317864271507517	-0.6111111111111112
<pause>		0	0	0	0.0	0.0	0.0	0.0	0.0	0.0
above	above	1	1318	92	-7.297003818455102	-4.331786427150746	1.168213572849254	31.268213572849277	-44.331786427150746	0.059782608695652176
<pause>		0	0	0	0.0	0.0	0.0	0.0	0.0	0.0
their	their	1	1410	45	-8.86511976048408	3.4682135728492653	-21.331786427150746	8.06821357284926	-22.331786427150746	-0.5511111111111113
<pause>		0	0	0	0.0	0.0	0.0	0.0	0.0	0.0
heads	heads	1	1455	72	-15.631786427150749	-20.331786427150746	-13.031786427150735	-6.531786427150735	-24.331786427150746	0.10138888888888904
<pause>	<pause>	1	1527	3	-12.298453093817406	-13.031786427150735	-11.93178642715074	-11.93178642715074	-13.031786427150735	0.36666666666666475
jo	jo	1	1530	56	8.153927858563542	-10.93178642715074	29.968213572849265	40.36821357284924	-10.93178642715074	0.7303571428571429
<pause>		0	0	0	0.0	0.0	0.0	0.0	0.0	0.0
climbed	climbed	1	1586	92	13.535604877197077	31.268213572849277	39.06821357284923	44.36821357284924	-14.031786427150735	0.08478260869565168
<pause>	<pause>	1	1678	51	16.381939063045326	39.06821357284923	-9.831786427150746	39.06821357284923	-9.831786427150746	-0.9588235294117643
up	up	1	1729	34	-6.6817864271507466	-10.93178642715074	1.168213572849254	1.168213572849254	-27.331786427150746	0.3558823529411763
<pause>		0	0	0	0.0	0.0	0.0	0.0	0.0	0.0
to	to	1	1763	25	9.712213572849258	3.4682135728492653	3.4682135728492653	21.26821357284925	1.168213572849254	0.0
<pause>		0	0	0	0.0	0.0	0.0	0.0	0.0	0.0
see	see	1	1788	35	3.7310707157064016	3.4682135728492653	-2.1317864271507574	6.968213572849265	-2.1317864271507574	-0.16000000000000064
<pause>		0	0	0	0.0	0.0	0.0	0.0	0.0	0.0
what	what	1	1823	51	-37.06904132911152	-4.331786427150746	-51.43178642715074	-3.2317864271507517	-59.831786427150746	-0.9235294117647058
<pause>	<pause>	1	1874	39	-32.86768386304818	-50.531786427150735	-14.031786427150735	-14.031786427150735	-50.531786427150735	0.9358974358974359
the	the	1	1913	29	-9.852476082323161	-13.031786427150735	-10.93178642715074	-6.531786427150735	-13.031786427150735	0.07241379310344807
<pause>		0	0	0	0.0	0.0	0.0	0.0	0.0	0.0
noise	noise	1	1942	112	-10.522857855722176	-11.93178642715074	17.56821357284926	17.56821357284926	-33.13178642715076	0.26339285714285715
<pause>	<pause>	1	2054	4	20.618213572849257	18.76821357284925	22.468213572849265	22.468213572849265	18.76821357284925	0.9250000000000043
was	was	1	2058	85	-2.2847276036213344	23.668213572849254	-4.331786427150746	28.76821357284925	-8.731786427150752	-0.32941176470588235
<pause>	<pause>	1	2143	60	-3.2317864271507513	-4.331786427150746	-1.0317864271507347	-1.0317864271507347	-4.331786427150746	0.05500000000000019
and	and	1	2203	41	-2.473249841784891	0.06821357284925966	-8.731786427150752	22.468213572849265	-11.93178642715074	-0.2146341463414637
<pause>		0	0	0	0.0	0.0	0.0	0.0	0.0	0.0
found	found	1	2244	71	0.2696220235534812	-7.631786427150757	8.06821357284926	9.268213572849248	-8.731786427150752	0.22112676056338051
<pause>		0	0	0	0.0	0.0	0.0	0.0	0.0	0.0
two	two	1	2315	32	18.265088572849255	8.06821357284926	17.56821357284926	26.168213572849254	8.06821357284926	0.296875
<pause>	<pause>	1	2347	3	15.968213572849246	16.368213572849243	15.168213572849254	16.368213572849243	15.168213572849254	-0.3999999999999962
baby	baby	1	2350	39	2.796418701054382	15.168213572849254	5.768213572849248	15.168213572849254	-4.331786427150746	-0.24102564102564117
<pause>		0	0	0	0.0	0.0	0.0	0.0	0.0	0.0
squirrels	squirrels	1	2389	97	-6.359621478697135	6.968213572849265	-8.731786427150752	8.06821357284926	-20.331786427150746	-0.16185567010309296
<pause>	<pause>	1	2486	3	-8.731786427150752	-8.731786427150752	-8.731786427150752	-8.731786427150752	-8.731786427150752	0.0
the	the	1	2489	38	4.394529362322939	-8.731786427150752	5.768213572849248	9.268213572849248	-8.731786427150752	0.3815789473684211
<pause>	<pause>	1	2527	7	2.8110707157064008	4.56821357284926	0.06821357284925966	4.56821357284926	0.06821357284925966	-0.6428571428571429
babies	babies	1	2534	95	4.313476730743995	-1.0317864271507347	13.968213572849265	13.968213572849265	-11.93178642715074	0.15789473684210525
<pause>	<pause>	1	2629	5	17.568213572849253	15.168213572849254	19.968213572849265	19.968213572849265	15.168213572849254	0.9600000000000023
were	were	1	2634	27	4.045991350627035	21.26821357284925	-2.1317864271507574	22.468213572849265	-2.1317864271507574	-0.8666666666666669
<pause>		0	0	0	0.0	0.0	0.0	0.0	0.0	0.0
alone	alone	1	2661	62	-9.705979975537844	-2.1317864271507574	-15.131786427150757	-2.1317864271507574	-16.131786427150757	-0.20967741935483872
<pause>		0	0	0	0.0	0.0	0.0	0.0	0.0	0.0
