Session,WCPM,Acc,Comp,Exp,level
44675,66.0,0.926,4.4,2.4,9
44699,59.0,0.986,5.0,2.0,8
44790,28.0,0.907,2.0,1.6,5
44861,21.0,0.752,1.9,1.2,3
45320,57.0,0.907,5.1,1.9,8
45458,63.0,0.99,4.4,2.0,9
45870,163.0,0.984,7.3,4.0,18
46947,24.0,0.8640000000000001,3.4,1.2,5
46987,16.0,0.669,3.1,1.2,2
47005,19.0,0.6729999999999999,5.6,1.3,3
47140,36.0,0.8240000000000001,4.9,1.5,6
47238,35.0,0.75,3.3,1.5,4
47253,42.0,0.92,3.9,1.6,7
47508,93.0,1.0,6.5,2.6,11
47700,123.0,0.988,6.2,3.4,14
47992,134.0,0.865,3.7,3.1,15
48845,84.0,0.96,7.7,2.3,10
48890,92.0,0.893,2.3,2.3,11
49076,52.0,0.973,5.4,1.6,8
49081,98.0,0.884,5.2,3.1,12
49113,35.0,0.856,5.3,1.6,6
49239,93.0,1.0,5.3,2.7,11
49251,29.0,0.7859999999999999,4.5,1.4,4
49336,42.0,0.866,3.5,1.5,7
49348,79.0,0.988,4.6,2.0,10
49356,53.0,0.981,4.0,1.9,8
49444,47.0,0.937,4.1,1.6,7
49488,58.0,0.919,3.7,2.1,8
49638,89.0,1.0,5.0,2.9,11
50492,45.0,0.825,4.4,2.1,7
50530,32.0,0.7879999999999999,3.5,1.9,4
50588,54.0,0.865,3.6,2.1,8
50616,46.0,0.902,5.0,2.1,7
50670,63.0,0.944,3.7,2.2,9
50760,63.0,0.937,3.8,2.7,9
50936,114.0,0.983,2.8,3.2,13
51035,19.0,0.607,4.2,2.2,2
51349,30.0,0.67,2.9,1.2,4
51372,39.0,0.609,2.4,1.5,4
51404,46.0,0.977,6.1,1.5,7
51411,25.0,0.716,3.5,1.4,3
51604,87.0,1.0,6.2,3.1,11
51623,109.0,0.971,6.7,3.5,13
51739,54.0,0.986,4.7,2.5,8
52045,158.0,0.967,7.2,4.0,17
52107,48.0,0.975,6.1,1.8,7
52398,37.0,0.858,2.9,1.6,6
52450,76.0,0.984,6.8,2.5,10
52621,85.0,0.986,4.1,2.5,11
53044,58.0,0.7490000000000001,3.5,1.7,6
53226,103.0,0.99,6.3,2.8,12
53441,57.0,0.994,5.7,2.0,8
53627,80.0,0.99,4.1,2.1,10
53628,133.0,1.0,2.9,3.5,15
53701,141.0,0.923,3.0,3.4,16
53751,21.0,0.7759999999999999,3.2,1.3,3
17627,23.0,0.7090000000000001,4.6,1.3,3
24221,43.0,0.644,4.6,1.6,5
24296,39.0,0.927,4.8,1.4,7
24779,30.0,0.6759999999999999,3.1,1.5,4
26120,28.0,0.946,4.2,1.2,5
26122,36.0,0.967,6.2,1.2,6
26274,21.0,0.68,2.9,1.6,3
26454,32.0,0.722,3.5,1.4,4
26604,36.5,0.853,5.9,1.3,6
27683,84.0,0.984,4.1,2.1,11
28974,16.0,0.883,2.3,1.0,4
