Session,WCPM,Acc,Comp,Exp,level,B_new,C_new,E_new,F_new,G_new,H_new,J_new,K_new,L_new,M_new,N_new,O_new,P_new,Q_new,mlevel_numeric,form_numeric,mlevel_form_diff,text_is_above_level
34475.0,102.0,1.0,6.9,3.0,11.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,8,4,4,1
34853.0,89.0,1.0,7.3,2.6,10.0,3.0,3.0,3.0,3.0,2.0,3.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,8,4,4,1
34893.0,58.0,0.7929999999999999,2.4,1.7,5.0,3.0,3.0,3.0,2.0,0.0,3.0,1.0,1.0,0.0,1.0,0.0,2.0,3.0,2.0,5,4,1,1
34913.0,46.0,0.9740000000000001,4.9,1.4,6.0,3.0,2.0,3.0,2.0,0.0,1.0,1.0,3.0,0.0,2.0,2.0,2.0,3.0,3.0,6,4,2,1
35160.0,52.0,0.961,3.9,1.7,7.0,2.0,2.0,2.0,1.0,1.0,2.0,1.0,3.0,1.0,2.0,2.0,1.0,3.0,3.0,7,4,3,1
35168.0,82.0,0.9570000000000001,7.0,2.2,9.0,3.0,3.0,3.0,2.0,1.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,8,4,4,1
35287.0,159.0,1.0,5.2,3.6,16.0,3.0,3.0,3.0,3.0,1.0,3.0,2.0,2.0,3.0,3.0,2.0,3.0,3.0,3.0,8,4,4,1
35337.0,82.0,0.97,5.4,2.2,9.0,3.0,3.0,3.0,2.0,1.0,3.0,1.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,8,4,4,1
35433.0,117.0,1.0,6.6,3.2,13.0,3.0,3.0,3.0,3.0,3.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,8,4,4,1
35637.0,44.0,0.787,3.9,1.7,4.0,3.0,3.0,3.0,1.0,0.0,1.0,0.0,3.0,1.0,2.0,0.0,3.0,1.0,0.0,4,4,0,0
35759.0,67.0,0.9590000000000001,7.4,1.9,8.0,3.0,3.0,3.0,2.0,2.0,3.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,0.0,8,4,4,1
36099.0,54.0,0.8859999999999999,6.3,1.7,7.0,3.0,2.0,2.0,2.0,0.0,1.0,1.0,3.0,1.0,1.0,3.0,3.0,3.0,2.0,7,4,3,1
36251.0,43.0,0.8079999999999999,5.8,1.8,4.0,3.0,3.0,3.0,2.0,2.0,3.0,1.0,3.0,1.0,3.0,3.0,3.0,3.0,1.0,4,4,0,0
37247.0,18.0,0.664,5.6,1.1,2.0,3.0,2.0,3.0,0.0,0.0,1.0,0.0,2.0,0.0,1.0,2.0,3.0,0.0,1.0,2,4,-2,0
37392.0,36.0,0.735,4.3,1.5,3.0,1.0,1.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,2.0,3.0,0.0,3,4,-1,0
37537.0,112.0,0.991,6.7,3.0,12.0,3.0,3.0,3.0,2.0,2.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,8,4,4,1
37751.0,51.0,0.9890000000000001,6.0,1.8,7.0,3.0,3.0,3.0,2.0,2.0,2.0,1.0,3.0,2.0,2.0,3.0,3.0,3.0,2.0,7,4,3,1
38419.0,64.0,0.965,5.0,1.9,8.0,3.0,3.0,3.0,3.0,1.0,3.0,1.0,1.0,1.0,1.0,3.0,2.0,3.0,3.0,8,4,4,1
38533.0,108.0,1.0,7.0,2.5,12.0,3.0,3.0,3.0,3.0,3.0,2.0,2.0,3.0,3.0,3.0,2.0,3.0,3.0,2.0,8,4,4,1
38551.0,32.0,0.8009999999999999,4.1,1.4,3.0,3.0,3.0,3.0,2.0,0.0,1.0,0.0,3.0,0.0,3.0,0.0,2.0,3.0,0.0,3,4,-1,0
39640.0,95.0,1.0,4.4,2.6,11.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,1.0,2.0,3.0,3.0,8,4,4,1
39728.0,122.0,1.0,7.0,2.9,13.0,3.0,3.0,3.0,2.0,1.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,8,4,4,1
40477.0,38.0,0.862,4.3,1.5,5.0,3.0,3.0,3.0,1.0,1.0,2.0,1.0,2.0,0.0,2.0,1.0,2.0,3.0,1.0,5,4,1,1
40555.0,34.0,0.775,6.0,1.2,3.0,3.0,2.0,3.0,1.0,1.0,2.0,0.0,3.0,0.0,1.0,2.0,3.0,0.0,3.0,3,4,-1,0
40753.0,18.0,0.604,1.7,1.1,2.0,3.0,2.0,3.0,1.0,1.0,3.0,0.0,2.0,0.0,2.0,0.0,1.0,1.0,2.0,2,4,-2,0
41338.0,66.0,0.995,6.5,2.2,8.0,3.0,3.0,3.0,2.0,3.0,2.0,2.0,3.0,2.0,2.0,3.0,3.0,3.0,2.0,8,4,4,1
41532.0,67.0,0.943,7.0,2.2,8.0,2.0,3.0,2.0,1.0,0.0,1.0,1.0,3.0,2.0,2.0,3.0,3.0,3.0,2.0,8,4,4,1
41757.0,45.0,0.7440000000000001,4.1,1.7,4.0,3.0,3.0,2.0,0.0,0.0,3.0,1.0,3.0,2.0,2.0,0.0,3.0,3.0,0.0,4,4,0,0
42243.0,90.0,1.0,5.8,2.7,10.0,3.0,3.0,3.0,3.0,1.0,3.0,2.0,2.0,3.0,2.0,2.0,3.0,3.0,2.0,8,4,4,1
