Response,WCPM,Acc,Comp,Exp,level,WCPM_response,Comp_response,Exp_response,undetermined,1_or_2,2_unanimous,2_or_3,3_unanimous
565035,88.0,0.9470000000000001,4.5,3.5,11,77.3,2.9,3.0,0,0,0,0,1
565035,88.0,0.9470000000000001,4.5,3.5,11,77.3,2.9,3.0,0,0,0,0,1
565035,88.0,0.9470000000000001,4.5,3.5,11,77.3,2.9,3.0,0,0,0,0,1
565035,88.0,0.9470000000000001,4.5,3.5,11,77.3,2.9,3.0,0,0,0,0,1
565040,88.0,0.9470000000000001,4.5,3.5,11,87.3,5.5,3.1,0,0,0,0,1
565040,88.0,0.9470000000000001,4.5,3.5,11,87.3,5.5,3.1,0,0,0,0,1
565040,88.0,0.9470000000000001,4.5,3.5,11,87.3,5.5,3.1,0,0,0,0,1
565044,88.0,0.9470000000000001,4.5,3.5,11,152.6,5.1,4.3,0,0,0,0,1
565044,88.0,0.9470000000000001,4.5,3.5,11,152.6,5.1,4.3,0,0,0,0,1
565044,88.0,0.9470000000000001,4.5,3.5,11,152.6,5.1,4.3,0,0,0,0,1
565127,41.0,0.7759999999999999,5.1,1.8,6,43.0,6.2,1.8,0,0,1,0,0
565127,41.0,0.7759999999999999,5.1,1.8,6,43.0,6.2,1.8,0,0,1,0,0
565127,41.0,0.7759999999999999,5.1,1.8,6,43.0,6.2,1.8,0,0,1,0,0
565131,41.0,0.7759999999999999,5.1,1.8,6,42.5,5.0,1.7,0,0,0,0,1
565131,41.0,0.7759999999999999,5.1,1.8,6,42.5,5.0,1.7,0,0,0,0,1
565135,41.0,0.7759999999999999,5.1,1.8,6,73.1,4.1,2.2,0,0,0,1,0
565135,41.0,0.7759999999999999,5.1,1.8,6,73.1,4.1,2.2,0,0,0,1,0
565135,41.0,0.7759999999999999,5.1,1.8,6,73.1,4.1,2.2,0,0,0,1,0
565185,101.0,1.0,6.7,3.2,12,87.6,6.0,2.8,0,0,0,0,1
565185,101.0,1.0,6.7,3.2,12,87.6,6.0,2.8,0,0,0,0,1
565185,101.0,1.0,6.7,3.2,12,87.6,6.0,2.8,0,0,0,0,1
565185,101.0,1.0,6.7,3.2,12,87.6,6.0,2.8,0,0,0,0,1
565185,101.0,1.0,6.7,3.2,12,87.6,6.0,2.8,0,0,0,0,1
565189,101.0,1.0,6.7,3.2,12,100.9,8.0,3.2,0,0,0,0,1
565189,101.0,1.0,6.7,3.2,12,100.9,8.0,3.2,0,0,0,0,1
565189,101.0,1.0,6.7,3.2,12,100.9,8.0,3.2,0,0,0,0,1
565193,101.0,1.0,6.7,3.2,12,107.2,5.8,3.3,0,0,0,0,1
565193,101.0,1.0,6.7,3.2,12,107.2,5.8,3.3,0,0,0,0,1
565193,101.0,1.0,6.7,3.2,12,107.2,5.8,3.3,0,0,0,0,1
565652,98.0,0.9890000000000001,5.7,3.3,12,97.4,3.8,2.8,0,0,0,0,1
565652,98.0,0.9890000000000001,5.7,3.3,12,97.4,3.8,2.8,0,0,0,0,1
565652,98.0,0.9890000000000001,5.7,3.3,12,97.4,3.8,2.8,0,0,0,0,1
565652,98.0,0.9890000000000001,5.7,3.3,12,97.4,3.8,2.8,0,0,0,0,1
565652,98.0,0.9890000000000001,5.7,3.3,12,97.4,3.8,2.8,0,0,0,0,1
565656,98.0,0.9890000000000001,5.7,3.3,12,88.6,5.0,2.7,0,0,0,0,1
565656,98.0,0.9890000000000001,5.7,3.3,12,88.6,5.0,2.7,0,0,0,0,1
565656,98.0,0.9890000000000001,5.7,3.3,12,88.6,5.0,2.7,0,0,0,0,1
565660,98.0,0.9890000000000001,5.7,3.3,12,117.4,8.0,3.3,0,0,0,0,1
565660,98.0,0.9890000000000001,5.7,3.3,12,117.4,8.0,3.3,0,0,0,0,1
565660,98.0,0.9890000000000001,5.7,3.3,12,117.4,8.0,3.3,0,0,0,0,1
566017,26.0,0.7490000000000001,4.2,1.3,5,39.4,6.3,1.5,0,0,0,1,0
566017,26.0,0.7490000000000001,4.2,1.3,5,39.4,6.3,1.5,0,0,0,1,0
566017,26.0,0.7490000000000001,4.2,1.3,5,39.4,6.3,1.5,0,0,0,1,0
611797,68.0,0.943,5.9,2.1,9,69.8,8.0,2.0,0,0,0,0,1
611797,68.0,0.943,5.9,2.1,9,69.8,8.0,2.0,0,0,0,0,1
611797,68.0,0.943,5.9,2.1,9,69.8,8.0,2.0,0,0,0,0,1
611797,68.0,0.943,5.9,2.1,9,69.8,8.0,2.0,0,0,0,0,1
611797,68.0,0.943,5.9,2.1,9,69.8,8.0,2.0,0,0,0,0,1
611801,68.0,0.943,5.9,2.1,9,43.1,3.2,1.5,0,0,0,0,1
611801,68.0,0.943,5.9,2.1,9,43.1,3.2,1.5,0,0,0,0,1
611801,68.0,0.943,5.9,2.1,9,43.1,3.2,1.5,0,0,0,0,1
611806,68.0,0.943,5.9,2.1,9,66.9,5.6,2.2,0,0,0,0,1
611806,68.0,0.943,5.9,2.1,9,66.9,5.6,2.2,0,0,0,0,1
611806,68.0,0.943,5.9,2.1,9,66.9,5.6,2.2,0,0,0,0,1
646370,44.0,0.677,2.3,1.7,7,61.3,3.2,2.2,0,0,0,0,1
646374,44.0,0.677,2.3,1.7,7,85.4,1.4,2.2,0,0,0,0,1
646374,44.0,0.677,2.3,1.7,7,85.4,1.4,2.2,0,0,0,0,1
655107,88.0,0.982,5.7,3.3,11,102.0,5.6,3.7,0,0,0,1,0
655107,88.0,0.982,5.7,3.3,11,102.0,5.6,3.7,0,0,0,1,0
655107,88.0,0.982,5.7,3.3,11,102.0,5.6,3.7,0,0,0,1,0
655107,88.0,0.982,5.7,3.3,11,102.0,5.6,3.7,0,0,0,1,0
