Word	SIghtVocab.	Compound	LTS	morphs	Svocab-LTS	"D,ND"
too	-1			1	"1,9"	D
took	0			1	"1,9"	D
town	1			1	"1,9"	D
tradition	 		"1,2,7"	1		D
travel			"1,2"	1		D
traveling			"1,2,3"	2		D
treats			"1,2,9"	2		D
tree	0			1	"1,2,9"	D
truck	0			1	"1,2"	D
trucks	0		"S,1"	2	"1,2"	D
tub			1	1		D
tunnels	 		"1,2"	1		D
turbulent	 		"1,2,5,8"	1		D
turned	1		"1,3"	2	"1,3,8"	D
tv	1			1		ND
two	0			1		ND
umbrella	 		"1,2,5"	1		D
umbrellas	 		"1,2,5,6"	2		D
under	0			1	"1,2,8"	D
unlike	-1		"1,4"	2	"1,4"	D
unpleasant	 		"1,2,4,9"	2		D
until	1			1	1	D
unusual	 		"1,3,10,12"	2		D
up	-1			1	1	D
us	0			1	1	D
use	1			1	"1,4"	D
used	1		"S,6"	2	"1,4,6"	D
uses	1		"S,6"	2	"1,4,6"	D
usually	 		"1,6,12"	2		D
vanilla			"1,5"	1		D
vegetables	 		"1,6,7"	2		D
very	0			1		ND
vikings	 		"1,2,5"	2		D
village			"1,3,10"	1		D
visit			"1,3"	1		D
wait	0			1	"1,9"	D
waited	0		"S,3"	2	"1,3,9"	D
walk	0			1	1	D
walks	0		"S,1"	2	1	D
want	-1			1	"1,2,12"	D
wanted	-1		"S,3"	2	"1,2,3,12"	D
wants	-1		"S,2"	2	"1,2,12"	D
warm			"1,12"	1		D
warning			"1,3,12"	2		D
was	0			1		ND
wash			"1,12"	1		D
wasn't	1			2		ND
watch	1			1	"7,12"	D
watched	1		"S,3"	2	"3,7,12"	D
watches	1		"S,1"	2	"1,2,7,12"	D
water	0			1	"1,8,12"	D
waves			"1,4,6"	2		D
way	0			1	"1,9"	D
ways	0		"S,1"	2	"1,9"	D
we	-1			1	"1,5"	D
wear			ND	1		ND
week			"1,9"	1		D
well	0			1	1	D
went	0			1	"1,2"	D
were	0			1		ND
weren't	0		"S,7"	2		ND
what	-1			1		ND
what's	1		"S,2"	2		ND
when	0			1	1	D
where	-1			1		ND
while	1			1	"1,4"	D
whiskers			"1,3,8"	2		D
white	1			1	"1,4"	D
who	-1			1		ND
why	0			1	"1,5"	D
will	-1			1	1	D
wind	1			1	ND?	ND
window	0		"1,3,9"	1	"1,2,9"	D
windy	1		"S,6"	2	"1,2,6"	ND
winter	1		"1,3,8"	1	"1,8"	D
wish	1		1	1	1	D
with	-1			1	1	D
without	1			1	"1,9"	D
wondered	 		"1,3,8,12"	2		D
wood	1			1	"1,9"	D
woods	1		"S,1"	2	"1,9"	D
woof			"1,9"	1		D
work	0			1	"1,12"	D
working	0		"S,3"	2	"1,3,12"	D
works	0		"S,1"	2	"1,12"	D
world			"1,2,12"	1		D
worsens			"1,6,12"	2		D
would	0			1		ND
write			"1,4,12"	1		D
writes			"1,4,6,12"	2		D
yard			"1,8"	1		D
year			"1,9"	1		D
year's			"1,7,9"	2		D
yearly			"1,6,9"	2		D
years			"1,9"	2		D
yellow	1			1	"1,9"	D
york			"1,8"	1		D
you	-1			1		ND
young			ND	1		ND
your	-1			1		ND
zack			1	1		D
teacher's	1		"S,1"	3	"1,6,9"	D
rabbit			1	1		D
