item,token,not_sightword,not_decodable,not_decodable_at_grade_level
1804,ready,,,1
1804,to,,,
1804,show,,,1
1804,the,,,
1804,class,,,
1807,the,,,
1807,tide,1,,1
1807,goes,,,
1807,out,,,
1807,little,,,
1807,pools,1,,1
1807,of,,,
1807,water,,,1
1807,are,,,
1807,left,1,,
1807,behind,1,,1
1807,these,,1,
1807,are,,,
1807,called,1,,1
1807,tide,1,,1
1807,pools,1,,1
1807,we,,,
1807,can,,,
1807,see,,,
1807,what,,,
1807,it's,,,
1807,like,,,
1807,under,,,1
1807,the,,,
1807,sea,,,1
1807,in,,,
1807,the,,,
1807,pools,1,,1
1807,you,,,
1807,can,,,
1807,find,,,
1807,plants,1,,
1807,and,,,
1807,small,,,
1807,animals,,,
1807,some,,1,
1807,animals,,,
1807,swim,,,
1807,others,,1,
1807,hide,,,
1807,under,,,1
1807,rocks,,,
1807,and,,,
1807,plants,1,,
1807,there,,1,
1807,is,,,
1807,a,,,
1807,lot,,,
1807,of,,,
1807,life,1,,1
1807,in,,,
1807,the,,,
1807,pool,1,,1
1807,when,,,
1807,the,,,
1807,tide,1,,1
1807,comes,,1,
1807,back,,,
1807,in,,,
1807,the,,,
1807,sea,,,1
1807,covers,1,1,
1807,the,,,
1807,pools,1,,1
1807,and,,,
1807,some,,1,
1807,of,,,
1807,the,,,
1807,animals,,,
1807,can,,,
1807,swim,,,
1807,away,,,
1502,a,,,
1502,cat,,,
1502,takes,,,1
1502,a,,,
1502,nap,1,,
1502,a,,,
1502,dog,,,
1502,can,,,
1502,nap,1,,
1502,and,,,
1502,so,,,
1502,can,,,
1502,you,,,
1502,but,,,
1502,does,,1,
1502,a,,,
1502,fish,,,
1502,nap,1,,
1502,a,,,
1502,fish,,,
1502,does,,1,
1502,not,,,
1502,have,,,
1502,a,,,
1502,bed,,,
1502,it,,,
1502,cannot,1,,
1502,shut,1,,
1502,its,,,
1502,eyes,,1,
1502,when,,,
1502,a,,,
1502,fish,,,
1502,takes,,,1
1502,a,,,
1502,nap,1,,
1502,it,,,
1502,keeps,,,1
1502,its,,,
1502,eyes,,1,
1502,open,,,1
1502,a,,,
1502,fish,,,
1502,swims,,,
1502,when,,,
1502,it,,,
1502,sleeps,,,1
1502,some,,1,
1502,fish,,,
1502,hide,,,
1502,when,,,
1502,they,,,
1502,sleep,,,1
1502,after,,,1
1502,a,,,
1502,fish,,,
1502,naps,1,,
1502,it,,,
1502,looks,,,
1502,for,,,
1502,food,,,1
1703,summer,1,,1
1703,is,,,
1703,here,,,
1703,pat,,,
1703,and,,,
1703,danny,1,,1
1703,want,,,
1703,to,,,
1703,walk,,,
1703,to,,,
1703,the,,,
1703,beach,1,,1
1703,don't,,,
1703,forget,1,,1
1703,to,,,
1703,pack,1,,
1703,a,,,
1703,snack,1,,
1703,calls,1,,
1703,mom,,,
1703,danny,1,,1
1703,packs,1,,
1703,some,,1,
1703,snacks,1,,
1703,don't,,,
1703,forget,1,,1
1703,to,,,
1703,pack,1,,
1703,your,,,
1703,hats,1,,
1703,pat,,,
1703,packs,1,,
1703,the,,,
1703,hats,1,,
1703,don't,,,
1703,forget,1,,1
1703,to,,,
1703,pack,1,,
1703,your,,,
1703,umbrella,1,,1
1703,an,,,
1703,umbrella,1,,1
1703,but,,,
1703,it,,,
1703,is,,,
1703,sunny,,,1
1703,says,1,1,
1703,danny,1,,1
1703,mom,,,
1703,opens,,,1
1703,the,,,
1703,door,,1,
1703,oh,,,
1703,no,,,
1703,says,1,1,
1703,pat,,,
1703,it,,,
1703,is,,,
1703,raining,,,1
1703,let's,,,1
1703,walk,,,
1703,in,,,
1703,the,,,
1703,rain,,,1
1703,with,,,
1703,our,,,1
1703,umbrellas,1,,1
2001,it,,,
2001,is,,,
2001,a,,,
2001,windy,,1,
2001,day,,,
2001,jeff,1,,
2001,wants,,,
2001,to,,,
2001,fly,,,
2001,his,,,
2001,new,,,1
2001,kite,,,1
2001,it,,,
2001,is,,,
2001,red,,,
2001,and,,,
2001,yellow,,,1
2001,and,,,
2001,has,,,
2001,a,,,
2001,long,,,
2001,tail,,,1
2001,his,,,
2001,father,,1,
2001,gave,,,1
2001,him,,,
2001,the,,,
2001,kite,,,1
2001,for,,,
2001,his,,,
2001,birthday,,,1
2001,he,,,
2001,goes,,,
2001,out,,,
2001,to,,,
2001,the,,,
2001,field,1,,1
2001,he,,,
2001,runs,,,
2001,fast,,,
2001,and,,,
2001,lets,,,
2001,go,,,
2001,of,,,
2001,the,,,
2001,kite,,,1
2001,it,,,
2001,starts,,,1
2001,to,,,
2001,fly,,,
2001,he,,,
2001,lets,,,
2001,out,,,
2001,more,,,1
2001,string,1,,
2001,and,,,
2001,the,,,
2001,kite,,,1
2001,flies,,,
2001,very,,1,
2001,high,,,1
2001,jeff,1,,
2001,stops,,,
2001,running,,,
2001,and,,,
2001,watches,,,1
2001,the,,,
2001,kite,,,1
2001,dance,,,1
2001,high,,,1
2001,in,,,
2001,the,,,
2001,sky,,,1
350,do,,,
350,you,,,
350,see,,,
350,a,,,
350,face,,,1
350,on,,,
350,the,,,
350,moon,1,,
350,lots,,,
350,of,,,
350,people,,1,
350,see,,,
350,something,,1,
350,the,,,
350,man,,,
350,on,,,
350,the,,,
350,moon,1,,
350,is,,,
350,what,,,
350,we,,,
350,see,,,
350,in,,,
350,america,1,1,
350,in,,,
350,japan,1,1,
350,people,,1,
350,see,,,
350,a,,,
350,rabbit,1,,
350,on,,,
