item,token,not_sightword,not_decodable,not_decodable_at_grade_level,sightword
1505,the,,,,-1
1505,trucks,,,,0
1505,go,,,,-1
1505,away,,,,0
1505,woof,1.0,,1.0,
1505,woof,1.0,,1.0,
1505,woof,1.0,,1.0,
1505,it,,,,-1
1505,works,,,1.0,0
1505,the,,,,-1
1505,trucks,,,,0
1505,go,,,,-1
1505,away,,,,0
1505,good,,,,-1
1505,job,1.0,,,
1505,rocky,,,1.0,0
1505,now,,,1.0,0
1505,he,,,,-1
1505,can,,,,-1
1505,rest,1.0,,,
1804,i,,,,-1
1804,pushed,,1.0,,1
1804,the,,,,-1
1804,clay,1.0,,1.0,
1804,i,,,,-1
1804,looked,,,,-1
1804,around,,,1.0,1
1804,the,,,,-1
1804,classroom,1.0,,1.0,"1,1"
1804,soon,,,1.0,1
1804,it,,,,-1
1804,would,,1.0,,0
1804,be,,,,-1
1804,my,,,,-1
1804,time,,,,-1
1804,to,,,,-1
1804,share,1.0,,1.0,
1804,i,,,,-1
1804,turned,,,1.0,1
1804,back,,,,0
1804,to,,,,-1
1804,my,,,,-1
1804,clay,1.0,,1.0,
1804,and,,,,-1
1804,began,,,1.0,1
1804,to,,,,-1
1804,push,,1.0,,1
1804,again,,1.0,,1
1804,with,,,,-1
1804,a,,,,-1
1804,small,,,,0
1804,ball,,,,0
1804,of,,,,-1
1804,clay,1.0,,1.0,
1804,i,,,,-1
1804,made,,,1.0,0
1804,a,,,,-1
1804,head,,,1.0,1
1804,a,,,,-1
1804,bigger,,,,-1
1804,ball,,,,0
1804,turned,,,1.0,1
1804,into,,1.0,,0
1804,a,,,,-1
1804,body,1.0,,1.0, 
1804,i,,,,-1
1804,rolled,1.0,,1.0,
1804,some,,1.0,,0
1804,clay,1.0,,1.0,
1804,on,,,,-1
1804,the,,,,-1
1804,desk,1.0,,,
1804,to,,,,-1
1804,make,,,,-1
1804,legs,1.0,,,
1804,then,,1.0,,0
1804,i,,,,-1
1804,put,,1.0,,0
1804,my,,,,-1
1804,bug,1.0,,,
1804,together,,1.0,,1
1804,and,,,,-1
1804,i,,,,-1
1804,was,,1.0,,0
1804,ready,,,1.0,1
1804,to,,,,-1
1804,show,,,1.0,0
1804,the,,,,-1
1804,class,,,,1
1807,the,,,,-1
1807,tide,1.0,,1.0,
1807,goes,,,,-1
1807,out,,,,-1
1807,little,,,,-1
1807,pools,1.0,,1.0,
1807,of,,,,-1
1807,water,,,1.0,0
1807,are,,,,-1
1807,left,1.0,,,
1807,behind,1.0,,1.0,
1807,these,,1.0,,1
1807,are,,,,-1
1807,called,1.0,,1.0,
1807,tide,1.0,,1.0,
1807,pools,1.0,,1.0,
1807,we,,,,-1
1807,can,,,,-1
1807,see,,,,-1
1807,what,,,,1
1807,it's,,,,-1
1807,like,,,,-1
1807,under,,,1.0,0
1807,the,,,,-1
1807,sea,,,1.0,1
1807,in,,,,-1
1807,the,,,,-1
1807,pools,1.0,,1.0,
1807,you,,,,-1
1807,can,,,,-1
1807,find,,,,0
1807,plants,1.0,,,
1807,and,,,,-1
1807,small,,,,0
1807,animals,,,,0
1807,some,,1.0,,0
1807,animals,,,,0
1807,swim,,,,0
1807,others,,1.0,,0
1807,hide,,,,-1
1807,under,,,1.0,0
1807,rocks,,,,0
1807,and,,,,-1
1807,plants,1.0,,,
1807,there,,1.0,,0
1807,is,,,,-1
1807,a,,,,-1
1807,lot,,,,0
1807,of,,,,-1
1807,life,1.0,,1.0,
1807,in,,,,-1
1807,the,,,,-1
1807,pool,1.0,,1.0,
1807,when,,,,0
1807,the,,,,-1
1807,tide,1.0,,1.0,
1807,comes,,1.0,,1
1807,back,,,,0
1807,in,,,,-1
1807,the,,,,-1
1807,sea,,,1.0,1
1807,covers,1.0,1.0,,
1807,the,,,,-1
1807,pools,1.0,,1.0,
1807,and,,,,-1
1807,some,,1.0,,0
1807,of,,,,-1
1807,the,,,,-1
1807,animals,,,,0
1807,can,,,,-1
1807,swim,,,,0
1807,away,,,,0
1502,a,,,,-1
1502,cat,,,,-1
1502,takes,,,1.0,0
1502,a,,,,-1
1502,nap,1.0,,,
1502,a,,,,-1
1502,dog,,,,-1
1502,can,,,,-1
1502,nap,1.0,,,
1502,and,,,,-1
1502,so,,,,-1
1502,can,,,,-1
1502,you,,,,-1
1502,but,,,,-1
1502,does,,1.0,,0
1502,a,,,,-1
1502,fish,,,,-1
1502,nap,1.0,,,
1502,a,,,,-1
1502,fish,,,,-1
1502,does,,1.0,,0
1502,not,,,,-1
1502,have,,,,-1
1502,a,,,,-1
1502,bed,,,,0
1502,it,,,,-1
1502,cannot,1.0,,,"-1,-1"
1502,shut,1.0,,,
1502,its,,,,0
1502,eyes,,1.0,,1
1502,when,,,,0
1502,a,,,,-1
1502,fish,,,,-1
1502,takes,,,1.0,0
1502,a,,,,-1
1502,nap,1.0,,,
1502,it,,,,-1
1502,keeps,,,1.0,1
1502,its,,,,0
1502,eyes,,1.0,,1
1502,open,,,1.0,0
1502,a,,,,-1
1502,fish,,,,-1
1502,swims,,,,0
1502,when,,,,0
1502,it,,,,-1
1502,sleeps,,,1.0,0
1502,some,,1.0,,0
1502,fish,,,,-1
1502,hide,,,,-1
1502,when,,,,0
1502,they,,,,-1
1502,sleep,,,1.0,0
1502,after,,,1.0,0
1502,a,,,,-1
1502,fish,,,,-1
1502,naps,1.0,,,
1502,it,,,,-1
1502,looks,,,,-1
1502,for,,,,-1
